folder,absolute_path,acquisition_order_from_folder_sequence,frame_count,first_filename,last_filename,filename_pattern,dtype,shape,bit_depth,roi_top,roi_left,roi_height,roi_width,mtime_min_utc,mtime_max_utc,picture_info_lines,picture_info_unique_settings,camera_serial_from_filename,tiff_datetime_tag,tiff_software_tag,within_folder_scene_status,cross_folder_scene_status,integrity_status
1,D:\iccd\data\20260319\1,1,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T08:48:22.470929+00:00,2026-07-15T08:54:19.233602+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
2,D:\iccd\data\20260319\2,2,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T08:54:21.200869+00:00,2026-07-15T09:00:16.861601+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
4,D:\iccd\data\20260319\4,3,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T09:00:29.267238+00:00,2026-07-15T09:06:50.389539+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
5,D:\iccd\data\20260319\5,4,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T09:06:34.429610+00:00,2026-07-15T09:14:12.351731+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
7,D:\iccd\data\20260319\7,5,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T09:14:24.701633+00:00,2026-07-15T09:22:02.750497+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
8,D:\iccd\data\20260319\8,6,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T09:22:07.015575+00:00,2026-07-15T09:28:03.343683+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
9,D:\iccd\data\20260319\9,7,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T09:27:58.053900+00:00,2026-07-15T09:32:34.539965+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
10,D:\iccd\data\20260319\10,8,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T09:32:34.209963+00:00,2026-07-15T09:36:54.423129+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
11,D:\iccd\data\20260319\11,9,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T09:36:52.500993+00:00,2026-07-15T09:40:57.064835+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
13,D:\iccd\data\20260319\13,10,200,1-Camera1[20600555].tif,200-Camera1[20600555].tif,<frame_index>-Camera1[20600555].tif,uint16,5120x5120,16,2304,2304,512,512,2026-07-15T09:40:57.516049+00:00,2026-07-15T09:44:35.586126+00:00,200,1,20600555,,,PARTIALLY-VERIFIED,UNKNOWN,PASS
