path,sha256_before,sha256_after,mtime_ns_before,mtime_ns_after,unchanged
D:\iccd\data\20260319\1\1-Camera1[20600555].tif,72d1dd8858525a4975ed7ccec1ee315a40739ac1ec6456a3142599d8b01957f1,72d1dd8858525a4975ed7ccec1ee315a40739ac1ec6456a3142599d8b01957f1,1784105305173214700,1784105305173214700,True
D:\iccd\data\20260319\1\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784105653071421400,1784105653071421400,True
D:\iccd\data\20260319\2\1-Camera1[20600555].tif,a5287d09f4f2b1fb77a16ddb46eab7038ad217e0f38638d1ab01e64128d36158,a5287d09f4f2b1fb77a16ddb46eab7038ad217e0f38638d1ab01e64128d36158,1784105661200868800,1784105661200868800,True
D:\iccd\data\20260319\2\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784106005339153800,1784106005339153800,True
D:\iccd\data\20260319\4\1-Camera1[20600555].tif,4ed358d8bdd2de9447fc27d2ccd1e69fd4981198cf135f4008441480412a76b4,4ed358d8bdd2de9447fc27d2ccd1e69fd4981198cf135f4008441480412a76b4,1784106032553106100,1784106032553106100,True
D:\iccd\data\20260319\4\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784106380452836400,1784106380452836400,True
D:\iccd\data\20260319\5\1-Camera1[20600555].tif,057045d9bd6d5f91b562817f4d6d3a2669b6a62351a8669809645b564f75857d,057045d9bd6d5f91b562817f4d6d3a2669b6a62351a8669809645b564f75857d,1784106394429610600,1784106394429610600,True
D:\iccd\data\20260319\5\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784106836551655800,1784106836551655800,True
D:\iccd\data\20260319\7\1-Camera1[20600555].tif,638333c5dad4ed87c0042e6e31a9b5071dd4d57d023ec947d2a6ab4b4a0f4ff8,638333c5dad4ed87c0042e6e31a9b5071dd4d57d023ec947d2a6ab4b4a0f4ff8,1784106864701633100,1784106864701633100,True
D:\iccd\data\20260319\7\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784107314518715100,1784107314518715100,True
D:\iccd\data\20260319\8\1-Camera1[20600555].tif,7377e2de4f9755699e0bed2436133f201cbf7c42b3648a3a49c4bb0932cc5d96,7377e2de4f9755699e0bed2436133f201cbf7c42b3648a3a49c4bb0932cc5d96,1784107327015575000,1784107327015575000,True
D:\iccd\data\20260319\8\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784107665853268500,1784107665853268500,True
D:\iccd\data\20260319\9\1-Camera1[20600555].tif,a5495b0d96a524b01d22ec64065e657c720ee96073a6985ae19836ab92cac96c,a5495b0d96a524b01d22ec64065e657c720ee96073a6985ae19836ab92cac96c,1784107678053899800,1784107678053899800,True
D:\iccd\data\20260319\9\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784107945220617300,1784107945220617300,True
D:\iccd\data\20260319\10\1-Camera1[20600555].tif,315c94e4553b6e597bbf7fd87c1d17eeb3dce1f0106f4d04b90ed885026e442f,315c94e4553b6e597bbf7fd87c1d17eeb3dce1f0106f4d04b90ed885026e442f,1784107958000356500,1784107958000356500,True
D:\iccd\data\20260319\10\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784108206130876100,1784108206130876100,True
D:\iccd\data\20260319\11\1-Camera1[20600555].tif,03a2f38baf9491bd3ee3723d895ae8d9594d3872ecf2421e6ed229763f24d54d,03a2f38baf9491bd3ee3723d895ae8d9594d3872ecf2421e6ed229763f24d54d,1784108213714457000,1784108213714457000,True
D:\iccd\data\20260319\11\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784108451166720000,1784108451166720000,True
D:\iccd\data\20260319\13\1-Camera1[20600555].tif,d16502d55d2bc290897adb78b14b7cb0eb7413c32b4929518bc11f19ae5fab38,d16502d55d2bc290897adb78b14b7cb0eb7413c32b4929518bc11f19ae5fab38,1784108457828469200,1784108457828469200,True
D:\iccd\data\20260319\13\PictureInfo.txt,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,dcd627295354a063190647061b5ccf9bc2703556d38a4ac89c4ec83522ee903a,1784108670323640800,1784108670323640800,True
