folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,status,integrity_status,noise_characterization,temporal_variability_metric,conditional_temporal_variance_metric,repeatable_stable_component_metric,row_column_structure_metric,spatial_correlation_metric,physical_fixed_pattern_attribution,strict_photon_transfer_curve,physical_noise_component_decomposition,frame_mean_relative_change_half,minimum_split_map_correlation,row_pattern_energy_dn,column_pattern_energy_dn,radial_autocorr_r1
1,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,0.000869286242270105,0.9202586615100028,9.859301664748045,4.5633922286803585,0.09705476779686313
2,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,-0.0024099353202485054,0.9197757034728858,6.708878268389769,2.072236343746737,0.0382115670090966
4,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,-0.002129267088482665,0.9760938040569822,9.15996356437144,9.173921791009482,0.029789637280051982
5,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,-0.005374239278781558,0.9847389995158388,19.58295917566259,32.56209547919251,0.07668545069339351
7,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,-0.0005938574163072504,0.9870599220572979,11.329387867393583,17.78764241418253,0.042611336701526156
8,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,-0.00042732051772758907,0.9877083342671875,10.409114120529155,11.83050532572694,0.02750852502616744
9,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,0.0007393979544963483,0.9731418931490436,8.012518792931711,5.495312422035575,0.020383569722743137
10,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,0.0007206692097168789,0.9575929397339217,7.38785781518782,3.960329216966148,0.023269701430293804
11,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,-0.0027460297276042573,0.9356597221151947,7.0233601161405685,3.3939981031743094,0.04059478125201643
13,200,512,2304,2304,512,512,E1 folder eligibility for operational noise characterization; not a physical component-identification gate.,1.0,200,,PASS,PASS,PASS,eligible,eligible_with_single_scene_warning,eligible_operational_only,eligible_operational_only,eligible,not_eligible_without_dark_flat,not_eligible_without_controlled_illumination,not_eligible,0.002081324022570003,0.9097548828151988,6.68051400876739,1.7823555598275767,0.03398230021995824
