folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,frame_index,file_name,file_size_bytes,shape,dtype,pixel_statistics_stride,sample_min,sample_max,sample_mean,sample_std,zero_pixel_ratio,saturation_ratio
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1123.858858642578,26214400,,1,1-Camera1[20600555].tif,52469894,5120x5120,uint16,1,384.0,40352.0,1123.858858642578,352.90801152793557,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1126.1797473144532,26214400,,2,2-Camera1[20600555].tif,52469894,5120x5120,uint16,1,352.0,40016.0,1126.1797473144532,353.420322665703,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1120.6335162353516,26214400,,3,3-Camera1[20600555].tif,52469894,5120x5120,uint16,1,432.0,39968.0,1120.6335162353516,353.2725168576597,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1122.5809936523438,26214400,,4,4-Camera1[20600555].tif,52469894,5120x5120,uint16,1,384.0,40048.0,1122.5809936523438,353.03591035347506,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1124.291293334961,26214400,,5,5-Camera1[20600555].tif,52469894,5120x5120,uint16,1,416.0,40912.0,1124.291293334961,353.4692760179029,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1125.2640808105468,26214400,,6,6-Camera1[20600555].tif,52469894,5120x5120,uint16,1,416.0,41488.0,1125.2640808105468,353.0325629292229,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1124.8807220458984,26214400,,7,7-Camera1[20600555].tif,52469894,5120x5120,uint16,1,384.0,41232.0,1124.8807220458984,353.2189008000306,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1125.2834155273438,26214400,,8,8-Camera1[20600555].tif,52469894,5120x5120,uint16,1,384.0,40032.0,1125.2834155273438,353.53661195004304,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1123.174737548828,26214400,,9,9-Camera1[20600555].tif,52469894,5120x5120,uint16,1,432.0,40512.0,1123.174737548828,352.96062026728083,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1123.9788812255858,26214400,,10,10-Camera1[20600555].tif,52469894,5120x5120,uint16,1,368.0,39664.0,1123.9788812255858,352.9969037829711,0.0,0.0
1,1,512,2304,2304,512,512,Per-frame sampled pixel mean in raw DN; stride recorded in pixel_statistics_stride.,1122.3414050292968,26214400,,11,11-Camera1[20600555].tif,52469894,5120x5120,uint16,1,416.0,40496.0,1122.3414050292968,352.706103850758,0.0,0.0
