folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,bin_index,bin_low_dn,bin_high_dn,mean_signal_dn,temporal_variance_dn2,temporal_std_dn,fano_like_dn
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2065.449716446068,52514,single_scene_spatial_binning,0,955.5,984.80078125,973.9045897284534,2065.449716446068,44.634341051997495,2.120792671304652
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2426.3737278628932,46839,single_scene_spatial_binning,1,984.80078125,1014.1015625,997.5699657336835,2426.3737278628932,48.4004309269444,2.4322842619648903
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2902.647868906098,28108,single_scene_spatial_binning,2,1014.1015625,1043.40234375,1027.5211149850577,2902.647868906098,53.105760864596306,2.8249033782126305
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3423.2645987385436,16585,single_scene_spatial_binning,3,1043.40234375,1072.703125,1056.90352728369,3423.2645987385436,57.75087366564996,3.238956546522797
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3956.797705826251,12095,single_scene_spatial_binning,4,1072.703125,1102.00390625,1087.1679206283588,3956.797705826251,62.3027819442115,3.6395460450482293
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,4453.873120417113,11257,single_scene_spatial_binning,5,1102.00390625,1131.3046875,1116.6517611264103,4453.873120417113,66.20416369136042,3.988596333671938
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,4987.2444480683025,10333,single_scene_spatial_binning,6,1131.3046875,1160.60546875,1145.586059227717,4987.2444480683025,70.044622993747,4.353443731176681
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,5571.037488607944,9115,single_scene_spatial_binning,7,1160.60546875,1189.90625,1174.8737246297312,5571.037488607944,74.0256405288967,4.741818096547943
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,6191.235182384892,7441,single_scene_spatial_binning,8,1189.90625,1219.20703125,1204.1551706759844,6191.235182384892,78.03105699716711,5.1415592717251535
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,6837.12947324857,5879,single_scene_spatial_binning,9,1219.20703125,1248.5078125,1233.4632377955434,6837.12947324857,82.07653757845654,5.543034655388635
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,7479.686259928805,5019,single_scene_spatial_binning,10,1248.5078125,1277.80859375,1262.822150826858,7479.686259928805,85.8518149858189,5.9229926043278
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,8137.725115242947,4284,single_scene_spatial_binning,11,1277.80859375,1307.109375,1292.4189425770307,8137.725115242947,89.50316959868049,6.296507151943049
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,8810.9578461378,3926,single_scene_spatial_binning,12,1307.109375,1336.41015625,1321.4542154865003,8810.9578461378,93.15962102207612,6.667622489587353
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,9489.934216218924,3458,single_scene_spatial_binning,13,1336.41015625,1365.7109375,1351.0852009832272,9489.934216218924,96.63312384024115,7.023934692877104
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,10168.321395739236,3152,single_scene_spatial_binning,14,1365.7109375,1395.01171875,1380.3230488578681,10168.321395739236,100.13207766253052,7.3666243595315555
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,11115.26575115313,3153,single_scene_spatial_binning,15,1395.01171875,1424.3125,1409.3111322549953,11115.26575115313,104.64289931595397,7.887020471744899
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,11891.921777219708,2709,single_scene_spatial_binning,16,1424.3125,1453.61328125,1438.7945736434108,11891.921777219708,108.36628828002682,8.265197822581577
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,12915.512332951015,2444,single_scene_spatial_binning,17,1453.61328125,1482.9140625,1468.0827025368249,12915.512332951015,112.92881261062942,8.797537298568537
