folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,mean_signal,frame_mean_std,temporal_std_mean,temporal_var_mean,temporal_fano_approx,observed_stable_component_std,stable_to_temporal_std_ratio
1,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,68.3813705444336,33554432,,1156.615478515625,2.4523609098060315,68.3813705444336,5518.2138671875,4.771001227019247,238.69963577059545,3.4907114886720585
2,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,43.59041976928711,33554432,,965.9849853515625,2.6181508754789657,43.59041976928711,2016.9443359375,2.0879665486761674,34.88921452086708,0.8003872113534746
4,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,111.48194122314453,33554432,,1782.9835205078125,4.696969169245409,111.48194122314453,16602.55078125,9.31166810589557,919.6898378229362,8.249675487638543
5,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,228.86013793945312,33554432,,4699.216796875,13.884516573258995,228.86013793945312,72326.2421875,15.391126928980436,4011.751709435636,17.529272443665914
7,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,148.05999755859375,33554432,,2510.12255859375,3.088205881812501,148.05999755859375,29690.529296875,11.828318579595003,1704.902439746204,11.514943049161541
8,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,134.9202117919922,33554432,,2240.94677734375,3.5856373949055347,134.9202117919922,24480.060546875,10.923981236132624,1418.377523647052,10.5127134386194
9,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,87.5539321899414,33554432,,1398.9263916015625,3.17438669026421,87.5539321899414,9746.142578125,6.9668730511025085,508.61902287556853,5.809208223477151
10,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,71.40454864501953,33554432,,1200.9822998046875,2.9745422224272247,71.40454864501953,6189.91064453125,5.154039860152725,296.1350246982144,4.14728515644598
11,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,58.20510482788086,33554432,,1081.969970703125,2.8911857824299765,58.20510482788086,3823.008056640625,3.5333772287194063,163.220401080637,2.8042282814075907
13,128,512,2304,2304,512,512,Mean per-pixel temporal standard deviation in raw DN.,38.584720611572266,33554432,,935.1195068359375,2.762870247134584,38.584720611572266,1588.80126953125,1.6990355328027587,13.110510869769982,0.3397850408650594
