folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,mean_signal,frame_mean_std,temporal_std_mean,temporal_var_mean,temporal_fano_approx,observed_stable_component_std,stable_to_temporal_std_ratio
1,16,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,64.37899780273438,1048576,,1150.8131103515625,1.5278522733536293,64.37899780273438,4932.01416015625,4.285677766261775,229.40731801935922,3.5633875308573937
1,32,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,65.11876678466797,2097152,,1150.4560546875,2.5951571440673273,65.11876678466797,4952.03173828125,4.304407559162594,228.4729795478559,3.5085581442806015
1,64,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,65.69902801513672,4194304,,1149.01220703125,3.1612493711252085,65.69902801513672,4999.6083984375,4.351223048669947,227.23987319138575,3.4588011429793277
1,128,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,66.85100555419922,8388608,,1147.2513427734375,3.4284074679000027,66.85100555419922,5175.50244140625,4.5112193365532836,225.37812956227435,3.3713498801383
1,16,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,65.1077651977539,4194304,,1157.5399169921875,1.5575860723339388,65.1077651977539,5117.70751953125,4.4211931220733796,240.39281173699408,3.69222950606339
1,32,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,65.86711120605469,8388608,,1157.762451171875,2.3381164385512427,65.86711120605469,5142.21826171875,4.4415141089727435,239.786182607621,3.6404539111710608
1,64,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,66.70777130126953,16777216,,1156.958984375,2.508630329425881,66.70777130126953,5237.015625,4.5265352495007285,239.33020629829483,3.5877410027299184
1,128,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,68.3813705444336,33554432,,1156.615478515625,2.4523609098060315,68.3813705444336,5518.2138671875,4.771001227019247,238.69963577059545,3.4907114886720585
1,16,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,57.632957458496094,16777216,,1095.875244140625,1.6715079821989054,57.632957458496094,4143.08154296875,3.780614230607714,234.6534689081663,4.071515314430117
1,32,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,58.232513427734375,33554432,,1096.034912109375,2.2215861610948164,58.232513427734375,4156.7568359375,3.792540538638144,234.22998886745856,4.022323184764028
