folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,block_start_frame,block_end_frame,row_pattern_energy_dn,column_pattern_energy_dn
1,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,12.798367761949743,8192,,1,16,12.798367761949743,5.722600326897316
1,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.775733421323567,8192,,17,32,10.775733421323567,4.759491442283331
1,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.342467239891867,8192,,33,48,8.342467239891867,4.060348096234607
1,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.231290465553783,8192,,49,64,7.231290465553783,3.36639903387716
1,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.476785895746141,8192,,65,80,7.476785895746141,3.349041440646353
1,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.561887020162047,8192,,81,96,8.561887020162047,3.92676648674456
1,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.124434839966478,8192,,97,112,10.124434839966478,4.719308399614997
1,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,12.005467397941302,8192,,113,128,12.005467397941302,5.871027275572841
2,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.778539996174362,8192,,1,16,6.778539996174362,2.097116801717283
2,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.755673336322556,8192,,17,32,6.755673336322556,2.08279736389551
2,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.681623122189973,8192,,33,48,6.681623122189973,2.060392064031493
2,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.695021447488245,8192,,49,64,6.695021447488245,2.039122093125359
2,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.64158370176477,8192,,65,80,6.64158370176477,2.0296314024818116
2,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.65168120217802,8192,,81,96,6.65168120217802,2.0621550382624854
2,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.647152252593357,8192,,97,112,6.647152252593357,2.0572456319646477
2,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.817413334419255,8192,,113,128,6.817413334419255,2.147087093122916
4,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.656138425002233,8192,,1,16,9.656138425002233,11.820850848066815
4,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.220531656373074,8192,,17,32,9.220531656373074,9.811679307493662
4,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.016995970826283,8192,,33,48,9.016995970826283,7.563294261102171
4,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.851384396379663,8192,,49,64,8.851384396379663,6.161383267579844
4,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.610155828831287,8192,,65,80,8.610155828831287,6.054354764086184
4,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.777514690296572,8192,,81,96,8.777514690296572,7.447011321807834
4,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.378826015664423,8192,,97,112,9.378826015664423,10.143789255232214
4,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.704900806206435,8192,,113,128,9.704900806206435,12.128868416879484
5,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,27.105075797912818,8192,,1,16,27.105075797912818,48.14765739753168
5,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,21.159710859910785,8192,,17,32,21.159710859910785,36.19371460741487
5,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,15.680902776290573,8192,,33,48,15.680902776290573,22.148462211672847
5,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,13.760747065345306,8192,,49,64,13.760747065345306,14.461114540540791
5,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,14.295189405987065,8192,,65,80,14.295189405987065,15.016201934211306
5,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,17.133995941441125,8192,,81,96,17.133995941441125,22.94119818793848
5,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,19.938275375437637,8192,,97,112,19.938275375437637,34.33275271080025
5,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,23.554402332104235,8192,,113,128,23.554402332104235,47.158642796315526
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.803241347423992,8192,,1,16,11.803241347423992,27.95350121344064
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,12.168492216684081,8192,,17,32,12.168492216684081,14.74819545181836
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.308231309757472,8192,,33,48,11.308231309757472,14.186016238665312
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.141363716544303,8192,,49,64,10.141363716544303,12.16718503122029
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.018204646904826,8192,,65,80,11.018204646904826,11.40251945792731
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.431004313254686,8192,,81,96,10.431004313254686,13.910785362946203
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.084438188721125,8192,,97,112,11.084438188721125,18.296017676371264
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,12.476246170050702,8192,,113,128,12.476246170050702,22.907186024032974
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.263502767688227,8192,,1,16,11.263502767688227,14.82462511698538
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.638998154597136,8192,,17,32,10.638998154597136,10.553754726255317
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.038619575791556,8192,,33,48,10.038619575791556,11.596050230766346
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.804847305134409,8192,,49,64,9.804847305134409,10.035049394421243
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.764962929202984,8192,,65,80,9.764962929202984,9.222305619221281
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.809193784669414,8192,,81,96,9.809193784669414,10.111192992999921
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.479809636642681,8192,,97,112,10.479809636642681,12.13926615139023
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.332800645194133,8192,,113,128,11.332800645194133,14.78905259785383
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.196958146377428,8192,,1,16,8.196958146377428,7.679175703928074
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.108604539766409,8192,,17,32,8.108604539766409,5.16790170172124
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.944830121342296,8192,,33,48,7.944830121342296,4.664687618686367
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.904939067265976,8192,,49,64,7.904939067265976,4.538098429057198
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.845907326480334,8192,,65,80,7.845907326480334,4.526958623952334
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.91957773503713,8192,,81,96,7.91957773503713,4.763352908257385
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.055034559139491,8192,,97,112,8.055034559139491,5.5535788486003606
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.117519724691894,8192,,113,128,8.117519724691894,6.287443849835329
