folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,residual_std,lag1_row_corr,lag1_col_corr,lag1_diag_corr,radial_autocorr_r1,radial_autocorr_r2,corr_length_1e_px,corr_length_0p1_px,psd_low_fraction,psd_mid_fraction,psd_high_fraction
1,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.09705476779686313,33554432,,73.95362854003906,0.10796298981614828,0.10238301875580859,0.08981280354635975,0.09705476779686313,0.07431690831300874,1.0,1.0,0.2620739339580336,0.47726543646036507,0.2583301991045943
2,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.0382115670090966,33554432,,44.6585693359375,0.05857045071515205,0.0449415525223342,0.02366370737842976,0.0382115670090966,0.010554725719818584,1.0,1.0,0.2930012227888123,0.19702720656192058,0.5052023978342768
4,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.029789637280051982,33554432,,128.2612762451172,0.03356753486106881,0.03163052601667621,0.027224650464909173,0.029789637280051982,0.021532256583844996,1.0,1.0,0.4203656210055995,0.210689162326463,0.36538633957341315
5,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.07668545069339351,33554432,,267.5256652832031,0.07795974188190816,0.07809340072478586,0.07593114947831597,0.07668545069339351,0.07024618253053082,1.0,1.0,0.6603428840514621,0.19865598087562025,0.1396466430497606
7,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.042611336701526156,33554432,,171.6075439453125,0.04506022000394989,0.044704004097765065,0.04050738160081893,0.042611336701526156,0.03558412843299649,1.0,1.0,0.5798607052260802,0.1764646427792875,0.24129941824672288
8,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.02750852502616744,33554432,,155.80783081054688,0.030626134622706025,0.029111143278289498,0.025635149847147067,0.02750852502616744,0.020078790556770094,1.0,1.0,0.44760422137719896,0.18304239215467002,0.36577065442317186
9,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.020383569722743137,33554432,,98.28536987304688,0.025527853592146463,0.02266720749486778,0.01694894148960875,0.020383569722743137,0.010496778444173712,1.0,1.0,0.2627359611595571,0.20032598894773443,0.531782739657747
10,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.023269701430293804,33554432,,78.31202697753906,0.03152773221680483,0.02706562591166088,0.01728225342231515,0.023269701430293804,0.008976101460958341,1.0,1.0,0.22627191292541704,0.20063300506623183,0.5676396174994229
11,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.04059478125201643,33554432,,61.52113342285156,0.055594255100095274,0.048203664209058715,0.02904040706193572,0.04059478125201643,0.012843928622152265,1.0,1.0,0.27463159792799735,0.21681933529102287,0.5038139299021487
13,128,512,2304,2304,512,512,Residual radial autocorrelation at one-pixel radius after temporal-mean and frame-mean subtraction.,0.03398230021995824,33554432,,39.6082649230957,0.05716814036639205,0.039036102628736594,0.018283444214165653,0.03398230021995824,0.009201165204181875,1.0,1.0,0.3515043991390672,0.16988872473249758,0.47404756945206783
