folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,split_method,first_group_frames,second_group_frames,split_map_correlation,observed_stable_component_std_dn,split_difference_component_std_dn,stable_to_split_difference_ratio,highpass_sigma_px
1,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9934704495943394,65536,,odd_even,100,100,0.9934704495943394,88.17822957742018,7.143844678395862,12.34324562571823,8.0
1,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9202586615100028,65536,,first_second_half,100,100,0.9202586615100028,88.17822957742018,25.45610551044841,3.463932436217614,8.0
1,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.98905027869897,65536,,alternating_blocks,100,100,0.98905027869897,88.17822957742018,9.303383977905542,9.478081285995854,8.0
2,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9406975425554621,65536,,odd_even,100,100,0.9406975425554621,17.867927506178575,4.458016643118921,4.008044145317008,8.0
2,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9197757034728858,65536,,first_second_half,100,100,0.9197757034728858,17.867927506178575,5.192606253259732,3.4410326211354327,8.0
2,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9394063286374305,65536,,alternating_blocks,100,100,0.9394063286374305,17.867927506178578,4.510708425285104,3.961224229440017,8.0
4,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9902791219104204,65536,,odd_even,100,100,0.9902791219104204,128.57760271404013,12.737475830647233,10.09443349872144,8.0
4,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9760938040569822,65536,,first_second_half,100,100,0.9760938040569822,128.57760271404013,20.033142472432154,6.418244311444263,8.0
4,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9893946502599041,65536,,alternating_blocks,100,100,0.9893946502599041,128.57760271404013,13.25084931882822,9.703348036064629,8.0
5,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9977499056763467,65536,,odd_even,100,100,0.9977499056763467,544.527852969119,25.836797194546765,21.07567160391109,8.0
5,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9847389995158388,65536,,first_second_half,100,100,0.9847389995158388,544.527852969119,67.82175678351177,8.02880784564843,8.0
5,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9968956263459773,65536,,alternating_blocks,100,100,0.9968956263459773,544.527852969119,30.480145920946654,17.86500151217803,8.0
7,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9929037359538007,65536,,odd_even,100,100,0.9929037359538007,200.40101761130427,16.918600034016958,11.8450118336253,8.0
7,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9870599220572979,65536,,first_second_half,100,100,0.9870599220572979,200.40101761130427,22.886513837702783,8.756292855802602,8.0
7,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9925773395951275,65536,,alternating_blocks,100,100,0.9925773395951275,200.40101761130427,17.30339996757757,11.581597719916768,8.0
8,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9914443181195886,65536,,odd_even,100,100,0.9914443181195886,167.0142256446534,15.483105746219742,10.786868499262853,8.0
8,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9877083342671875,65536,,first_second_half,100,100,0.9877083342671875,167.0142256446534,18.519903119953554,9.018093915659332,8.0
8,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9911897717939188,65536,,alternating_blocks,100,100,0.9911897717939188,167.0142256446534,15.635185432655756,10.681947224995895,8.0
9,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9755425069220474,65536,,odd_even,100,100,0.9755425069220474,62.5809800433413,9.830726998076555,6.365854738473123,8.0
9,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9731418931490436,65536,,first_second_half,100,100,0.9731418931490436,62.580980043341306,10.352670985710454,6.044911514112672,8.0
9,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9758203413594824,65536,,alternating_blocks,100,100,0.9758203413594824,62.580980043341306,9.871783789991689,6.339379120801631,8.0
10,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.959792905805179,65536,,odd_even,100,100,0.959792905805179,38.37330903946914,7.830067886072643,4.900763262566832,8.0
10,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9575929397339217,65536,,first_second_half,100,100,0.9575929397339217,38.37330903946914,8.02873473644914,4.779496433636125,8.0
10,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9589201867014149,65536,,alternating_blocks,100,100,0.9589201867014149,38.37330903946914,7.857016938140874,4.883953966446333,8.0
11,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.937412553667377,65536,,odd_even,100,100,0.937412553667377,23.827261739427964,6.116291059350402,3.8957043587717366,8.0
11,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9356597221151947,65536,,first_second_half,100,100,0.9356597221151947,23.827261739427964,6.162484234042615,3.8665026691349738,8.0
11,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9369649675132462,65536,,alternating_blocks,100,100,0.9369649675132462,23.827261739427964,6.126392711836843,3.8892808313432403,8.0
13,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9104481981412452,65536,,odd_even,100,100,0.9104481981412452,12.896051352755336,3.961078042760547,3.2556923174802797,8.0
13,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9097548828151988,65536,,first_second_half,100,100,0.9097548828151988,12.896051352755338,3.9558938415000737,3.2599589042220503,8.0
13,200,512,2304,2304,512,512,Correlation between independently averaged high-pass observed maps for the stated split.,0.9103910517406637,65536,,alternating_blocks,100,100,0.9103910517406637,12.896051352755336,3.9594454490729705,3.25703473343084,8.0
