folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,frame_mean_slope_dn_per_frame,frame_std_slope_dn_per_frame,frame_mean_first_half_dn,frame_mean_second_half_dn,frame_mean_delta_half_dn,frame_mean_relative_change_half,frame_std_delta_half_dn,max_local_brightness_relative_change_half,lag1_residual_correlation,lag10_residual_correlation,lag50_residual_correlation
1,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,0.000869286242270105,200,,0.013970045311313285,-0.0014728420180807839,1156.8967614746093,1157.902435913086,1.0056744384767171,0.000869286242270105,-0.18560566233628606,0.006462855235511992,0.1267750661978293,0.11695544986502167,0.045591333821946085
2,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,-0.0024099353202485054,200,,-0.020789038585826546,0.0020106122728449586,966.1222924804688,963.7940002441406,-2.3282922363281386,-0.0024099353202485054,0.18052879517385634,0.0033152505913762557,0.0008280579951360852,5.589330101928244e-05,-0.0028739888030848743
4,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,-0.002129267088482665,200,,-0.044710260304111,-0.05299057084455918,1784.0319049072266,1780.2332244873046,-3.7986804199219932,-0.002129267088482665,-5.24638604648419,0.01087914989858885,0.030839823990678812,0.02905876901207825,0.00955055043651637
5,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,-0.005374239278781558,200,,-0.2606018205569843,-0.2310986898515873,4703.548594360352,4678.2705987548825,-25.277995605469187,-0.005374239278781558,-21.87892528125485,0.020904513330565682,0.12151528592294782,0.11025522384904103,0.04377943107893896
7,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,-0.0005938574163072504,200,,-0.013543587460530391,-0.02355759419929872,2510.193491821289,2508.702794799805,-1.4906970214842659,-0.0005938574163072504,-2.4160182872535643,0.014464571537414567,0.04502007862058845,0.039071771491588,0.01347583419226524
8,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,-0.00042732051772758907,200,,-0.01488009290381176,-0.032877128106389146,2241.133892211914,2240.176209716797,-0.9576824951168419,-0.00042732051772758907,-3.1190971727196484,0.01180188045344046,0.023029205619304226,0.01952043522883981,0.004994457518704533
9,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,0.0007393979544963483,200,,0.012284219504779762,0.012126306529729227,1398.6425524902343,1399.676705932617,1.0341534423828307,0.0007393979544963483,1.1973019476409945,0.004837700796415747,0.0019813546531027384,0.0014456659372938344,-0.0025034444815355272
10,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,0.0007206692097168789,200,,0.0017708479668804035,-0.0031835438553930316,1200.809387817383,1201.6747741699219,0.8653863525389625,0.0007206692097168789,-0.27260829595769565,0.003311220087985103,-0.0013839494967966966,-0.0033872422450524123,-0.003865199361216296
11,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,-0.0027460297276042573,200,,-0.038125052598358446,0.00201924221478256,1081.9262286376952,1078.9552270507813,-2.9710015869138715,-0.0027460297276042573,0.4433658885584464,0.00391306824890698,-0.003871941338200642,-0.003829055566986754,-0.006316518291098943
13,200,512,2304,2304,512,512,Relative change in frame mean between the second and first halves.,0.002081324022570003,200,,0.016060227448682643,-9.618196280536192e-05,935.2593530273438,937.2059307861329,1.9465777587890898,0.002081324022570003,-0.02053924322160583,0.0026601921692898122,-0.0053376581885180765,-0.00558008025998595,-0.004975921806055068
