folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,lag_frames,mean_residual_correlation
1,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.1267750661978293,199,,1,0.1267750661978293
1,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.11695544986502167,190,,10,0.11695544986502167
1,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.045591333821946085,150,,50,0.045591333821946085
2,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.0008280579951360852,199,,1,0.0008280579951360852
2,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,5.589330101928244e-05,190,,10,5.589330101928244e-05
2,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.0028739888030848743,150,,50,-0.0028739888030848743
4,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.030839823990678812,199,,1,0.030839823990678812
4,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.02905876901207825,190,,10,0.02905876901207825
4,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.00955055043651637,150,,50,0.00955055043651637
5,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.12151528592294782,199,,1,0.12151528592294782
5,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.11025522384904103,190,,10,0.11025522384904103
5,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.04377943107893896,150,,50,0.04377943107893896
7,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.04502007862058845,199,,1,0.04502007862058845
7,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.039071771491588,190,,10,0.039071771491588
7,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.01347583419226524,150,,50,0.01347583419226524
8,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.023029205619304226,199,,1,0.023029205619304226
8,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.01952043522883981,190,,10,0.01952043522883981
8,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.004994457518704533,150,,50,0.004994457518704533
9,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.0019813546531027384,199,,1,0.0019813546531027384
9,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,0.0014456659372938344,190,,10,0.0014456659372938344
9,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.0025034444815355272,150,,50,-0.0025034444815355272
10,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.0013839494967966966,199,,1,-0.0013839494967966966
10,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.0033872422450524123,190,,10,-0.0033872422450524123
10,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.003865199361216296,150,,50,-0.003865199361216296
11,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.003871941338200642,199,,1,-0.003871941338200642
11,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.003829055566986754,190,,10,-0.003829055566986754
11,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.006316518291098943,150,,50,-0.006316518291098943
13,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.0053376581885180765,199,,1,-0.0053376581885180765
13,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.00558008025998595,190,,10,-0.00558008025998595
13,200,512,2304,2304,512,512,Mean correlation of temporal-mean-subtracted frame residuals at the stated lag.,-0.004975921806055068,150,,50,-0.004975921806055068
