source_pair_key,profile,candidate_cluster,cluster_size,candidate_group_only
15ms_to_500ms_000,lenient_full_0p98,1,100,True
15ms_to_500ms_001,lenient_full_0p98,1,100,True
15ms_to_500ms_002,lenient_full_0p98,1,100,True
15ms_to_500ms_003,lenient_full_0p98,1,100,True
15ms_to_500ms_004,lenient_full_0p98,1,100,True
15ms_to_500ms_005,lenient_full_0p98,1,100,True
15ms_to_500ms_006,lenient_full_0p98,1,100,True
15ms_to_500ms_007,lenient_full_0p98,1,100,True
15ms_to_500ms_008,lenient_full_0p98,1,100,True
15ms_to_500ms_009,lenient_full_0p98,1,100,True
15ms_to_500ms_010,lenient_full_0p98,1,100,True
15ms_to_500ms_011,lenient_full_0p98,1,100,True
15ms_to_500ms_012,lenient_full_0p98,1,100,True
15ms_to_500ms_013,lenient_full_0p98,1,100,True
15ms_to_500ms_014,lenient_full_0p98,1,100,True
15ms_to_500ms_015,lenient_full_0p98,1,100,True
15ms_to_500ms_016,lenient_full_0p98,1,100,True
15ms_to_500ms_017,lenient_full_0p98,1,100,True
15ms_to_500ms_018,lenient_full_0p98,1,100,True
15ms_to_500ms_019,lenient_full_0p98,1,100,True
15ms_to_500ms_020,lenient_full_0p98,1,100,True
15ms_to_500ms_021,lenient_full_0p98,1,100,True
15ms_to_500ms_022,lenient_full_0p98,1,100,True
15ms_to_500ms_023,lenient_full_0p98,1,100,True
15ms_to_500ms_024,lenient_full_0p98,1,100,True
15ms_to_500ms_025,lenient_full_0p98,1,100,True
15ms_to_500ms_026,lenient_full_0p98,1,100,True
15ms_to_500ms_027,lenient_full_0p98,1,100,True
15ms_to_500ms_028,lenient_full_0p98,1,100,True
15ms_to_500ms_029,lenient_full_0p98,1,100,True
15ms_to_500ms_030,lenient_full_0p98,1,100,True
15ms_to_500ms_031,lenient_full_0p98,1,100,True
15ms_to_500ms_032,lenient_full_0p98,1,100,True
15ms_to_500ms_033,lenient_full_0p98,1,100,True
15ms_to_500ms_034,lenient_full_0p98,1,100,True
15ms_to_500ms_035,lenient_full_0p98,1,100,True
15ms_to_500ms_036,lenient_full_0p98,1,100,True
15ms_to_500ms_037,lenient_full_0p98,1,100,True
15ms_to_500ms_038,lenient_full_0p98,1,100,True
15ms_to_500ms_039,lenient_full_0p98,1,100,True
15ms_to_500ms_040,lenient_full_0p98,1,100,True
15ms_to_500ms_041,lenient_full_0p98,1,100,True
15ms_to_500ms_042,lenient_full_0p98,1,100,True
15ms_to_500ms_043,lenient_full_0p98,1,100,True
15ms_to_500ms_044,lenient_full_0p98,1,100,True
15ms_to_500ms_045,lenient_full_0p98,1,100,True
15ms_to_500ms_046,lenient_full_0p98,1,100,True
15ms_to_500ms_047,lenient_full_0p98,1,100,True
15ms_to_500ms_048,lenient_full_0p98,1,100,True
15ms_to_500ms_049,lenient_full_0p98,1,100,True
15ms_to_500ms_050,lenient_full_0p98,1,100,True
15ms_to_500ms_051,lenient_full_0p98,1,100,True
