source_pair_key,evidence,clean_path,clean_raw_min_dn,clean_raw_max_dn,clean_raw_mean_dn,clean_raw_std_dn,clean_raw_p1_dn,clean_raw_p50_dn,clean_raw_p99_dn,dark_mean_dn,dark_p50_dn,dark_to_clean_mean_ratio,pixel_dark_clean_ratio_p50,difference_mean_dn,difference_negative_ratio,difference_zero_ratio,difference_nonpositive_ratio,difference_positive_ratio,crop_top,crop_left,crop_size,warning
15ms_to_500ms_000,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,1.0,65535.0,17818.19527053833,7204.300291360095,7957.0,15919.0,41692.0,27404.98828125,27395.421875,1.5380338954171777,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.98602294921875,0.01397705078125,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_001,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,1.0,65535.0,17886.999021053314,7205.97226754157,8032.0,15991.0,41688.0,27404.98828125,27395.421875,1.5321177269028663,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9859161376953125,0.0140838623046875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_002,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,1.0,65535.0,17849.91801571846,7202.752534509379,8007.0,15938.0,41657.0,27404.98828125,27395.421875,1.5353005127036123,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9862403869628906,0.013759613037109375,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_003,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,1.0,65535.0,17833.935857772827,7210.3008639281,7970.0,15929.0,41692.0,27404.98828125,27395.421875,1.5366763960466798,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9858512878417969,0.014148712158203125,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_004,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,1.0,65535.0,17886.805400133133,7227.22257712199,7995.0,15976.0,41777.0,27404.98828125,27395.421875,1.5321343117561967,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9860382080078125,0.0139617919921875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_005,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,1.0,65535.0,18921.940554380417,7656.465160705883,8104.0,17018.0,43328.96999999974,27404.98828125,27395.421875,1.4483180624360308,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9814720153808594,0.018527984619140625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_006,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621130006.tif,1.0,65535.0,19692.99443411827,8045.782401285875,8101.0,17813.0,44785.0,27404.98828125,27395.421875,1.3916110306602554,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9773216247558594,0.022678375244140625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_007,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621140007.tif,1.0,65535.0,19270.81295490265,8012.073899846441,7854.0,17387.0,44687.0,27404.98828125,27395.421875,1.4220981930229337,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9786262512207031,0.021373748779296875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_008,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621140008.tif,1.0,65535.0,18866.488184452057,7939.786010722353,7633.0,16981.0,44489.0,27404.98828125,27395.421875,1.4525749579529355,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.979827880859375,0.020172119140625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_009,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621150009.tif,1.0,65535.0,18309.990044116974,7804.857639044248,7398.0,16411.0,43963.0,27404.98828125,27395.421875,1.4967232759394788,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9812393188476562,0.01876068115234375,768,768,512,raw pixel comparison requires remounted source volume
