source_pair_key,clean_path,split,source_device,source_exposure,dtype,shape,raw_min_dn,raw_max_dn,raw_mean_dn,raw_std_dn,raw_p1_dn,raw_p50_dn,raw_p99_dn,raw_zero_ratio,raw_saturation_ratio,crop_size,crop_top,crop_left,dark_offset_median_dn,valid_fraction,corrected_mean_norm,corrected_std_norm,corrected_p1_norm,corrected_p50_norm,corrected_p99_norm,corrected_zero_ratio,corrected_saturation_ratio,corrected_high_frequency_std_norm,warning_flags,sha256
15ms_to_500ms_000,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,train,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,17818.19527053833,7204.300291360095,7957.0,15919.0,41692.0,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.0016099727945402265,0.015574679709970951,0.0,0.0,0.06757844984531403,0.98602294921875,0.0,0.0038020818028599024,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643
15ms_to_500ms_001,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,train,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,17886.999021053314,7205.97226754157,8032.0,15991.0,41688.0,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.0015822952846065164,0.015343510545790195,0.0,0.0,0.06527912616729736,0.9859161376953125,0.0,0.0037799871060997248,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a
15ms_to_500ms_002,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,train,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,17849.91801571846,7202.752534509379,8007.0,15938.0,41657.0,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.001605245633982122,0.015614992007613182,0.0,0.0,0.06656262278556824,0.9862403869628906,0.0,0.003788419533520937,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5
15ms_to_500ms_003,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,train,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,17833.935857772827,7210.3008639281,7970.0,15929.0,41692.0,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.0016253929352387786,0.01568068005144596,0.0,0.0,0.06918803602457047,0.9858512878417969,0.0,0.0038561925757676363,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,607b985f06645c486b84312597b830fe8aa88cb770cdb73173dce78eb0718eda
15ms_to_500ms_004,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,test,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,17886.805400133133,7227.22257712199,7995.0,15976.0,41777.0,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.0016683965222910047,0.016035733744502068,0.0,0.0,0.0708228051662445,0.9860382080078125,0.0,0.0038945642299950123,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,956b882b38b9dfdeace0de1e9df0385f5491677e5e799cd0e621e1ccbea9bf35
15ms_to_500ms_005,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,train,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,18921.940554380417,7656.465160705883,8104.0,17018.0,43328.96999999974,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.00272382702678442,0.02277967520058155,0.0,0.0,0.15461350977420807,0.9814720153808594,0.0,0.00461481511592865,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,98598ee69a182c6c2ad1243e388b09e1a3a0de50819b64ab5f93c31ad824d51b
15ms_to_500ms_006,F:\目标传感器噪声参数估计\data\500ms\P251621130006.tif,train,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,19692.99443411827,8045.782401285875,8101.0,17813.0,44785.0,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.003632765030488372,0.027927691116929054,0.0,0.0,0.1996011584997177,0.9773216247558594,0.0,0.00512014189735055,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,c03bec1b78e68f54b17cc0bd537848a73d26c4ee6028feb09174d7e4e61f4229
15ms_to_500ms_007,F:\目标传感器噪声参数估计\data\500ms\P251621140007.tif,val,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,19270.81295490265,8012.073899846441,7854.0,17387.0,44687.0,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.0035231264773756266,0.027554020285606384,0.0,0.0,0.19817960262298584,0.9786262512207031,0.0,0.005034000612795353,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,a62de1b09dd54e4e8b2b5a216d6c3d464035e35fac308c066f429c4483d889af
15ms_to_500ms_008,F:\目标传感器噪声参数估计\data\500ms\P251621140008.tif,train,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,18866.488184452057,7939.786010722353,7633.0,16981.0,44489.0,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.00337780499830842,0.02694244682788849,0.0,0.0,0.19339673221111298,0.979827880859375,0.0,0.0050614699721336365,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,38a2a28c373821b15f0f7d74538f2a5638545682037d542a91b15dfa8e2f8dcd
15ms_to_500ms_009,F:\目标传感器噪声参数估计\data\500ms\P251621150009.tif,val,sCMOS,500ms,uint16,2048x2048,1.0,65535.0,18309.990044116974,7804.857639044248,7398.0,16411.0,43963.0,0.0,0.00048422813415527344,512,768,768,27395.421875,0.998748779296875,0.003115239553153515,0.025485554710030556,0.0,0.0,0.17837859690189362,0.9812393188476562,0.0,0.004924369510263205,dark_offset_correction_required;corrected_zero_clipping_gt_1pct;single_scmos_frame_contains_unresolved_sensor_noise,ab75d05accdfcd2423921ca0caad000be1c2fe8557e1fb52d0de7cd1750a4696
