source_pair_key,clean_path,relative_to_parent,file_size_bytes,mtime_ns,sha256,hash_strategy,split
15ms_to_500ms_000,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,500ms\P251621100000.tif,8394874,1758788472000000000,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,full_file_sha256,train
15ms_to_500ms_001,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,500ms\P251621110001.tif,8394874,1758788472000000000,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,full_file_sha256,train
15ms_to_500ms_002,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,500ms\P251621110002.tif,8394874,1758788472000000000,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,full_file_sha256,train
15ms_to_500ms_003,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,500ms\P251621120003.tif,8394874,1758788474000000000,607b985f06645c486b84312597b830fe8aa88cb770cdb73173dce78eb0718eda,full_file_sha256,train
15ms_to_500ms_004,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,500ms\P251621120004.tif,8394874,1758788474000000000,956b882b38b9dfdeace0de1e9df0385f5491677e5e799cd0e621e1ccbea9bf35,full_file_sha256,test
15ms_to_500ms_005,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,500ms\P251621130005.tif,8394874,1758788474000000000,98598ee69a182c6c2ad1243e388b09e1a3a0de50819b64ab5f93c31ad824d51b,full_file_sha256,train
15ms_to_500ms_006,F:\目标传感器噪声参数估计\data\500ms\P251621130006.tif,500ms\P251621130006.tif,8394874,1758788474000000000,c03bec1b78e68f54b17cc0bd537848a73d26c4ee6028feb09174d7e4e61f4229,full_file_sha256,train
15ms_to_500ms_007,F:\目标传感器噪声参数估计\data\500ms\P251621140007.tif,500ms\P251621140007.tif,8394874,1758788476000000000,a62de1b09dd54e4e8b2b5a216d6c3d464035e35fac308c066f429c4483d889af,full_file_sha256,val
15ms_to_500ms_008,F:\目标传感器噪声参数估计\data\500ms\P251621140008.tif,500ms\P251621140008.tif,8394874,1758788476000000000,38a2a28c373821b15f0f7d74538f2a5638545682037d542a91b15dfa8e2f8dcd,full_file_sha256,train
15ms_to_500ms_009,F:\目标传感器噪声参数估计\data\500ms\P251621150009.tif,500ms\P251621150009.tif,8394874,1758788476000000000,ab75d05accdfcd2423921ca0caad000be1c2fe8557e1fb52d0de7cd1750a4696,full_file_sha256,val
15ms_to_500ms_010,F:\目标传感器噪声参数估计\data\500ms\P251621150010.tif,500ms\P251621150010.tif,8394874,1758788476000000000,e2e1b0a8f97ab27b49a157651ea1e6ee0b546c4ab59dbef4b252c7a7d77b73cd,full_file_sha256,train
15ms_to_500ms_011,F:\目标传感器噪声参数估计\data\500ms\P251621160011.tif,500ms\P251621160011.tif,8394874,1758788478000000000,1499d33211126363cd10cb2bf3cbda05b8cb8daa1d4cac8f549c129244d198bb,full_file_sha256,train
15ms_to_500ms_012,F:\目标传感器噪声参数估计\data\500ms\P251621160012.tif,500ms\P251621160012.tif,8394874,1758788478000000000,f4538d939e9d0e4c9fe7e50ecb78d51f8a59af5f95e002952456655c861258b5,full_file_sha256,train
15ms_to_500ms_013,F:\目标传感器噪声参数估计\data\500ms\P251621170013.tif,500ms\P251621170013.tif,8394874,1758788478000000000,3320dcd1d4e8dd434ab2c95d5f250bcb6f341377d4ccca247c45015843d02e56,full_file_sha256,test
15ms_to_500ms_014,F:\目标传感器噪声参数估计\data\500ms\P251621170014.tif,500ms\P251621170014.tif,8394874,1758788478000000000,6a2196272df68cbe2ccfab6c7278a58b96bada05d179aa4b02667f803dbc537c,full_file_sha256,train
15ms_to_500ms_015,F:\目标传感器噪声参数估计\data\500ms\P251621180015.tif,500ms\P251621180015.tif,8394874,1758788480000000000,f87f3bd16e32b96a3a2ced4434fe06aa91e8b0ac93446a8f713f1afb14755976,full_file_sha256,val
15ms_to_500ms_016,F:\目标传感器噪声参数估计\data\500ms\P251621180016.tif,500ms\P251621180016.tif,8394874,1758788480000000000,db89d9646c1d9395b4e9541c44cf93bce25e6abdd95ab2fa2cbc5d0f14b7e395,full_file_sha256,train
15ms_to_500ms_017,F:\目标传感器噪声参数估计\data\500ms\P251621190017.tif,500ms\P251621190017.tif,8394874,1758788480000000000,ca33541af2f582a56856771f28abcd0fb493530edda8312f0dfb5e30c3261978,full_file_sha256,train
15ms_to_500ms_018,F:\目标传感器噪声参数估计\data\500ms\P251621200018.tif,500ms\P251621200018.tif,8394874,1758788482000000000,79c7930fe40309fb2aeecbf3f4f36a52190362881e967600464b9780b0687df9,full_file_sha256,test
