source_pair_key,path,scope,crop_top,crop_left,crop_height,crop_width,dtype,shape,raw_min_dn,raw_max_dn,raw_mean_dn,raw_std_dn,raw_p0_1_dn,raw_p1_dn,raw_p5_dn,raw_p25_dn,raw_p50_dn,raw_median_dn,raw_p75_dn,raw_p95_dn,raw_p99_dn,raw_p99_9_dn,norm_min,norm_max,norm_mean,norm_std,norm_p0_1,norm_p1,norm_p5,norm_p25,norm_p50,norm_median,norm_p75,norm_p95,norm_p99,norm_p99_9,normalization_max_abs_error_vs_float64_div65535,zero_ratio,saturation_ratio,negative_before_clipping_ratio,dynamic_range_dn,robust_dynamic_range_dn_p1_p99,local_contrast_mean_norm,gradient_energy_norm,laplacian_variance_norm,high_frequency_energy_norm,row_mean_variation_norm,column_mean_variation_norm,bad_pixel_candidate_ratio,unique_value_count,nan_count,inf_count,preprocessing
15ms_to_500ms_000,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,center_roi,768,768,512,512,uint16,512x512,3925.0,58481.0,13987.384021759033,3927.4895931183323,6551.429,7959.43,9449.0,11812.0,13448.0,13448.0,15217.0,20155.0,32250.41000000009,40395.714000000036,0.05989165976643562,0.8923628330230713,0.21343381702899933,0.05992964655160904,0.09996839856565194,0.1214531166552224,0.14418249790188448,0.18023956664377813,0.20520332646677347,0.20520332646677347,0.23219653620202946,0.3075455863279164,0.4921097123674386,0.6163990844586867,2.9714554816706595e-08,0.0,0.0,0.0,54556.0,24290.98000000009,0.030495867133140564,0.0008319258340634406,0.005775987636297941,0.00030371060711331666,0.025970306247472763,0.01970496028661728,0.008960723876953125,21296,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_001,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,center_roi,768,768,512,512,uint16,512x512,3867.0,58351.0,14075.20463180542,3908.8804003847476,6743.286,8116.0,9557.0,11907.0,13528.0,13528.0,15294.0,20267.0,32137.130000000063,40340.42800000007,0.05900663882493973,0.8903791904449463,0.21477384865283966,0.05964569374918938,0.10289594872968642,0.12384222171358816,0.1458304722667277,0.1816891737239643,0.20642404821850918,0.20642404821850918,0.23337148088807508,0.3092545967803464,0.4903811703669804,0.6155554741741065,2.9713645322004822e-08,0.0,0.0,0.0,54484.0,24021.130000000063,0.030546706169843674,0.0008281513000838459,0.005735414568334818,0.0003021573356818408,0.025468381121754646,0.019404929131269455,0.008815765380859375,21301,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_002,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,center_roi,768,768,512,512,uint16,512x512,4369.0,56551.0,14039.882427215576,3912.709485388245,6842.0,8137.0,9527.0,11873.75,13488.0,13488.0,15246.0,20243.849999999977,32109.570000000007,40465.85700000002,0.06666667014360428,0.8629129528999329,0.2142348438501358,0.059704117476940155,0.10440222781719692,0.12416266117341879,0.14537270160982682,0.18118181124589913,0.20581368734264133,0.20581368734264133,0.23263904783703365,0.3089013504234375,0.4899606317235066,0.6174693980315864,2.971637380611014e-08,0.0,0.0,0.0,52182.0,23972.570000000007,0.030518818646669388,0.0008295369334518909,0.005766571499407291,0.0003019555879291147,0.02550402097404003,0.019702903926372528,0.009082794189453125,21152,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_003,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,center_roi,768,768,512,512,uint16,512x512,4543.0,58998.0,14008.418361663818,3927.847082077662,6501.429,7986.0,9461.0,11835.0,13467.0,13467.0,15242.0,20152.0,32165.560000000056,40432.856000000145,0.06932173669338226,0.9002517461776733,0.2137547731399536,0.059935104101896286,0.09920544747081712,0.12185854886701762,0.14436560616464483,0.18059052414740215,0.2054932478828107,0.2054932478828107,0.23257801174944687,0.3074998092622263,0.4908149843595034,0.6169658350499755,2.9718192795513687e-08,0.0,0.0,0.0,54455.0,24179.560000000056,0.030586794018745422,0.0008422589162364602,0.005883519072085619,0.00030696208705194294,0.0257570780813694,0.01931745745241642,0.008907318115234375,21269,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_004,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,center_roi,768,768,512,512,uint16,512x512,4469.0,58896.0,14095.020023345947,3944.0285429971345,6626.286,8032.43,9517.0,11923.0,13555.0,13555.0,15331.0,20314.0,32433.0,40734.714000000036,0.06819257140159607,0.8986953496932983,0.21507622301578522,0.06018202006816864,0.10111064316777295,0.12256702525368124,0.14522011139085986,0.18193331807431143,0.20683604180971998,0.20683604180971998,0.23393606469825284,0.3099717708094911,0.49489585717555507,0.6215718928816668,2.971273582730305e-08,0.0,0.0,0.0,54427.0,24400.57,0.03064313530921936,0.0008389066206291318,0.005831040441989899,0.00030581679311580956,0.02560887485742569,0.019811999052762985,0.00911712646484375,21249,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_005,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,center_roi,768,768,512,512,uint16,512x512,4271.0,58830.0,15356.639362335205,4444.410951862511,6719.715,8274.0,9967.0,12931.0,14842.0,14842.0,16831.0,21917.699999999953,37729.57000000001,43737.85700000002,0.06517127901315689,0.8976882696151733,0.2343273013830185,0.06781736761331558,0.1025362783245594,0.1262531471732662,0.15208667124437322,0.19731441214618142,0.2264744029907683,0.2264744029907683,0.25682459754329745,0.33444266422522245,0.5757163347829405,0.6673969176775771,2.9725468864150173e-08,0.0,0.0,0.0,54559.0,29455.570000000007,0.0325448103249073,0.0009293043403886259,0.00641597667708993,0.00033607141813263297,0.028595110401511192,0.02336207777261734,0.00983428955078125,22919,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_006,F:\目标传感器噪声参数估计\data\500ms\P251621130006.tif,center_roi,768,768,512,512,uint16,512x512,4821.0,58326.0,16435.023273468018,4869.77099963173,6961.001,8380.0,10169.0,13778.0,15987.0,15987.0,18184.0,23323.849999999977,40856.140000000014,46031.85700000002,0.07356374710798264,0.8899977207183838,0.2507823407649994,0.07430794090032578,0.1062180666819257,0.127870603494316,0.15516899366750592,0.2102388036926833,0.2439459830624857,0.2439459830624857,0.27747005416952775,0.3558991378652625,0.6234247348744948,0.7024011139085987,2.9736383022616053e-08,0.0,0.0,0.0,53505.0,32476.140000000014,0.03416091948747635,0.0009932059329003096,0.006768572609871626,0.00035778427263721824,0.03165126219391823,0.02625892125070095,0.008457183837890625,24541,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_007,F:\目标传感器噪声参数估计\data\500ms\P251621140007.tif,center_roi,768,768,512,512,uint16,512x512,4265.0,60458.0,15988.384998321533,4846.82513104534,6530.572,7997.43,9806.0,13387.0,15509.0,15509.0,17677.0,22812.849999999977,40745.0,45889.85700000002,0.06507972627878189,0.922529935836792,0.24396711587905884,0.07395780831575394,0.09965014114595254,0.12203295948729687,0.1496299687190051,0.204272526131075,0.2366521705958648,0.2366521705958648,0.26973373006790263,0.3481017776760506,0.6217288471808957,0.7002343327992678,2.9730925943383113e-08,0.0,0.0,0.0,56193.0,32747.57,0.033704791218042374,0.000962494348641485,0.006518230307847261,0.00034505449002608657,0.031280603259801865,0.02627490647137165,0.009746551513671875,24266,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_008,F:\目标传感器噪声参数估计\data\500ms\P251621140008.tif,center_roi,768,768,512,512,uint16,512x512,4089.0,59649.0,15644.016048431396,4790.9115531411335,6419.143,7886.86,9564.0,13084.0,15187.0,15187.0,17306.0,22326.0,40352.140000000014,45669.0,0.062394142150878906,0.9101853966712952,0.23871241509914398,0.0731046199798584,0.09794984359502557,0.12034576943617914,0.1459372854200046,0.199649042496376,0.23173876554512857,0.23173876554512857,0.2640726329442283,0.3406729228656443,0.6157341878385597,0.6968642710002289,2.9734564033212507e-08,0.0,0.0,0.0,55560.0,32465.280000000013,0.03309701383113861,0.0009218171471729875,0.006191265303641558,0.00032891123555600643,0.030497033149003983,0.025967739522457123,0.010181427001953125,23937,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_009,F:\目标传感器噪声参数估计\data\500ms\P251621150009.tif,center_roi,768,768,512,512,uint16,512x512,4255.0,58784.0,15048.499168395996,4673.4567176361015,6189.0,7602.0,9267.0,12591.0,14562.0,14562.0,16586.0,21538.0,39513.140000000014,44926.28500000009,0.06492713838815689,0.8969863653182983,0.2296253740787506,0.07131237536668777,0.09443808651865415,0.1159990844586862,0.14140535591668574,0.19212634470130466,0.22220187685969328,0.22220187685969328,0.25308613717860684,0.32864881361104753,0.6029318684672315,0.6855311665522253,2.9729106953979567e-08,0.0,0.0,0.0,54529.0,31911.140000000014,0.03229621797800064,0.0008875441271811724,0.005919630639255047,0.00031642141402699053,0.029631251469254494,0.02543540671467781,0.01114654541015625,23313,0,0,raw_uint16.astype(np.float32)/65535.0
