source_pair_key,path,scope,crop_top,crop_left,crop_height,crop_width,dtype,shape,raw_min_dn,raw_max_dn,raw_mean_dn,raw_std_dn,raw_p0_1_dn,raw_p1_dn,raw_p5_dn,raw_p25_dn,raw_p50_dn,raw_median_dn,raw_p75_dn,raw_p95_dn,raw_p99_dn,raw_p99_9_dn,norm_min,norm_max,norm_mean,norm_std,norm_p0_1,norm_p1,norm_p5,norm_p25,norm_p50,norm_median,norm_p75,norm_p95,norm_p99,norm_p99_9,normalization_max_abs_error_vs_float64_div65535,zero_ratio,saturation_ratio,negative_before_clipping_ratio,dynamic_range_dn,robust_dynamic_range_dn_p1_p99,local_contrast_mean_norm,gradient_energy_norm,laplacian_variance_norm,high_frequency_energy_norm,row_mean_variation_norm,column_mean_variation_norm,bad_pixel_candidate_ratio,unique_value_count,nan_count,inf_count,preprocessing
15ms_to_500ms_000,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17818.19527053833,7204.300291360095,6391.0,7957.0,9488.0,12652.0,15919.0,15919.0,21862.0,30666.0,41692.0,65503.0,1.5259021893143654e-05,1.0,0.27188822627067566,0.1099305972456932,0.09752040894178683,0.12141603723201343,0.14477759975585566,0.19305714503700314,0.24290836957351034,0.24290836957351034,0.33359273670557715,0.4679331654840925,0.6361791409170672,0.9995117112993057,2.9800958145642653e-08,0.0,0.00048422813415527344,0.0,65534.0,33735.0,0.033584561198949814,0.0010820032330229878,0.007741231005638838,0.00040194601751863956,0.06191181391477585,0.03745720162987709,0.00131988525390625,47554,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_001,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17886.999021053314,7205.97226754157,6444.0,8032.0,9557.0,12709.0,15991.0,15991.0,21944.0,30749.0,41688.0,65503.0,1.5259021893143654e-05,1.0,0.27293819189071655,0.10995609313249588,0.09832913710231174,0.12256046387426565,0.1458304722667277,0.19392690928511483,0.24400701915007247,0.24400701915007247,0.33484397650110626,0.46919966430151827,0.6361181048294804,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,33656.0,0.033568158745765686,0.0010768964421004057,0.007691876031458378,0.0003999719338025898,0.061950407922267914,0.03734618425369263,0.0013012886047363281,47556,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_002,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17849.91801571846,7202.752534509379,6434.0,8007.0,9533.0,12675.0,15938.0,15938.0,21907.0,30693.0,41657.0,65503.0,1.5259021893143654e-05,1.0,0.2723722755908966,0.10990700870752335,0.09817654688334478,0.12217898832684825,0.145464255741207,0.19340810254062715,0.24319829098954757,0.24319829098954757,0.3342793926909285,0.4683451590753033,0.6356450751506828,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,33650.0,0.0335848368704319,0.001079630572348833,0.007719913963228464,0.000401000608690083,0.06184181198477745,0.037266749888658524,0.001318216323852539,47487,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_003,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17833.935857772827,7210.3008639281,6394.0,7970.0,9501.0,12655.0,15929.0,15929.0,21895.0,30675.0,41692.0,65503.0,1.5259021893143654e-05,1.0,0.2721284329891205,0.11002213507890701,0.09756618600747692,0.12161440451667048,0.14497596704051272,0.19310292210269323,0.2430609597924773,0.2430609597924773,0.33409628442816813,0.46807049668116274,0.6361791409170672,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,33722.0,0.03363492339849472,0.0010850676335394382,0.007757495157420635,0.00040325213922187686,0.06192052364349365,0.03731364384293556,0.0013165473937988281,47588,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_004,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17886.805400133133,7227.22257712199,6411.303,7995.0,9520.0,12698.0,15976.0,15976.0,21959.0,30779.0,41777.0,65503.0,1.5259021893143654e-05,1.0,0.27293509244918823,0.110280342400074,0.09783021286335546,0.12199588006408789,0.14526588845654995,0.19375906004425117,0.24377813382162203,0.24377813382162203,0.3350728618295567,0.46965743495841916,0.6374761577782864,0.9995117112993057,2.9800958145642653e-08,0.0,0.00048422813415527344,0.0,65534.0,33782.0,0.03367597237229347,0.0010854345746338367,0.00776996836066246,0.00040309166070073843,0.06205236166715622,0.03739679977297783,0.0012941360473632812,47628,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_005,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,18921.940554380417,7656.465160705883,6495.0,8104.0,9733.0,13395.0,17018.0,17018.0,23341.0,32580.0,43328.96999999974,65503.0,1.5259021893143654e-05,1.0,0.28873035311698914,0.11683013290166855,0.09910734721904325,0.1236591134508278,0.14851606012054627,0.20439459830624856,0.2596780346379797,0.2596780346379797,0.3561608300907912,0.49713893339436943,0.6611577019912984,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,35224.96999999974,0.03495991975069046,0.0011358672054484487,0.008044700138270855,0.00041984536801464856,0.06267703324556351,0.03799540176987648,0.0,49650,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_006,F:\目标传感器噪声参数估计\data\500ms\P251621130006.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,19692.99443411827,8045.782401285875,6505.0,8101.0,9773.0,13922.0,17813.0,17813.0,24287.0,34433.0,44785.0,65503.0,1.5259021893143654e-05,1.0,0.3004956543445587,0.1227707490324974,0.09925993743801022,0.12361333638513772,0.14912642099641413,0.21243610284580758,0.27180895704585334,0.27180895704585334,0.370595864805066,0.5254139009689479,0.6833752956435493,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,36684.0,0.035689037293195724,0.0011555167147889733,0.008122160099446774,0.00042504328303039074,0.06320539861917496,0.03884679079055786,0.0,51709,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_007,F:\目标传感器噪声参数估计\data\500ms\P251621140007.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,19270.81295490265,8012.073899846441,6287.0,7854.0,9483.0,13531.0,17387.0,17387.0,23782.0,33947.0,44687.0,65503.0,1.5259021893143654e-05,1.0,0.2940538227558136,0.12225641310214996,0.09593347066453041,0.1198443579766537,0.14470130464637218,0.20646982528419927,0.2653086137178607,0.2653086137178607,0.3628900587472343,0.5179980163271535,0.681879911497673,0.9995117112993057,2.9800958145642653e-08,0.0,0.00048422813415527344,0.0,65534.0,36833.0,0.03532123193144798,0.001129204174503684,0.00791347585618496,0.00041414887527935207,0.06276325136423111,0.038694027811288834,0.0,51741,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_008,F:\目标传感器噪声参数估计\data\500ms\P251621140008.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,18866.488184452057,7939.786010722353,6115.0,7633.0,9230.0,13216.0,16981.0,16981.0,23259.0,33387.0,44489.0,65503.0,1.5259021893143654e-05,1.0,0.28788402676582336,0.1211533471941948,0.09330891889829862,0.11647211413748379,0.14084077210650797,0.20166323338673992,0.25911345082780196,0.25911345082780196,0.3549095902952621,0.5094529640650034,0.6788586251621271,0.9995117112993057,2.9795501066409713e-08,0.0,0.00048422813415527344,0.0,65534.0,36856.0,0.03481125459074974,0.0010951915755867958,0.007642739452421665,0.0004006488888990134,0.06196001172065735,0.038236722350120544,0.0,51649,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_009,F:\目标传感器噪声参数估计\data\500ms\P251621150009.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,18309.990044116974,7804.857639044248,5933.0,7398.0,8948.0,12765.0,16411.0,16411.0,22623.0,32408.0,43963.0,65503.0,1.5259021893143654e-05,1.0,0.2793926000595093,0.11909448355436325,0.09053177691309987,0.11288624399176013,0.13653772793163957,0.19478141451132983,0.250415808346685,0.250415808346685,0.34520485236896314,0.49451438162813766,0.6708323796444647,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,36565.0,0.03422732651233673,0.001061669667251408,0.007354497443884611,0.0003886496415361762,0.061311326920986176,0.03761943429708481,0.0,51112,0,0,raw_uint16.astype(np.float32)/65535.0
