source_pair_key,full_mean_dn,roi_mean_dn,roi_to_full_mean_ratio,full_p99_dn,roi_p99_dn,full_robust_dynamic_range_dn,roi_robust_dynamic_range_dn,full_zero_ratio,roi_zero_ratio,full_saturation_ratio,roi_saturation_ratio
15ms_to_500ms_000,17818.19527053833,13987.384021759033,0.7850056534561954,41692.0,32250.41000000009,33735.0,24290.98000000009,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_001,17886.999021053314,14075.20463180542,0.7868958127206612,41688.0,32137.130000000063,33656.0,24021.130000000063,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_002,17849.91801571846,14039.882427215576,0.7865516477359837,41657.0,32109.570000000007,33650.0,23972.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_003,17833.935857772827,14008.418361663818,0.7854922476665925,41692.0,32165.560000000056,33722.0,24179.560000000056,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_004,17886.805400133133,14095.020023345947,0.7880121524238776,41777.0,32433.0,33782.0,24400.57,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_005,18921.940554380417,15356.639362335205,0.8115784593129457,43328.96999999974,37729.57000000001,35224.96999999974,29455.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_006,19692.99443411827,16435.023273468018,0.8345619214208586,44785.0,40856.140000000014,36684.0,32476.140000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_007,19270.81295490265,15988.384998321533,0.8296684232127302,44687.0,40745.0,36833.0,32747.57,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_008,18866.488184452057,15644.016048431396,0.8291959741253642,44489.0,40352.140000000014,36856.0,32465.280000000013,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_009,18309.990044116974,15048.499168395996,0.8218736947501017,43963.0,39513.140000000014,36565.0,31911.140000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_010,18060.94099664688,14798.688564300537,0.8193752787879657,43687.0,39210.140000000014,36429.0,31797.140000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_011,17956.81870985031,14651.540088653564,0.8159318376710225,43570.0,38614.71000000002,36325.0,31173.71000000002,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_012,17813.53437256813,14291.417861938477,0.8022786249508396,43252.0,37780.27000000008,36065.0,30399.840000000077,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_013,17526.66837310791,13512.396873474121,0.7709620896465926,42099.0,34511.71000000002,34903.0,27218.28000000002,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_014,17165.58914065361,12809.495628356934,0.7462310511685234,40608.0,30607.420000000042,33474.0,23447.99000000004,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_015,17253.915169000626,12939.927913665771,0.7499705305677166,40753.0,31156.39000000019,33570.0,23980.39000000019,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_016,17298.0950922966,12976.97067642212,0.7501965162742794,40604.0,31468.140000000014,33329.0,24181.140000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_017,17193.299525260925,12949.956771850586,0.7531978811178222,40339.0,31345.280000000028,33048.0,24084.850000000028,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_018,17260.126972436905,13092.589702606201,0.7585453874999911,40403.0,32208.280000000028,33048.0,24867.280000000028,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_019,17265.79926776886,13146.443019866943,0.7614152589164074,40263.0,32651.970000000147,32908.0,25351.540000000146,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_020,17365.809596776962,13257.504920959473,0.7634256754387093,40656.0,33130.69000000012,33313.0,25762.69000000012,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_021,17358.5146112442,13132.439971923828,0.756541689541634,40451.0,31765.0,33094.0,24438.0,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_022,17308.125658750534,13020.141437530518,0.7522560035810623,40198.96999999974,30832.570000000007,32830.96999999974,23465.140000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_023,17216.067074775696,12972.147979736328,0.7534907899343984,40149.0,30919.570000000007,32834.0,23588.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_024,17146.34234881401,12879.663246154785,0.7511609755678099,39964.96999999974,30578.570000000007,32643.96999999974,23217.140000000007,0.0,0.0,0.00048422813415527344,0.0
