source_pair_key,filename,path,absolute_path,file_size_bytes,creation_time_ns,mtime_ns,historical_file_size_bytes,historical_mtime_ns,file_size_delta_bytes,mtime_delta_ns,historical_sha256,actual_sha256,sha256_match
15ms_to_500ms_000,P251621100000.tif,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,8394874,1758797714260000000,1758788472000000000,8394874,1758788472000000000,0,0,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,True
15ms_to_500ms_001,P251621110001.tif,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,8394874,1758797714280000000,1758788472000000000,8394874,1758788472000000000,0,0,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,True
15ms_to_500ms_002,P251621110002.tif,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,8394874,1758797714310000000,1758788472000000000,8394874,1758788472000000000,0,0,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,True
15ms_to_500ms_003,P251621120003.tif,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,8394874,1758797714330000000,1758788474000000000,8394874,1758788474000000000,0,0,607b985f06645c486b84312597b830fe8aa88cb770cdb73173dce78eb0718eda,607b985f06645c486b84312597b830fe8aa88cb770cdb73173dce78eb0718eda,True
15ms_to_500ms_004,P251621120004.tif,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,8394874,1758797714360000000,1758788474000000000,8394874,1758788474000000000,0,0,956b882b38b9dfdeace0de1e9df0385f5491677e5e799cd0e621e1ccbea9bf35,956b882b38b9dfdeace0de1e9df0385f5491677e5e799cd0e621e1ccbea9bf35,True
15ms_to_500ms_005,P251621130005.tif,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,8394874,1758797714390000000,1758788474000000000,8394874,1758788474000000000,0,0,98598ee69a182c6c2ad1243e388b09e1a3a0de50819b64ab5f93c31ad824d51b,98598ee69a182c6c2ad1243e388b09e1a3a0de50819b64ab5f93c31ad824d51b,True
15ms_to_500ms_006,P251621130006.tif,F:\目标传感器噪声参数估计\data\500ms\P251621130006.tif,F:\目标传感器噪声参数估计\data\500ms\P251621130006.tif,8394874,1758797714420000000,1758788474000000000,8394874,1758788474000000000,0,0,c03bec1b78e68f54b17cc0bd537848a73d26c4ee6028feb09174d7e4e61f4229,c03bec1b78e68f54b17cc0bd537848a73d26c4ee6028feb09174d7e4e61f4229,True
15ms_to_500ms_007,P251621140007.tif,F:\目标传感器噪声参数估计\data\500ms\P251621140007.tif,F:\目标传感器噪声参数估计\data\500ms\P251621140007.tif,8394874,1758797714440000000,1758788476000000000,8394874,1758788476000000000,0,0,a62de1b09dd54e4e8b2b5a216d6c3d464035e35fac308c066f429c4483d889af,a62de1b09dd54e4e8b2b5a216d6c3d464035e35fac308c066f429c4483d889af,True
15ms_to_500ms_008,P251621140008.tif,F:\目标传感器噪声参数估计\data\500ms\P251621140008.tif,F:\目标传感器噪声参数估计\data\500ms\P251621140008.tif,8394874,1758797714470000000,1758788476000000000,8394874,1758788476000000000,0,0,38a2a28c373821b15f0f7d74538f2a5638545682037d542a91b15dfa8e2f8dcd,38a2a28c373821b15f0f7d74538f2a5638545682037d542a91b15dfa8e2f8dcd,True
15ms_to_500ms_009,P251621150009.tif,F:\目标传感器噪声参数估计\data\500ms\P251621150009.tif,F:\目标传感器噪声参数估计\data\500ms\P251621150009.tif,8394874,1758797714490000000,1758788476000000000,8394874,1758788476000000000,0,0,ab75d05accdfcd2423921ca0caad000be1c2fe8557e1fb52d0de7cd1750a4696,ab75d05accdfcd2423921ca0caad000be1c2fe8557e1fb52d0de7cd1750a4696,True
