source_pair_key,filename,parent_directory,manifest_order,datetime_tag,source_scene,source_group,group_basis
15ms_to_500ms_000,P251621100000.tif,F:\目标传感器噪声参数估计\data\500ms,0,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_001,P251621110001.tif,F:\目标传感器噪声参数估计\data\500ms,1,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_002,P251621110002.tif,F:\目标传感器噪声参数估计\data\500ms,2,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_003,P251621120003.tif,F:\目标传感器噪声参数估计\data\500ms,3,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_004,P251621120004.tif,F:\目标传感器噪声参数估计\data\500ms,4,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_005,P251621130005.tif,F:\目标传感器噪声参数估计\data\500ms,5,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_006,P251621130006.tif,F:\目标传感器噪声参数估计\data\500ms,6,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_007,P251621140007.tif,F:\目标传感器噪声参数估计\data\500ms,7,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_008,P251621140008.tif,F:\目标传感器噪声参数估计\data\500ms,8,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_009,P251621150009.tif,F:\目标传感器噪声参数估计\data\500ms,9,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_010,P251621150010.tif,F:\目标传感器噪声参数估计\data\500ms,10,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_011,P251621160011.tif,F:\目标传感器噪声参数估计\data\500ms,11,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_012,P251621160012.tif,F:\目标传感器噪声参数估计\data\500ms,12,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_013,P251621170013.tif,F:\目标传感器噪声参数估计\data\500ms,13,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_014,P251621170014.tif,F:\目标传感器噪声参数估计\data\500ms,14,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_015,P251621180015.tif,F:\目标传感器噪声参数估计\data\500ms,15,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_016,P251621180016.tif,F:\目标传感器噪声参数估计\data\500ms,16,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_017,P251621190017.tif,F:\目标传感器噪声参数估计\data\500ms,17,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_018,P251621200018.tif,F:\目标传感器噪声参数估计\data\500ms,18,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_019,P251621200019.tif,F:\目标传感器噪声参数估计\data\500ms,19,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_020,P251621220020.tif,F:\目标传感器噪声参数估计\data\500ms,20,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_021,P251621220021.tif,F:\目标传感器噪声参数估计\data\500ms,21,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_022,P251621230022.tif,F:\目标传感器噪声参数估计\data\500ms,22,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_023,P251621230023.tif,F:\目标传感器噪声参数估计\data\500ms,23,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_024,P251621240024.tif,F:\目标传感器噪声参数估计\data\500ms,24,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_025,P251621240025.tif,F:\目标传感器噪声参数估计\data\500ms,25,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_026,P251621250026.tif,F:\目标传感器噪声参数估计\data\500ms,26,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_027,P251621250027.tif,F:\目标传感器噪声参数估计\data\500ms,27,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_028,P251621260028.tif,F:\目标传感器噪声参数估计\data\500ms,28,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_029,P251621260029.tif,F:\目标传感器噪声参数估计\data\500ms,29,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_030,P251621280030.tif,F:\目标传感器噪声参数估计\data\500ms,30,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_031,P251621280031.tif,F:\目标传感器噪声参数估计\data\500ms,31,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_032,P251621290032.tif,F:\目标传感器噪声参数估计\data\500ms,32,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_033,P251621290033.tif,F:\目标传感器噪声参数估计\data\500ms,33,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_034,P251621300034.tif,F:\目标传感器噪声参数估计\data\500ms,34,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_035,P251621300035.tif,F:\目标传感器噪声参数估计\data\500ms,35,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_036,P251621310036.tif,F:\目标传感器噪声参数估计\data\500ms,36,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_037,P251621310037.tif,F:\目标传感器噪声参数估计\data\500ms,37,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_038,P251621320038.tif,F:\目标传感器噪声参数估计\data\500ms,38,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_039,P251621320039.tif,F:\目标传感器噪声参数估计\data\500ms,39,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_040,P251621330040.tif,F:\目标传感器噪声参数估计\data\500ms,40,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
