source_pair_key,path,page_count,dtype,shape,byte_order,compression,photometric_interpretation,bits_per_sample,sample_format,software,make,model,datetime_tag,exposure_tag,gain_tag,temperature_tag,readout_mode_tag,black_level_tag,image_description,processing_keyword_present,all_tags_json,pixel_sha256
15ms_to_500ms_000,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",aa590e2b4ad8d5cbc42dec9cee35e3394a1b6ac1bbdce0df09ce3c2dbd7bd029
15ms_to_500ms_001,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",21d19549f1a3a9c4f44754da4ec1b507825cf5d4736d7868d6df16ac87d47724
15ms_to_500ms_002,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",89b33e092e390ec6f93840ab7694a91317465f2e1f796dd7eaad1029357e436c
15ms_to_500ms_003,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",be452987336f60ed72906989ef17e83237206af705b59eb7fad13af2f77cbf2d
15ms_to_500ms_004,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",89c06c9ffd1884b08d7dc9c8c9959faf4f276f1f5b13db80de7115aa16f99b27
15ms_to_500ms_005,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",6a714e5c5b57cfdce6a25e1876ceb70285484bd05a974237de05e65b1573e2b5
15ms_to_500ms_006,F:\目标传感器噪声参数估计\data\500ms\P251621130006.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",c16c8d7c227e5441ecbb0e15a614b259380e10ffe2f7c2a58c17b15cc64d79c5
15ms_to_500ms_007,F:\目标传感器噪声参数估计\data\500ms\P251621140007.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",b57610a671c2850e87056d9e21a5e3606e09be8d7c20340495edf0c068714b67
15ms_to_500ms_008,F:\目标传感器噪声参数估计\data\500ms\P251621140008.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",6716d94607040f47d968575a0c8d5d84e07b383e2b7d09f25d0a08e81c7fab91
15ms_to_500ms_009,F:\目标传感器噪声参数估计\data\500ms\P251621150009.tif,1,uint16,2048x2048,<,NONE,MINISBLACK,16,,,,,,,,,,,,False,"{""BitsPerSample"": 16, ""Compression"": 1, ""ImageLength"": 2048, ""ImageWidth"": 2048, ""PhotometricInterpretation"": 1, ""RowsPerStrip"": 2, ""SamplesPerPixel"": 1, ""StripByteCounts"": [8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192], ""StripOffsets"": [8, 8200, 16392, 24584, 32776, 40968, 49160, 57352, 65544, 73736, 81928, 90120, 98312, 106504, 114696, 122888, 131080, 139272, 147464, 155656, 163848, 172040, 180232, 188424, 196616, 204808, 213000, 221192, 229384, 237576, 245768, 253960, 262152, 270344, 278536, 286728, 294920, 303112, 311304, 319496, 327688, 335880, 344072, 352264, 360456, 368648, 376840, 385032, 393224, 401416, 409608, 417800, 425992, 434184, 442376, 450568, 458760, 466952, 475144, 483336, 491528, 499720, 507912, 516104]}",bd8c8f4312dcb843b5d8bbc0f89cd5ddb9fdc31c03ecd3b54fc2fd8d9e11e4e2
