radial_bin,value,valid_sample_count,normalized_frequency_cycles_per_pixel
0,3.478056176683232e-25,1,0.0
1,5019.720755207693,8,0.001953125
2,4269.564536998655,16,0.00390625
3,7518.017630292461,20,0.005859375
4,3596.4785290017244,24,0.0078125
5,4459.837479985654,40,0.009765625
6,6228.601793428858,36,0.01171875
7,8497.51847789631,48,0.013671875
8,6807.130644427014,56,0.015625
9,5468.887152158481,56,0.017578125
10,4858.446068964086,68,0.01953125
11,6797.629802312961,64,0.021484375
12,5285.551009149426,80,0.0234375
13,5587.505061153153,92,0.025390625
14,6474.119701852955,88,0.02734375
15,6969.8749963636365,96,0.029296875
16,5342.932230776688,96,0.03125
17,6449.808419126536,116,0.033203125
18,5486.605986833596,120,0.03515625
19,5819.781199870549,120,0.037109375
20,8079.596141327556,124,0.0390625
21,6264.448205507555,144,0.041015625
22,6969.660171748379,136,0.04296875
23,6289.305985981111,140,0.044921875
24,7253.517537321428,152,0.046875
25,6310.570152777437,168,0.048828125
26,6371.43779341695,176,0.05078125
27,7472.362831677327,164,0.052734375
28,7355.52091370095,168,0.0546875
29,6104.165349615843,192,0.056640625
30,6512.082429569024,188,0.05859375
31,5889.417714274139,208,0.060546875
32,6437.648650588602,200,0.0625
33,6098.231955304539,208,0.064453125
34,6515.12485754256,228,0.06640625
35,6200.152080390031,208,0.068359375
36,5861.250309130859,232,0.0703125
37,6442.799092449491,228,0.072265625
38,6310.459542345149,256,0.07421875
39,5861.212566048065,248,0.076171875
40,6418.824342520113,236,0.078125
41,6105.820285231284,272,0.080078125
42,6106.43155251567,264,0.08203125
43,5514.545579841631,288,0.083984375
44,5861.069094436663,276,0.0859375
45,5434.071334843198,272,0.087890625
46,5443.011956000046,296,0.08984375
47,6505.589246268717,292,0.091796875
48,6602.54646925237,312,0.09375
49,6978.9372202644745,304,0.095703125
50,6070.401240143612,336,0.09765625
51,6734.41813557853,324,0.099609375
52,6148.750042634467,312,0.1015625
53,7224.118601417204,344,0.103515625
54,6183.906874559628,324,0.10546875
55,5278.728896923459,376,0.107421875
56,6688.796582720411,344,0.109375
57,6367.04410600267,360,0.111328125
58,6036.600185681021,364,0.11328125
59,6702.681050341837,368,0.115234375
60,6184.9822846283505,392,0.1171875
61,6047.2190924422985,388,0.119140625
62,6392.829341742215,392,0.12109375
63,6467.810744086222,400,0.123046875
64,6197.612072488796,388,0.125
65,5950.7585945467,432,0.126953125
66,6190.613436724453,400,0.12890625
67,6912.966362653452,424,0.130859375
68,6662.560178468642,452,0.1328125
69,6109.621643043117,416,0.134765625
70,5908.997804217864,448,0.13671875
71,6712.731554264778,428,0.138671875
72,6444.73448529479,480,0.140625
73,6378.957422218152,464,0.142578125
74,5643.241734210324,464,0.14453125
75,6709.869942471299,476,0.146484375
76,6442.733956255987,480,0.1484375
77,6099.015978297471,496,0.150390625
78,6032.434796459278,476,0.15234375
79,7057.554311404042,496,0.154296875
80,6599.3380746365665,520,0.15625
81,6175.700502770687,500,0.158203125
82,6678.481998174454,536,0.16015625
83,6315.774824160761,504,0.162109375
84,6433.039173679675,536,0.1640625
85,6607.972510045047,548,0.166015625
86,6220.1580678324835,544,0.16796875
87,6701.128870345536,552,0.169921875
88,7041.2648064826835,524,0.171875
89,6353.208567940689,600,0.173828125
90,6893.819351187264,552,0.17578125
91,6396.710197115748,576,0.177734375
92,6468.396816708313,580,0.1796875
93,6088.794125656755,584,0.181640625
94,5984.008276270159,608,0.18359375
95,5815.883075112898,580,0.185546875
96,6068.550594298821,600,0.1875
97,6569.691642176581,632,0.189453125
98,6633.887494601054,608,0.19140625
99,6332.717310722486,644,0.193359375
100,6001.376516960433,608,0.1953125
101,6119.624931177399,664,0.197265625
102,6375.057853776139,644,0.19921875
103,6077.429433857882,624,0.201171875
104,5940.126116756239,672,0.203125
105,6712.507798103702,644,0.205078125
106,6184.617239740112,696,0.20703125
107,6313.292471361466,672,0.208984375
108,6521.620693993505,664,0.2109375
109,6218.91359430511,684,0.212890625
110,6418.906919393347,688,0.21484375
111,5965.909225944246,720,0.216796875
112,6433.607787384522,700,0.21875
113,7197.679986525112,712,0.220703125
114,5861.447056625631,744,0.22265625
115,6851.751220871793,720,0.224609375
116,5967.412552697402,716,0.2265625
117,6307.949522514055,736,0.228515625
118,6964.30135949685,752,0.23046875
119,5942.982571375017,756,0.232421875
120,6919.840512274832,752,0.234375
121,5950.371059103368,736,0.236328125
122,6588.553607796878,772,0.23828125
123,6760.531321373019,824,0.240234375
124,6315.195320423987,752,0.2421875
125,6551.12519567896,808,0.244140625
126,6574.650146701916,756,0.24609375
127,5837.509630518395,816,0.248046875
128,6477.764052196377,824,0.25
129,5972.419058116349,788,0.251953125
130,5979.012660398059,840,0.25390625
131,6432.343573832315,808,0.255859375
132,6742.796667669219,864,0.2578125
133,7273.088104652082,844,0.259765625
134,6925.811029368591,800,0.26171875
135,5827.2603272410615,880,0.263671875
136,6478.610224122227,852,0.265625
137,6042.684402717892,872,0.267578125
138,6401.207953666913,864,0.26953125
139,6386.479544072971,852,0.271484375
140,6254.339292558319,912,0.2734375
141,6576.860360620273,872,0.275390625
142,6013.971572433183,896,0.27734375
143,6587.102587242178,900,0.279296875
144,6274.790244191285,912,0.28125
145,6751.5622695358725,936,0.283203125
146,6180.032269465101,908,0.28515625
147,6270.325268989107,912,0.287109375
148,6733.025390912004,952,0.2890625
149,6500.685740579756,944,0.291015625
150,6203.282879848416,948,0.29296875
151,6406.255224877237,920,0.294921875
152,6916.706500139093,976,0.296875
153,6233.917061967296,948,0.298828125
154,5940.171492725173,1000,0.30078125
155,6784.158321924129,960,0.302734375
156,6107.0891277386645,976,0.3046875
157,5863.1906632555665,1020,0.306640625
158,6315.363627948155,960,0.30859375
159,6388.3905409561,1000,0.310546875
160,6447.235127746736,1004,0.3125
161,6344.142309015854,1056,0.314453125
162,5896.192458156986,1024,0.31640625
163,6125.94058418406,996,0.318359375
164,6664.020100114503,1040,0.3203125
165,6218.9516910626335,1032,0.322265625
166,5993.010102938555,1080,0.32421875
167,6719.472131298001,1028,0.326171875
168,6415.1518270471715,1024,0.328125
169,6374.078436587595,1096,0.330078125
170,6599.353340625548,1076,0.33203125
171,6145.743942154544,1080,0.333984375
172,6433.701484830945,1064,0.3359375
173,5963.545168326749,1112,0.337890625
174,6565.653380178691,1108,0.33984375
175,6336.529194276687,1080,0.341796875
176,5890.824340990242,1112,0.34375
177,6229.46635978904,1084,0.345703125
178,6693.64646176361,1152,0.34765625
179,5891.0465803369225,1136,0.349609375
180,6629.755045825336,1108,0.3515625
181,6224.270166312253,1144,0.353515625
182,6340.281160279253,1168,0.35546875
183,6632.381662124649,1176,0.357421875
184,5904.620519753638,1116,0.359375
185,6048.431790482189,1168,0.361328125
186,6218.726637388454,1200,0.36328125
187,5973.606060603393,1172,0.365234375
188,6399.239710421623,1184,0.3671875
189,5929.319720499717,1168,0.369140625
190,6164.837976538285,1192,0.37109375
191,5885.356142556832,1228,0.373046875
192,6355.307022280537,1176,0.375
193,6482.556136132773,1248,0.376953125
194,6304.10058008832,1196,0.37890625
195,5876.863610349394,1248,0.380859375
196,5960.142882043861,1248,0.3828125
197,6494.731466477312,1224,0.384765625
198,6300.2935364718205,1260,0.38671875
199,6437.593151895681,1232,0.388671875
200,6351.686870283047,1296,0.390625
201,6225.680789055291,1236,0.392578125
202,6326.616398851534,1240,0.39453125
203,6116.424132199409,1328,0.396484375
204,6454.90857651766,1268,0.3984375
205,6429.675142371525,1320,0.400390625
206,6657.270403153602,1264,0.40234375
207,6080.07253860673,1304,0.404296875
208,6725.679691110396,1324,0.40625
209,6473.458158417688,1304,0.408203125
210,6014.3090638412605,1312,0.41015625
211,6191.832342017504,1348,0.412109375
212,5985.943162780669,1336,0.4140625
213,6663.246721832944,1344,0.416015625
214,6169.278503435661,1344,0.41796875
215,6577.610349305749,1324,0.419921875
216,6228.424956961358,1384,0.421875
217,6383.796519002625,1376,0.423828125
218,6495.609078660742,1356,0.42578125
219,6336.9653976529335,1384,0.427734375
220,6100.879939962001,1384,0.4296875
221,6318.421867571597,1396,0.431640625
222,5934.492741551596,1424,0.43359375
223,6424.22747148653,1376,0.435546875
224,6120.373880037703,1432,0.4375
225,5738.2549825490405,1396,0.439453125
226,6147.973122871298,1424,0.44140625
227,6384.1780722008325,1416,0.443359375
228,6550.169448211862,1452,0.4453125
229,6160.646250363615,1496,0.447265625
230,5988.339419678083,1400,0.44921875
231,6379.933139882293,1440,0.451171875
232,6171.941178100727,1452,0.453125
233,6149.669334320303,1472,0.455078125
234,6447.829826035011,1512,0.45703125
235,6667.178347982172,1444,0.458984375
236,6317.885831772831,1480,0.4609375
237,6302.550459720236,1520,0.462890625
238,6286.967574968879,1452,0.46484375
239,6394.795664203972,1536,0.466796875
240,5850.916209156115,1464,0.46875
241,5890.367760490225,1568,0.470703125
242,6196.895638043088,1548,0.47265625
243,6481.580782040472,1512,0.474609375
244,6327.779565495513,1552,0.4765625
245,6521.374528203022,1492,0.478515625
246,6069.432180487551,1616,0.48046875
247,6475.477506435335,1544,0.482421875
248,6275.892886323639,1528,0.484375
249,6057.416257530057,1564,0.486328125
250,6626.4751640168015,1552,0.48828125
251,6228.142196990138,1600,0.490234375
252,6451.14978490046,1580,0.4921875
253,6109.517264411475,1592,0.494140625
254,6265.632546372258,1616,0.49609375
255,6319.779512524385,1624,0.498046875
256,6392.536196548199,1506,0.5
257,6449.37113965499,1372,0.501953125
258,6188.836606007401,1368,0.50390625
259,6010.528463170092,1280,0.505859375
260,6580.909892676886,1256,0.5078125
261,6247.230602151517,1216,0.509765625
262,6305.65618746969,1172,0.51171875
263,6415.232967731945,1156,0.513671875
264,6827.997184646296,1100,0.515625
265,6560.81870292512,1132,0.517578125
266,6235.725978365577,1068,0.51953125
