content_id,seed,negative_before_clipping_ratio,above_one_before_clipping_ratio,added_zero_clipping_ratio,added_one_clipping_ratio,source_zero_ratio,source_saturation_ratio
content_077,20260717,0.0,0.0,0.0,0.0,0.0,0.0
content_077,20260718,0.0,0.0,0.0,0.0,0.0,0.0
content_077,20260719,0.0,0.0,0.0,0.0,0.0,0.0
content_014,20260717,0.0,0.0,0.0,0.0,0.0,0.0
content_014,20260718,0.0,0.0,0.0,0.0,0.0,0.0
content_014,20260719,0.0,0.0,0.0,0.0,0.0,0.0
content_080,20260717,0.0,0.0,0.0,0.0,0.0,0.0
content_080,20260718,0.0,0.0,0.0,0.0,0.0,0.0
content_080,20260719,0.0,0.0,0.0,0.0,0.0,0.0
content_043,20260717,0.0,0.0,0.0,0.0,0.0,0.0
content_043,20260718,0.0,0.0,0.0,0.0,0.0,0.0
content_043,20260719,0.0,0.0,0.0,0.0,0.0,0.0
content_064,20260717,0.0,0.0,0.0,0.0,0.0,0.0
content_064,20260718,0.0,0.0,0.0,0.0,0.0,0.0
content_064,20260719,0.0,0.0,0.0,0.0,0.0,0.0
content_042,20260717,0.0,0.0,0.0,0.0,0.0,0.0
content_042,20260718,0.0,0.0,0.0,0.0,0.0,0.0
content_042,20260719,0.0,0.0,0.0,0.0,0.0,0.0
content_002,20260717,0.0,0.0,0.0,0.0,0.0,0.0
content_002,20260718,0.0,0.0,0.0,0.0,0.0,0.0
content_002,20260719,0.0,0.0,0.0,0.0,0.0,0.0
content_006,20260717,0.0,0.0,0.0,0.0,0.0,0.0
content_006,20260718,0.0,0.0,0.0,0.0,0.0,0.0
content_006,20260719,0.0,0.0,0.0,0.0,0.0,0.0
