heldout_folder,strategy,selected_candidate,kind,threshold,low,high,train_mean_folder_psnr_gain,train_positive_folder_count,train_negative_folder_count
1,lofo_best_hard,hard_q40,hard,-0.44232765778349153,,,0.4208916871974051,9,0
1,lofo_best_linear,linear_q40_q60,linear,,-0.44232765778349153,0.12786193053417594,0.419787317956786,9,0
2,lofo_best_hard,hard_q40,hard,-0.44232765778349153,,,0.4165831178797774,9,0
2,lofo_best_linear,linear_q40_q60,linear,,-0.44232765778349153,0.12786193053417594,0.4154787486391583,9,0
4,lofo_best_hard,hard_q60,hard,-0.273429003806539,,,0.38137819273126883,9,0
4,lofo_best_linear,linear_q40_q60,linear,,-0.5713771580269047,-0.273429003806539,0.3821142396509227,9,0
5,lofo_best_hard,hard_q60,hard,-0.273429003806539,,,0.26524191193433716,9,0
5,lofo_best_linear,linear_q40_q60,linear,,-0.5713771580269047,-0.273429003806539,0.265977958853991,9,0
7,lofo_best_hard,hard_q60,hard,-0.273429003806539,,,0.3143935205790878,9,0
7,lofo_best_linear,linear_q40_q60,linear,,-0.5713771580269047,-0.273429003806539,0.3151295674987417,9,0
8,lofo_best_hard,hard_q60,hard,-0.273429003806539,,,0.3315835014541044,9,0
8,lofo_best_linear,linear_q40_q60,linear,,-0.5713771580269047,-0.273429003806539,0.33231954837375827,9,0
9,lofo_best_hard,hard_q60,hard,0.07156237920852501,,,0.4157211531779359,9,0
9,lofo_best_linear,linear_q40_q60,linear,,-0.5713771580269047,0.07156237920852501,0.4161615941042178,9,0
10,lofo_best_hard,hard_q40,hard,-0.5150776067012537,,,0.41996916026383235,9,0
10,lofo_best_linear,linear_q40_q60,linear,,-0.5150776067012537,0.12786193053417594,0.4191610663375719,9,0
11,lofo_best_hard,hard_q40,hard,-0.44232765778349153,,,0.41834004000444147,9,0
11,lofo_best_linear,linear_q40_q60,linear,,-0.44232765778349153,0.12786193053417594,0.41723567076382234,9,0
13,lofo_best_hard,hard_q40,hard,-0.44232765778349153,,,0.4228501642823471,9,0
13,lofo_best_linear,linear_q40_q60,linear,,-0.44232765778349153,0.12786193053417594,0.42174579504172804,9,0
