bin_left_DN,bin_right_DN,count
-689.8814,-676.2986,1
-676.2986,-662.71576,0
-662.71576,-649.13293,0
-649.13293,-635.5501,2
-635.5501,-621.9673,2
-621.9673,-608.38446,4
-608.38446,-594.80164,5
-594.80164,-581.2188,1
-581.2188,-567.636,8
-567.636,-554.05316,11
-554.05316,-540.47034,11
-540.47034,-526.8875,17
-526.8875,-513.3047,20
-513.3047,-499.72186,30
-499.72186,-486.13904,46
-486.13904,-472.5562,61
-472.5562,-458.9734,71
-458.9734,-445.39056,67
-445.39056,-431.8077,112
-431.8077,-418.22488,148
-418.22488,-404.64206,187
-404.64206,-391.05923,277
-391.05923,-377.4764,324
-377.4764,-363.8936,408
-363.8936,-350.31076,530
-350.31076,-336.72794,624
-336.72794,-323.1451,842
-323.1451,-309.5623,993
-309.5623,-295.97946,1187
-295.97946,-282.39664,1459
-282.39664,-268.8138,1706
-268.8138,-255.23099,1981
-255.23099,-241.64816,2323
-241.64816,-228.06534,2668
-228.06534,-214.48251,3190
-214.48251,-200.89969,3564
-200.89969,-187.31686,4129
-187.31686,-173.73401,4673
-173.73401,-160.15118,5060
-160.15118,-146.56836,5501
-146.56836,-132.98553,6247
-132.98553,-119.40271,6704
-119.40271,-105.819885,7032
-105.819885,-92.23706,7560
-92.23706,-78.654236,8119
-78.654236,-65.07141,8604
-65.07141,-51.488586,8814
-51.488586,-37.90576,9138
-37.90576,-24.322937,9306
-24.322937,-10.740112,9455
-10.740112,2.8427124,9589
2.8427124,16.425537,9606
16.425537,30.008362,9344
30.008362,43.591187,9325
43.591187,57.17401,9027
57.17401,70.756836,8759
70.756836,84.33966,8185
84.33966,97.922485,7910
97.922485,111.50531,7564
111.50531,125.088135,7142
125.088135,138.67096,6330
138.67096,152.25378,5886
152.25378,165.83661,5437
165.83661,179.41943,4953
179.41943,193.00226,4305
193.00226,206.58508,3904
206.58508,220.16791,3506
220.16791,233.75073,2993
233.75073,247.33356,2530
247.33356,260.91638,2201
260.91638,274.4992,1844
274.4992,288.08203,1526
288.08203,301.66486,1398
301.66486,315.24768,1158
315.24768,328.8305,863
328.8305,342.4134,741
342.4134,355.99615,612
355.99615,369.57904,495
369.57904,383.1618,439
383.1618,396.7447,338
396.7447,410.32745,234
410.32745,423.91034,208
423.91034,437.4931,166
437.4931,451.076,108
451.076,464.65875,86
464.65875,478.24164,59
478.24164,491.8244,37
491.8244,505.4073,24
505.4073,518.99005,27
518.99005,532.57294,16
532.57294,546.1557,17
546.1557,559.7386,9
559.7386,573.32135,8
573.32135,586.90424,4
586.90424,600.487,2
600.487,614.0699,3
614.0699,627.65265,1
627.65265,641.23553,1
641.23553,654.8183,1
654.8183,668.4012,0
668.4012,681.98395,1
