experiment,run_seed,source,split,content_id,condition_id,sigma_DN,residual_seed,residual_mean_DN,residual_std_DN,residual_std_relative_error,residual_skewness,residual_excess_kurtosis,negative_before_clipping_ratio,above_one_before_clipping_ratio,added_zero_ratio,added_one_ratio,brightness_shift_DN,gradient_ratio,noisy_round_trip_max_error_DN,residual_reconstruction_max_error_DN,patch_height,patch_width,number_of_pixels,standard_error_mean_DN,z_mean,clipping_mean_contribution_DN
G,20260719,sCMOS,training,content_000,low,91.4432,1902225311,0.18029606598635595,91.61340825763001,0.0018613550010280542,0.00476847356185317,-0.0014917850494384766,0.0,0.0,0.0,0.0,0.18029606439797785,2.056895976925886,0.5,0.5,512,512,262144,0.1786,1.0094964500915786,-1.5883780957182125e-09
CG,20260719,sCMOS,training,content_000,low,55.29993549356029,1902225311,0.10903336499237803,55.40286641883065,0.0018613208921797627,0.004768555983901024,-0.0014920234680175781,0.0,0.0,0.0,0.0,0.10903337627640397,1.3876150788904487,0.5,0.5,512,512,262144,0.10800768651085994,1.0094963471087306,1.1284025935864861e-08
G,20260719,sCMOS,training,content_000,mid,91.4432,3437981000,0.1671489256478207,91.51230692637417,0.0007557360894430756,0.003801797516644001,0.0077686309814453125,0.0,0.0,0.0,0.0,0.16714893410920695,1.4131613906968261,0.5,0.5,512,512,262144,0.1786,0.935884242149052,8.461386258318271e-09
CG,20260719,sCMOS,training,content_000,mid,88.23103152697934,3437981000,0.1612773998274284,88.2977091512432,0.0007557162498261369,0.0038018706254661083,0.007768392562866211,0.0,0.0,0.0,0.0,0.1612773158979941,1.384688179738039,0.5,0.5,512,512,262144,0.17232623345113152,0.9358842040330652,-8.392943429136324e-08
G,20260719,sCMOS,training,content_000,high,91.4432,1677511284,-0.10910115489039715,91.52456608836897,0.0008897992236597845,-0.002529524965211749,0.00978231430053711,0.0,0.0,0.0,0.0,-0.10910119904082194,1.1451180226915116,0.5,0.5,512,512,262144,0.1786,-0.6108687283896816,-4.4150424788336196e-08
CG,20260719,sCMOS,training,content_000,high,148.4405090006516,1677511284,-0.17710484265783338,148.57259669728197,0.0008898359182384557,-0.002529559191316366,0.009782552719116211,0.0,0.0,0.0,0.0,-0.17710477651196044,1.382848105700361,0.5,0.5,512,512,262144,0.28992286914189763,-0.6108688258433057,6.614587294562213e-08
G,20260719,sCMOS,training,content_001,low,91.4432,3005535410,-0.017451935591374923,91.28817771129764,0.0016952850370762324,0.003220256185159087,-0.010082721710205078,0.0,0.0,0.0,0.0,-0.01745196693820006,2.058698511817902,0.5,0.5,512,512,262144,0.1786,-0.09771520487891894,-3.1346825135614154e-08
CG,20260719,sCMOS,training,content_001,low,55.29993549356029,3005535410,-0.010553995567629482,55.20618444035889,0.0016953193953059677,0.0032201914582401514,-0.010083436965942383,0.0,0.0,0.0,0.0,-0.010553924501279788,1.3868096603328175,0.5,0.5,512,512,262144,0.10800768651085994,-0.09771522665257995,7.106634969389347e-08
G,20260719,sCMOS,training,content_001,mid,91.4432,729993863,-0.12178559611273843,91.5111866430474,0.0007434849507387183,0.002538895234465599,-0.00136566162109375,0.0,0.0,0.0,0.0,-0.12178565935074381,1.4188472812323765,0.5,0.5,512,512,262144,0.1786,-0.6818902357936082,-6.32380053877668e-08
CG,20260719,sCMOS,training,content_001,mid,88.23103152697934,729993863,-0.11750757584753801,88.29662821170879,0.0007434650099199879,0.002538935514166951,-0.0013663768768310547,0.0,0.0,0.0,0.0,-0.11750765480120329,1.3899535640178315,0.5,0.5,512,512,262144,0.17232623345113152,-0.6818902351327777,-7.895366527232994e-08
