split,pair_type,pair_id,content_id,condition_id,scene_id,sigma_DN,seed,residual_mean_DN,residual_std_DN,residual_std_relative_error,residual_skewness,residual_excess_kurtosis,negative_before_clipping_ratio,above_one_before_clipping_ratio,added_zero_ratio,added_one_ratio,brightness_shift_DN,gradient_ratio,noisy_round_trip_max_error_DN,residual_reconstruction_max_error_DN,patch_height,patch_width,number_of_pixels,standard_error_mean_DN,z_mean,clipping_mean_contribution_DN,pair_gate_pass,failure_reason
training,G,train_content_000_low_G,content_000,low,single_unknown_source_group,91.4432,1309269417,0.005678723925808038,91.5391237369869,0.0010489980336087336,0.001896764850243926,0.004694938659667969,0.0,0.0,0.0,0.0,0.005678784004303772,2.0444150278190123,0.5,0.5,512,512,262144,0.1786,0.03179576666185911,6.007849573386181e-08,True,
training,CG_SHARED,train_content_000_low_CG_SHARED,content_000,low,single_unknown_source_group,55.29993549356029,1309269417,0.0034341965701913946,55.35794313844534,0.0010489640605784608,0.001896741334348917,0.004693031311035156,0.0,0.0,0.0,0.0,0.0034341653075786738,1.3811196140486564,0.5,0.5,512,512,262144,0.10800768651085994,0.031795853435357985,-3.126261272079489e-08,True,
training,G,train_content_000_mid_G,content_000,mid,single_unknown_source_group,91.4432,3390805130,0.3369544993309601,91.49851716217546,0.0006049346717465682,0.0006682419334538281,-0.022456645965576172,0.0,0.0,0.0,0.0,0.3369544553607362,1.4120279775108378,0.5,0.5,512,512,262144,0.1786,1.8866433333200454,-4.39702239063422e-08,True,
training,CG_SHARED,train_content_000_mid_CG_SHARED,content_000,mid,single_unknown_source_group,88.23103152697934,3390805130,0.32511812466421786,88.28440384371875,0.0006049154794602246,0.0006682844832539558,-0.022456645965576172,0.0,0.0,0.0,0.0,0.3251180749472038,1.3835910865066372,0.5,0.5,512,512,262144,0.17232623345113152,1.8866432472477572,-4.9717014061201326e-08,True,
training,G,train_content_000_high_G,content_000,high,single_unknown_source_group,91.4432,3860690924,-0.09380886990226234,91.13898459709165,0.003326823677521727,0.00042785654659383,0.0018551349639892578,0.0,0.0,0.0,0.0,-0.09380891198416563,1.1446721006512852,0.5,0.5,512,512,262144,0.1786,-0.5252456321515249,-4.208190329535455e-08,True,
training,CG_SHARED,train_content_000_high_CG_SHARED,content_000,high,single_unknown_source_group,148.4405090006516,3860690924,-0.15228072635347667,147.9466790567741,0.0033267869209161276,0.00042783247772604227,0.0018553733825683594,0.0,0.0,0.0,0.0,-0.15228076371727184,1.3808353461381577,0.5,0.5,512,512,262144,0.28992286914189763,-0.5252456517286519,-3.736379516894317e-08,True,
training,G,train_content_001_low_G,content_001,low,single_unknown_source_group,91.4432,816917275,0.0835560471405351,91.52166543273665,0.0008580783780166226,0.0007619497482664883,0.018137216567993164,0.0,0.0,0.0,0.0,0.08355603518153565,2.065948215054791,0.5,0.5,512,512,262144,0.1786,0.4678390097454373,-1.1958999457384323e-08,True,
training,CG_SHARED,train_content_001_low_CG_SHARED,content_001,low,single_unknown_source_group,55.29993549356029,816917275,0.050530209495430245,55.34738528817428,0.0008580443031351218,0.0007619609823450446,0.01813650131225586,0.0,0.0,0.0,0.0,0.05053024492211122,1.388953495460165,0.5,0.5,512,512,262144,0.10800768651085994,0.46783901338678835,3.542668097766821e-08,True,
training,G,train_content_001_mid_G,content_001,mid,single_unknown_source_group,91.4432,1874375024,0.04256568224924129,91.32881521931252,0.0012508833974258049,0.006292027421295643,0.006410837173461914,0.0,0.0,0.0,0.0,0.042565769601417,1.4141495353958298,0.5,0.5,512,512,262144,0.1786,0.2383296878456959,8.73521757149831e-08,True,
training,CG_SHARED,train_content_001_mid_CG_SHARED,content_001,mid,single_unknown_source_group,88.23103152697934,1874375024,0.04107046887884569,88.12066304889488,0.0012509031819570716,0.006292035803198814,0.006411314010620117,0.0,0.0,0.0,0.0,0.04107043039221381,1.3854368315236887,0.5,0.5,512,512,262144,0.17232623345113152,0.23832975430576275,-3.84866318814403e-08,True,
training,G,train_content_001_high_G,content_001,high,single_unknown_source_group,91.4432,133002033,-0.2604671889490593,91.30562935834028,0.0015044381830439126,-0.0006299981032498181,0.0041468143463134766,0.0,0.0,0.0,0.0,-0.2604669709168661,1.1473659406167065,0.5,0.5,512,512,262144,0.1786,-1.4583829168480362,2.1803219318883293e-07,True,
training,CG_SHARED,train_content_001_high_CG_SHARED,content_001,high,single_unknown_source_group,148.4405090006516,133002033,-0.42281855742016994,148.2171949089044,0.0015044012800186387,-0.0006299644592218101,0.00414729118347168,0.0,0.0,0.0,0.0,-0.4228186453074301,1.3885529379622183,0.5,0.5,512,512,262144,0.28992286914189763,-1.4583829094669618,-8.788726013619907e-08,True,
training,G,train_content_002_low_G,content_002,low,single_unknown_source_group,91.4432,1537253669,0.005591639665968984,91.57641287511855,0.0014567827363712673,0.008631456643342972,0.015228033065795898,0.0,0.0,0.0,0.0,0.005591664763415771,2.059419673066248,0.5,0.5,512,512,262144,0.1786,0.031308172821774824,2.5097446787469835e-08,True,
