reference,strategy,pair_count,folder_count,mean_folder_psnr_gain,folder_gain_ci95_low,folder_gain_ci95_high,worst_folder_psnr_gain,positive_folder_count,mean_pair_psnr_gain,positive_pair_fraction,mean_ssim,mean_ssim_gain,mean_gradient_ratio_to_noisy,mean_residual_std
reference_a_odd,lofo_best_linear,80,10,0.3765388168581098,0.10708334916592838,0.6987621833763389,0.00640648775829078,10,0.3765388168581098,0.9375,0.9965876523591843,0.000897357544219457,0.9649764223188079,0.0016972819845250341
reference_a_odd,lofo_best_hard,80,10,0.3713973676614133,0.09997365984828441,0.6907229873695157,0.005475296726332957,10,0.3713973676614133,0.9,0.9965852294366627,0.0008949346216977919,0.9654176933429148,0.0016979540618194734
reference_a_odd,always_physical,80,10,0.338283744440119,0.048406932540862924,0.6897932477834016,-0.12911184499711847,6,0.338283744440119,0.625,0.9965772903152343,0.0008869955002694483,0.967432010052986,0.0016987505259749014
reference_a_odd,always_p99,80,10,0.039267767458731215,0.028507497792325802,0.04956429240015042,0.00640648775829078,10,0.039267767458731215,0.9375,0.9957384369851383,4.814217017331257e-05,0.9948678439152225,0.001820898365258472
reference_a_odd,always_noisy,80,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.9956902948149647,0.0,1.0,0.0018307317783182952
reference_b_even,lofo_best_linear,80,10,0.37698915847738795,0.10465114142122432,0.6956877723044211,-0.0038525405726757,9,0.37698915847738795,0.9375,0.9965913202917189,0.0008970486932041222,0.9649764223188079,0.0016945978095463943
reference_b_even,lofo_best_hard,80,10,0.3726242711751643,0.10606159077448193,0.7057502269809067,-0.0038525405726757,9,0.3726242711751643,0.925,0.9965892193401411,0.0008949477416261786,0.9654176933429148,0.0016952714890067
reference_b_even,always_physical,80,10,0.34138706117930473,0.05379480538187192,0.6841072141617682,-0.14734198389688657,6,0.34138706117930473,0.6625,0.9965816969619052,0.0008874253633904359,0.967432010052986,0.0016960626766376664
reference_b_even,always_p99,80,10,0.03850113458418072,0.025319154491805138,0.050341422331820804,-0.0038525405726757,9,0.03850113458418072,0.9375,0.9957421956353677,4.792403685300734e-05,0.9948678439152225,0.0018184859385655728
reference_b_even,always_noisy,80,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.995694271598515,0.0,1.0,0.001828321968059754
