folder,reference_a_frames,reference_b_frames,reference_ab_psnr,reference_ab_ssim,reference_ab_residual_mean,reference_ab_residual_std,reference_a_gradient,reference_b_gradient,reference_gradient_ratio_b_to_a
1,50,50,73.21784145513153,0.9999459064915741,-2.4984424271679018e-06,0.00021831293997820467,0.0003835367222084234,0.00038412159529484393,1.0015249467718574
2,50,50,77.26399977278822,0.9999781669047074,-1.2453723684302531e-05,0.00013645795115735382,0.00016359513762877786,0.0001635766548568197,0.9998870212634308
4,50,50,68.18229102646336,0.9998301850596418,-6.0087127167207655e-06,0.0003897928982041776,0.0006799752471574708,0.0006805204769981177,1.000801837777075
5,50,50,62.013512000600485,0.9993761268946665,8.181214070646092e-06,0.0007930512074381113,0.00255407396071582,0.002553423284462954,0.9997452398548853
7,50,50,65.70088069537597,0.9997040952258974,-4.783880740433233e-07,0.0005187472561374307,0.0011766107774268495,0.0011763944641395793,0.999816155612867
8,50,50,66.4863699011987,0.9997509690317484,-7.718344022578094e-06,0.0004738314601127058,0.0009990605703765133,0.0009988037915894695,0.9997429797605293
9,50,50,70.4228069762961,0.9998967891419938,7.0966370913083665e-06,0.0003011196677107364,0.00043905133542956393,0.0004383647636563991,0.9984362380483524
10,50,50,72.38877862420577,0.9999337762633334,1.2490288099797908e-05,0.00023986843007151037,0.0003090219146348988,0.00030889555947631814,0.999591112627951
11,50,50,74.51687076896344,0.9999591308813824,5.5412519941455685e-06,0.00018791769980452955,0.00022591746744737842,0.0002254519024304368,0.9979392252303374
13,50,50,78.28041640221302,0.999982596538807,1.2875469110440463e-05,0.00012121118925279006,0.00014257685889491767,0.0001425161941384579,0.9995745119023524
