model,run_seed,bias_model,coefficients,R2,residual_mean_DN,residual_std_DN,pearson_with_signal,spearman_with_signal,note
CG_NC,ALL,B1,"{""intercept"": -1.7414434898388358}",0.0,5.684341886080802e-16,7.18512612195711,-0.5054987540840192,-0.26822244811995843,
CG_NC,ALL,B2,"{""input_mean_signal"": -0.0023544993537756515, ""intercept"": 3.0472951061749023}",0.2555289903804959,-2.1789977229976404e-15,6.199523221766255,-0.5054987540840192,-0.26822244811995843,
CG_NC,ALL,B4,"{""input_mean_signal"": -0.01707130945201915, ""input_std"": 0.01385362022361399, ""intercept"": 16.483193191550665}",0.25559760917033936,-2.3637388342952666e-14,6.19923750642037,-0.5054987540840192,-0.26822244811995843,
CG_NC,ALL,B3,"{""intercept"": 3.0472951061749045, ""predicted_sigma"": -0.0398144817873181}",0.25552899038049603,-2.652692880171041e-15,6.199523221766255,-0.5054987540840195,-0.26822244811995843,predicted_sigma is exactly proportional to input_mean_signal
G,ALL,B1,"{""intercept"": -4.0406552088633285}",0.0,-7.579122514774402e-16,10.26407601881526,-0.684446696029281,-0.5701541299004946,
G,ALL,B2,"{""input_mean_signal"": -0.004554110683821731, ""intercept"": 5.221800339134101}",0.4684672797053988,-6.015928496102182e-15,7.483157085384468,-0.684446696029281,-0.5701541299004946,
G,ALL,B4,"{""input_mean_signal"": -0.024548075434073897, ""input_std"": 0.018821252198353643, ""intercept"": 23.47554356974399}",0.46852934411076685,-2.2879476091475227e-14,7.482720187301481,-0.684446696029281,-0.5701541299004946,
CG_NC,20260719,B1,"{""intercept"": -3.6850464771567197}",0.0,-7.105427357601002e-16,0.9167930836128467,-0.9994977049078855,-0.9860670699450337,
CG_NC,20260719,B2,"{""input_mean_signal"": -0.0005937670762824187, ""intercept"": -2.4774032001788715}",0.9989956621161307,-1.9817480989559046e-15,0.029054355801062467,-0.9994977049078855,-0.9860670699450337,
CG_NC,20260719,B4,"{""input_mean_signal"": -0.0016929236433605589, ""input_std"": 0.0010346873775594397, ""intercept"": -1.4739142975874078}",0.9990191921823727,-5.140332604014475e-16,0.0287119895763803,-0.9994977049078855,-0.9860670699450337,
CG_NC,20260719,B3,"{""intercept"": -2.4774032001788697, ""predicted_sigma"": -0.010040575465287674}",0.9989956621161307,-2.5557334026871103e-15,0.02905435580106246,-0.9994977049078856,-0.9860670699450337,predicted_sigma is exactly proportional to input_mean_signal
CG_NC,20260720,B1,"{""intercept"": -2.8903060276271666}",0.0,4.263256414560601e-16,1.6428720937534167,0.9999489777043187,0.9949536287155206,
CG_NC,20260720,B2,"{""input_mean_signal"": 0.001064497330518384, ""intercept"": -5.055352046362535}",0.9998979580119123,-1.0363931934875837e-15,0.016595609543816506,0.9999489777043187,0.9949536287155206,
CG_NC,20260720,B4,"{""input_mean_signal"": 0.004217125808232044, ""input_std"": -0.0029677163287992804, ""intercept"": -7.9335841255187125}",0.9999582396119985,1.2223555501122973e-15,0.010616613698607679,0.9999489777043187,0.9949536287155206,
CG_NC,20260720,B3,"{""intercept"": -5.055352046362536, ""predicted_sigma"": 0.018000603614780744}",0.9998979580119123,-2.842170943040401e-16,0.0165956095438165,0.9999489777043189,0.9949536287155206,predicted_sigma is exactly proportional to input_mean_signal
CG_NC,20260721,B1,"{""intercept"": 1.3510220352673792}",-2.220446049250313e-16,-1.1368683772161603e-15,11.695667181838127,-0.9941474256622576,-0.17288672036725872,
CG_NC,20260721,B2,"{""input_mean_signal"": -0.00753422831556292, ""intercept"": 16.674640565066106}",0.988329103950894,4.618527782440651e-15,1.2635053981273354,-0.9941474256622576,-0.17288672036725872,
CG_NC,20260721,B4,"{""input_mean_signal"": -0.053738130520906834, ""input_std"": 0.04349388962206102, ""intercept"": 58.85707799773786}",0.9885845822391811,-1.5063505998114125e-14,1.2495996822325783,-0.9941474256622576,-0.17288672036725872,
CG_NC,20260721,B3,"{""intercept"": 16.674640565066113, ""predicted_sigma"": -0.12740347351144735}",0.988329103950894,-1.6342482922482305e-15,1.2635053981273354,-0.9941474256622577,-0.17288672036725872,predicted_sigma is exactly proportional to input_mean_signal
G,20260719,B1,"{""intercept"": -0.9817265800249879}",0.0,5.329070518200751e-17,0.35486958079387804,-0.9995022586786141,-0.9750922675763493,
G,20260719,B2,"{""input_mean_signal"": -0.00022983466741028602, ""intercept"": -0.5142734287787675}",0.9990047651036517,-3.6581848661398907e-16,0.011195192644229272,-0.9995022586786141,-0.9750922675763493,
G,20260719,B4,"{""input_mean_signal"": -0.0003010295892884059, ""input_std"": 6.701910284668666e-05, ""intercept"": -0.44927512356418353}",0.9990054239849443,9.769962616701378e-17,0.011191486220611623,-0.9995022586786141,-0.9750922675763493,
G,20260720,B1,"{""intercept"": -7.7960476942241375}",0.0,-1.9895196601282807e-15,4.25266387608674,-0.9999613985458928,-0.9788035486633987,
G,20260720,B2,"{""input_mean_signal"": -0.002755543533966336, ""intercept"": -2.1916385645548555}",0.9999227985818582,-3.872457909892546e-15,0.03736574943214676,-0.9999613985458928,-0.9788035486633987,
G,20260720,B4,"{""input_mean_signal"": 0.00038568537973058436, ""input_std"": -0.0029569853871381185, ""intercept"": -5.0594632674301545}",0.9999317300683289,4.263256414560601e-16,0.03513789916450767,-0.9999613985458928,-0.9788035486633987,
G,20260721,B1,"{""intercept"": -3.3441913523408573}",0.0,1.7053025658242404e-15,16.55691236568946,-0.9951877742389186,-0.92749139213982,
G,20260721,B2,"{""input_mean_signal"": -0.010676953850088565, ""intercept"": 18.3713130107359}",0.9903987059946132,2.842170943040401e-16,1.6223488094293925,-0.9951877742389186,-0.92749139213982,
G,20260721,B4,"{""input_mean_signal"": -0.07372888209265564, ""input_std"": 0.05935372287934466, ""intercept"": 75.93536910021868}",0.9906361081914098,-1.2079226507921704e-15,1.6021661198041104,-0.9951877742389186,-0.92749139213982,
CG_NC,ALL,B5,"{""folder_2"": -0.0625153260074722, ""folder_5"": -8.434239168841131, ""folder_9"": 0.09110453167851454, ""intercept"": -1.5836339863641935, ""run_seed_20260720"": 0.7947404495295498, ""run_seed_20260721"": 5.036068512424088}",0.3538091839990135,1.4210854715202004e-16,5.775835110780716,,,descriptive folder and seed fixed effects
G,ALL,B5,"{""folder_2"": 0.12906609843292932, ""folder_5"": -16.338783977292458, ""folder_9"": -0.3494337877425713, ""intercept"": 3.1580613366255474, ""run_seed_20260720"": -6.814321114199164, ""run_seed_20260721"": -2.36246477231589}",0.5471365427872973,9.947598300641404e-16,6.907223338604151,,,descriptive folder and seed fixed effects
