pair_key,clean_path,noisy_path,source_pair_key,structure_source,strength_level,target_residual_std,construction_seed,claim_boundary
factorial_15ms_to_500ms_000,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_000.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_000.tif,15ms_to_500ms_000,p99,low,0.0014849888249315979,20260715,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_001,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_001.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_001.tif,15ms_to_500ms_001,p99,low,0.0014707957135373635,20260716,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_002,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_002.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_002.tif,15ms_to_500ms_002,p99,low,0.0014886802005500042,20260717,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_003,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_003.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_003.tif,15ms_to_500ms_003,p99,low,0.0014653820995918418,20260718,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_004,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_004.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_004.tif,15ms_to_500ms_004,p99,low,0.001473620402019068,20260719,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_005,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_005.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_005.tif,15ms_to_500ms_005,p99,low,0.001278998554606541,20260720,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_006,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_006.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_006.tif,15ms_to_500ms_006,p99,low,0.0012623670569125115,20260721,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_007,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_007.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_007.tif,15ms_to_500ms_007,p99,low,0.0012560466293491477,20260722,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_008,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_008.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_008.tif,15ms_to_500ms_008,p99,low,0.0012641422977754592,20260723,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_009,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_009.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_009.tif,15ms_to_500ms_009,p99,low,0.0012630047803286115,20260724,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_010,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_010.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_010.tif,15ms_to_500ms_010,p99,low,0.0012293617061263824,20260725,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_011,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_011.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_011.tif,15ms_to_500ms_011,p99,low,0.0012776268507475427,20260726,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_012,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_012.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_012.tif,15ms_to_500ms_012,p99,low,0.00124339492477658,20260727,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_013,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_013.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_013.tif,15ms_to_500ms_013,p99,low,0.001336471716475131,20260728,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_014,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_014.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_014.tif,15ms_to_500ms_014,p99,low,0.0017205915756868149,20260729,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_015,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_015.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_015.tif,15ms_to_500ms_015,p99,low,0.0016633681891361797,20260730,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_016,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_016.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_016.tif,15ms_to_500ms_016,p99,low,0.0015732230272829093,20260731,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_017,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_017.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_017.tif,15ms_to_500ms_017,p99,low,0.001535100042606403,20260732,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_018,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_018.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_018.tif,15ms_to_500ms_018,p99,low,0.0014655037191114969,20260733,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_019,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_019.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_019.tif,15ms_to_500ms_019,p99,low,0.0014059151074060788,20260734,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_020,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_020.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_020.tif,15ms_to_500ms_020,p99,low,0.0014100156545345844,20260735,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_021,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_021.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_021.tif,15ms_to_500ms_021,p99,low,0.0015301270627290384,20260736,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_022,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_022.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_022.tif,15ms_to_500ms_022,p99,low,0.0016585810110551248,20260737,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_023,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_023.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_023.tif,15ms_to_500ms_023,p99,low,0.0016333589035083381,20260738,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_024,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_024.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_024.tif,15ms_to_500ms_024,p99,low,0.0016443625963293675,20260739,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_025,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_025.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_025.tif,15ms_to_500ms_025,p99,low,0.0018063986468187152,20260740,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_026,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_026.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_026.tif,15ms_to_500ms_026,p99,low,0.0017482748460376728,20260741,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_027,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_027.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_027.tif,15ms_to_500ms_027,p99,low,0.0017709381518436157,20260742,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_028,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_028.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_028.tif,15ms_to_500ms_028,p99,low,0.0017442602822115702,20260743,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_029,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_029.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_029.tif,15ms_to_500ms_029,p99,low,0.0017502189482108362,20260744,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_030,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_030.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_030.tif,15ms_to_500ms_030,p99,low,0.0017614751522125826,20260745,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_031,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_031.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_031.tif,15ms_to_500ms_031,p99,low,0.0017321851872384455,20260746,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_032,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_032.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_032.tif,15ms_to_500ms_032,p99,low,0.0017373217313097016,20260747,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_033,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_033.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_033.tif,15ms_to_500ms_033,p99,low,0.0017122420911313552,20260748,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_034,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_034.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_034.tif,15ms_to_500ms_034,p99,low,0.0016997231882398306,20260749,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_035,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_035.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_035.tif,15ms_to_500ms_035,p99,low,0.0017614564617023723,20260750,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_036,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_036.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_036.tif,15ms_to_500ms_036,p99,low,0.0017364453771990882,20260751,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_037,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_037.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_037.tif,15ms_to_500ms_037,p99,low,0.001762620579744898,20260752,controlled synthetic factorial data; not real ICCD ground truth
factorial_15ms_to_500ms_038,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\shared_clean\factorial_15ms_to_500ms_038.tif,E:\PNGAN-main\iccd-photonics-denoising\reports\e5_noise_factorial\P-L\noisy\factorial_15ms_to_500ms_038.tif,15ms_to_500ms_038,p99,low,0.0017335226206160188,20260753,controlled synthetic factorial data; not real ICCD ground truth
