variant,pair_key,source_pair_key,structure_source,strength_level,seed,p99_source_residual_std,physical_source_residual_std,p99_source_clean_std,physical_source_clean_std,common_clean_std,target_residual_std,realized_residual_mean,realized_residual_std,preclip_pixel_ratio,saved_zero_pixel_ratio,saved_one_pixel_ratio,signal_residual_correlation
P-L,factorial_15ms_to_500ms_000,15ms_to_500ms_000,p99,low,20260715,0.0015085604406128935,0.0008873176938675052,0.0571871160627582,0.015565036314248257,0.056293553772867225,0.0014849888249315979,-4.543096565612359e-09,0.0014850007933291894,1.52587890625e-05,0.0,1.52587890625e-05,-0.01933857199658406
P-H,factorial_15ms_to_500ms_000,15ms_to_500ms_000,p99,high,20260715,0.0015085604406128935,0.0008873176938675052,0.0571871160627582,0.015565036314248257,0.056293553772867225,0.003209132655066304,-1.0884718903980684e-08,0.0032091394841607316,1.9073486328125e-05,0.0,1.9073486328125e-05,-0.019939684153596027
H-L,factorial_15ms_to_500ms_000,15ms_to_500ms_000,physical,low,20260715,0.0015085604406128935,0.0008873176938675052,0.0571871160627582,0.015565036314248257,0.056293553772867225,0.0014849888249315979,-1.7585534806130454e-08,0.0014850014470775919,3.0517578125e-05,0.0,3.0517578125e-05,-0.010334121018889753
H-H,factorial_15ms_to_500ms_000,15ms_to_500ms_000,physical,high,20260715,0.0015085604406128935,0.0008873176938675052,0.0571871160627582,0.015565036314248257,0.056293553772867225,0.003209132655066304,1.0127337191079278e-08,0.0032091389305798418,3.0517578125e-05,0.0,3.0517578125e-05,-0.010768917800176041
P-L,factorial_15ms_to_500ms_001,15ms_to_500ms_001,p99,low,20260716,0.0014941420372771087,0.0008756402672926947,0.058292130711963604,0.015334008570828587,0.05738130234282064,0.0014707957135373635,1.111415315335762e-08,0.0014708099873897518,4.57763671875e-05,0.0,4.57763671875e-05,0.002287070902185812
P-H,factorial_15ms_to_500ms_001,15ms_to_500ms_001,p99,high,20260716,0.0014941420372771087,0.0008756402672926947,0.058292130711963604,0.015334008570828587,0.05738130234282064,0.003276728240302225,-4.887624527327716e-09,0.003276730476733898,4.57763671875e-05,0.0,4.57763671875e-05,0.0022927432908498775
H-L,factorial_15ms_to_500ms_001,15ms_to_500ms_001,physical,low,20260716,0.0014941420372771087,0.0008756402672926947,0.058292130711963604,0.015334008570828587,0.05738130234282064,0.0014707957135373635,8.962629749476037e-09,0.0014707952079629468,4.1961669921875e-05,0.0,4.1961669921875e-05,-0.005238276564153372
H-H,factorial_15ms_to_500ms_001,15ms_to_500ms_001,physical,high,20260716,0.0014941420372771087,0.0008756402672926947,0.058292130711963604,0.015334008570828587,0.05738130234282064,0.003276728240302225,1.2866337328887312e-08,0.0032767367634264203,4.57763671875e-05,0.0,4.57763671875e-05,-0.005416988496985135
P-L,factorial_15ms_to_500ms_002,15ms_to_500ms_002,p99,low,20260717,0.0015123104105768637,0.0009020181807109662,0.05822657919889966,0.015605323131288429,0.05731677504361997,0.0014886802005500042,4.0705998571866076e-09,0.0014886869058020353,2.288818359375e-05,0.0,2.288818359375e-05,-0.024067882619275022
P-H,factorial_15ms_to_500ms_002,15ms_to_500ms_002,p99,high,20260717,0.0015123104105768637,0.0009020181807109662,0.05822657919889966,0.015605323131288429,0.05731677504361997,0.0033130216346117535,1.0879830369958654e-08,0.003313028850728778,2.6702880859375e-05,0.0,3.0517578125e-05,-0.024427595371141916
