variant,seed,reference,mean_folder_psnr_gain,std_folder_psnr_gain,positive_folder_count,worst_folder_psnr_gain,mean_ssim,mean_gradient_ratio_to_noisy,mean_residual_std,mean_brightness_bias
H-H,20260716,reference_a_odd,-4.197825959154764,2.2158498868970873,0,-7.8531792642253935,0.9911822078831569,0.4130361888499435,0.002116029152966803,-0.0013065508610452525
H-H,20260716,reference_b_even,-4.1971912941363145,2.2266945606838764,0,-7.843013587857959,0.9911891417757671,0.4130361888499435,0.0021133885165909305,-0.0013048481341684237
H-H,20260717,reference_a_odd,-5.52997547511306,2.3946399024402734,0,-8.975634714859757,0.9891524977624204,0.38509434294556694,0.002405237574748753,-0.0014504042512271554
H-H,20260717,reference_b_even,-5.530354729334211,2.4005147990211713,0,-8.956630037100243,0.989160931473925,0.38509434294556694,0.0024026533124924753,-0.0014487015156191773
H-H,20260718,reference_a_odd,-4.945923433238712,2.671398804798552,0,-8.848765055545988,0.9893326969126306,0.4046231509821555,0.0024419942435997656,-0.001077484607230872
H-H,20260718,reference_b_even,-4.945169502388192,2.677308096138962,0,-8.829097056317401,0.9893415557401462,0.4046231509821555,0.002439479085478524,-0.00107578187744366
H-L,20260716,reference_a_odd,-1.6666941020172845,1.927229466082655,0,-6.380419746636621,0.9947250528542897,0.5334052954758339,0.0018077237071338458,-0.0003699019523082825
H-L,20260716,reference_b_even,-1.6628174195201297,1.940608444088181,0,-6.459234496631447,0.9947267702897487,0.5334052954758339,0.0018049672369670588,-0.00036819921751884976
H-L,20260717,reference_a_odd,-2.4335352865463173,1.2922171208288435,0,-5.211288542898418,0.9940492507406404,0.5509412889984621,0.0019003566554602002,-0.0008226119189203018
H-L,20260717,reference_b_even,-2.430555672899562,1.317342746699783,0,-5.301904030060452,0.9940526449311482,0.5509412889984621,0.0018977067493324284,-0.0008209091793105472
H-L,20260718,reference_a_odd,-1.5808466871012754,1.4010792450987735,0,-4.604751671622692,0.9946134300086035,0.5072267848963091,0.0018223996232336504,-0.000563202660123352
H-L,20260718,reference_b_even,-1.5755321864005427,1.4270596149771773,0,-4.7019922063426725,0.994617245208628,0.5072267848963091,0.0018195782346083432,-0.0005614999256067677
P-H,20260716,reference_a_odd,-4.248310741943246,1.376532975574494,0,-6.729100449072627,0.9939841380928793,0.34251874791244485,0.0019068285140747322,-0.0015052061735332245
P-H,20260716,reference_b_even,-4.246921860567191,1.3956178782652118,0,-6.804705787853926,0.993988626612607,0.34251874791244485,0.0019038331392948749,-0.0015035034481115871
P-H,20260717,reference_a_odd,-4.13576379080123,1.799476337302017,0,-6.313479519686694,0.9932379160334728,0.3514406148953599,0.0019424184336457983,-0.0013996906563988887
P-H,20260717,reference_b_even,-4.133970531126065,1.8135671167677605,0,-6.302499381344548,0.9932446532109527,0.3514406148953599,0.0019390540679523837,-0.0013979879338876344
P-H,20260718,reference_a_odd,-4.562517919167577,1.8231656595556252,0,-6.716385078857079,0.9924211916564417,0.36064645914909804,0.0020336588844656945,-0.0016842657794768456
P-H,20260718,reference_b_even,-4.5621667714240255,1.841734615286319,0,-6.691060218760945,0.9924276753881476,0.36064645914909804,0.00203095014912833,-0.0016825630445964634
P-L,20260716,reference_a_odd,-0.8936046754329517,2.100234967111608,5,-6.249120419764035,0.9953426405407078,0.5555512926610093,0.0017275452883040998,-0.00010039582368790435
P-L,20260716,reference_b_even,-0.8906709230753517,2.113224782461166,4,-6.329263102494786,0.9953433405532743,0.5555512926610093,0.0017248058127734111,-9.869309265013726e-05
P-L,20260717,reference_a_odd,-0.3732113962034379,1.3348321333142779,4,-4.075105330280459,0.9955314463526431,0.5900922791752115,0.0017202633571287151,-0.0001395264322241019
P-L,20260717,reference_b_even,-0.36942813881744047,1.366299789234733,4,-4.178560650059365,0.995532916922253,0.5900922791752115,0.0017175909722936921,-0.00013782370238573093
P-L,20260718,reference_a_odd,-0.22541570387767074,1.3606370689811642,7,-3.9686973167026895,0.9956965860530452,0.563395059789422,0.0016910789930989268,-0.00012202368061196012
P-L,20260718,reference_b_even,-0.2206917171655432,1.3917115884833071,7,-4.073043013427938,0.9956981745024445,0.563395059789422,0.0016883067088201641,-0.00012032095261247378
