effect,seed,reference,folder,psnr_gain,ssim,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
strength_main,20260716,reference_a_odd,1,-4.373561514578183,-0.0033888723114587904,-0.2045752641505409,0.000599368562689051,-0.0008484862423756567
structure_main,20260716,reference_a_odd,1,-1.4704697710277572,-0.0014545190981893885,-0.041017005674764795,0.00020852225134149194,-0.00031970160625860444
interaction,20260716,reference_a_odd,1,-0.4745711807912807,-0.0016962957505421983,0.026888470354516497,0.00014408634160645306,-0.00011261329655098962
P-H_minus_P-L,20260716,reference_a_odd,1,-4.136275924182542,-0.0025407244361876913,-0.21801949932779918,0.0005273253918858245,-0.0007921795941001619
H-H_minus_H-L,20260716,reference_a_odd,1,-4.610847104973823,-0.0042370201867298896,-0.19113102897328269,0.0006714117334922776,-0.0009047928906511515
H-L_minus_P-L,20260716,reference_a_odd,1,-1.2331841806321169,-0.0006063712229182894,-0.05446124085202303,0.0001364790805382654,-0.00026339495798310963
H-H_minus_P-H,20260716,reference_a_odd,1,-1.7077553614233976,-0.0023026669734604877,-0.027572770497506532,0.00028056542214471847,-0.00037600825453409925
strength_main,20260716,reference_a_odd,2,0.13504078840400258,4.3714815069262336e-05,-0.02279782843449399,4.260935929778498e-05,-4.311772499931976e-05
structure_main,20260716,reference_a_odd,2,0.42492895238826733,0.00015966055118910027,-0.00026162836225462893,9.343317287857644e-06,-6.224987737368792e-05
interaction,20260716,reference_a_odd,2,1.199006287418161,0.00045479257005753837,0.01037189403303113,-5.205187335377559e-06,-0.00015600607730448246
P-H_minus_P-L,20260716,reference_a_odd,2,-0.46446235530507796,-0.00018368146995950685,-0.02798377545100955,4.5211952965473756e-05,3.488531365292147e-05
H-H_minus_H-L,20260716,reference_a_odd,2,0.7345439321130831,0.0002711111000980315,-0.017611881417978422,4.00067656300962e-05,-0.00012112076365156099
H-L_minus_P-L,20260716,reference_a_odd,2,-0.1745741913208132,-6.773573383966891e-05,-0.005447575378770192,1.1945910955546424e-05,1.5753161278553307e-05
H-H_minus_P-H,20260716,reference_a_odd,2,1.0244320960973479,0.00038705683621786946,0.0049243186542609375,6.740723620168865e-06,-0.00014025291602592915
strength_main,20260716,reference_a_odd,4,-3.092909761283785,-0.0016106659755197317,-0.1798745777862294,0.0002471195184625685,-0.0013318201345100533
structure_main,20260716,reference_a_odd,4,0.5196931725993776,-0.0007906269500379537,0.08374060973042541,-7.224900764413178e-05,0.00016362129463232122
interaction,20260716,reference_a_odd,4,2.2322391202618004,-0.000515022799028042,0.2070549344585868,-0.00024155405117198825,0.0009321458710473962
P-H_minus_P-L,20260716,reference_a_odd,4,-4.209029321414685,-0.0013531545760057107,-0.2834020450155228,0.00036789654404856265,-0.0017978930700337514
H-H_minus_H-L,20260716,reference_a_odd,4,-1.9767902011528848,-0.0018681773750337527,-0.076347110556936,0.0001263424928765744,-0.0008657471989863552
H-L_minus_P-L,20260716,reference_a_odd,4,-0.5964263875315226,-0.0005331155505239327,-0.019786857498867993,4.8528017941862345e-05,-0.0003024516408913769
H-H_minus_P-H,20260716,reference_a_odd,4,1.6358127327302778,-0.0010481383495519747,0.1872680769597188,-0.0001930260332301259,0.0006296942301560193
strength_main,20260716,reference_a_odd,5,-1.4501979626310715,-0.0022173058760744935,-0.19586819940340017,-0.0005194305267650634,-0.002661937069206033
structure_main,20260716,reference_a_odd,5,-0.03761808443236214,-0.0053047377019156405,0.08430968292206509,0.0004253779479768127,0.00030311491718748584
interaction,20260716,reference_a_odd,5,0.3134737299569954,-0.009116806632529895,0.18356595268421227,0.0008363783708773553,0.0014445657579926774
P-H_minus_P-L,20260716,reference_a_odd,5,-1.6069348276095692,0.0023410974401903983,-0.28765117574550625,-0.0009376197122037411,-0.0033842199482023716
H-H_minus_H-L,20260716,reference_a_odd,5,-1.2934610976525738,-0.006775709192339496,-0.10408522306129397,-0.00010124134132638574,-0.0019396541902096942
H-L_minus_P-L,20260716,reference_a_odd,5,-0.19435494941085985,-0.0007463343856507487,-0.007473293420040994,7.188762538135052e-06,-0.00041916796180885285
H-H_minus_P-H,20260716,reference_a_odd,5,0.11911878054613556,-0.009863141018180643,0.17609265926417128,0.0008435671334154904,0.0010253977961838245
strength_main,20260716,reference_a_odd,7,-2.8493109973574233,-0.0034830057019707983,-0.2086334228746557,-0.00012937212886754423,-0.002072977276839083
structure_main,20260716,reference_a_odd,7,0.2873781492122296,-0.003178088713889138,0.07496032497524174,0.00013826762733515352,0.00020715975915663876
interaction,20260716,reference_a_odd,7,1.7763129440522363,-0.0037851568008409053,0.18059352604699397,0.00023273835540749133,0.001449954455893021
