variant,seed,reference,folder,pair_count,positive_pair_fraction,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
H-H,20260716,reference_a_odd,1,8,0.0,-5.425978165819024,0.9933407447459459,-0.0047638164808889855,0.22894787162348115,0.0020384045492392033,-0.0013103838718961924
H-H,20260716,reference_a_odd,2,8,0.0,-2.237163361426333,0.9985494144688882,-0.000877806372435036,0.025770037281153627,0.0005323266595951281,0.0007314471949939616
H-H,20260716,reference_a_odd,4,8,0.0,-2.467854142610996,0.9933425235018167,-0.0021806699070096858,0.6615274757047902,0.002130003209458664,-0.0016992751916404814
H-H,20260716,reference_a_odd,5,8,0.0,-1.5392072807574717,0.9763710607385885,-0.0074164308289518255,0.8666688376279184,0.004536223539616913,-0.0032715682173147798
H-H,20260716,reference_a_odd,7,8,0.0,-2.589438548788289,0.9856319825218183,-0.006652387897978201,0.7398923187790949,0.0027232672728132457,-0.0026226078043691814
H-H,20260716,reference_a_odd,8,8,0.0,-2.669414474586503,0.988520674679652,-0.0050698985064427105,0.7125507182965254,0.002391299552982673,-0.0023584529117215425
H-H,20260716,reference_a_odd,9,8,0.0,-4.37771667617027,0.9939986340634127,-0.0033616285624643444,0.5026359212249585,0.0020585455058608204,-0.0014742923667654395
H-H,20260716,reference_a_odd,10,8,0.0,-6.992010124352956,0.9921633377995122,-0.0061483119561853705,0.28617191859255076,0.0023421496734954417,-0.0013770190416835248
H-H,20260716,reference_a_odd,11,8,0.0,-7.8531792642253935,0.9925476184791703,-0.006407188683658388,0.07833587065705633,0.0021845119481440634,-0.0008647923459648155
H-H,20260716,reference_a_odd,13,8,0.0,-5.826297552810404,0.9973560878327647,-0.002202730122064095,0.027860918711905255,0.0002235596184618771,0.0011814359459094703
H-H,20260716,reference_b_even,1,8,0.0,-5.453275295748653,0.9933439799996777,-0.004773162486588253,0.22894787162348115,0.0020359224872663617,-0.0013128823193255812
H-H,20260716,reference_b_even,2,8,0.0,-2.133602767971862,0.9985831846934841,-0.000842270527532149,0.025770037281153627,0.0005325097008608282,0.0007189934549387544
H-H,20260716,reference_b_even,4,8,0.0,-2.482768101265493,0.9933338159815072,-0.0021945140970328902,0.6615274757047902,0.00212825633934699,-0.0017052839102689177
H-H,20260716,reference_b_even,5,8,0.0,-1.53878376116473,0.9764224496981886,-0.007383641369364841,0.8666688376279184,0.004525624099187553,-0.0032633870432619005
H-H,20260716,reference_b_even,7,8,0.0,-2.5921992604642776,0.9856417415392885,-0.006644445566578061,0.7398923187790949,0.0027191768458578736,-0.0026230861549265683
