folder,frame_count,frame_mean_mean,frame_mean_std,frame_std_mean,frame_std_std,mean_drift_dn_per_frame,std_drift_dn_per_frame,first_last_mean_shift_dn,first_last_mean_shift_over_temporal_std,first_last_std_shift_dn,local_drift_max_over_temporal_std,registration_shift_mean_px,registration_shift_p95_px,registration_shift_max_px,adjacent_frame_correlation,far_frame_correlation,fixed_map_half_correlation,fixed_map_half_rmse_dn,temporal_std_mean_dn,lag1_residual_correlation,lag32_residual_correlation,lag1_highpass_correlation,lag1_row_correlation,lag1_column_correlation
1,200,1157.3995986938476,2.926456710933812,249.83729784604387,0.611970382294902,0.013970045311313285,-0.0014728420180807839,2.576512451171766,0.036493174535351836,-0.15053806349197885,0.18938532888726653,0.0,0.0,0.0,0.9189946005715074,0.8982408825245471,0.9771690564714564,51.15060806274414,70.60258483886719,0.13243236462070068,0.08703784180394254,-0.0037478439166305113,0.502240040678961,0.5609435675441401
2,200,964.9581463623047,3.1784805793921116,56.75042532847267,0.22999288618387642,-0.020789038585826546,0.0020106122728449586,-3.280208740234343,0.07515830899909035,0.2927465507891611,0.09359732282400568,0.0,0.0,0.0,0.38807187577131447,0.3832195255082085,0.9722104376576949,8.34228801727295,43.64399337768555,0.0007027608093753383,0.001103618713669838,-0.00515321586452505,0.023788743596937573,0.08513858937293349
4,200,1782.1325646972657,4.5331088606652195,926.8174673844063,3.271056061176473,-0.044710260304111,-0.05299057084455918,-8.268239746093741,0.07360005259209619,-8.091358093562121,0.30383671023398456,0.0,0.0,0.0,0.9812369499422138,0.9800949689525588,0.998686949805839,47.184410095214844,112.34013366699219,0.0369180266435539,0.018447250206398896,-0.0013624313575383799,0.1721385897151142,0.6255265507264104
5,200,4690.909596557617,16.081631576429242,4013.2377757586587,14.325196401361756,-0.2606018205569843,-0.2310986898515873,-39.0468933105476,0.16550474059860007,-35.73297895452015,0.6836132354524791,0.0,0.0,0.0,0.9958490407621561,0.994857983814598,0.9989698486103961,183.5966033935547,235.92613220214844,0.12881904718333576,0.08590930967125877,-0.0038339391995173503,0.5255647595692913,0.7884456857241373
7,200,2509.448143310547,3.2298766303629804,1712.4809223996933,3.3043517112468286,-0.013543587460530391,-0.02355759419929872,-1.9024572753905886,0.012705241057759645,-4.132974862925494,0.4196946794984607,0.0,0.0,0.0,0.9901857827175943,0.9893303210002777,0.9990989953893858,72.61125183105469,149.7379913330078,0.0481244862780295,0.030607767182484216,-0.005186110208099045,0.2545529879122892,0.7156844152866287
8,200,2240.6550509643553,3.3084734373890297,1425.6874742937164,2.39880286907749,-0.01488009290381176,-0.032877128106389146,-2.887536621093659,0.021281041853133315,-5.292808164600274,0.3331148299052586,0.0,0.0,0.0,0.9881336024904165,0.9876232615075738,0.9993656656842301,50.45112609863281,135.6858673095703,0.02325843030258796,0.017864947155873494,-0.006169523488828097,0.2226714635813285,0.544299834944631
9,200,1399.1596292114257,2.930095935665211,518.4036138429892,0.997559100650368,0.012284219504779762,0.012126306529729227,1.452416992187409,0.016584313326465257,1.7018576454087224,0.11720192853170383,0.0,0.0,0.0,0.9640363454448527,0.9637065469177752,0.9992356896263594,20.04848861694336,87.5777587890625,0.0035273059833053175,-0.0009077146353304912,-0.00523273578871502,0.02115638397852471,0.399824680650924
10,200,1201.2420809936523,2.8176617696938524,306.2048624736482,0.6131119658172896,0.0017708479668804035,-0.0031835438553930316,0.10600708007814319,0.0014858955228910962,-0.564556298945945,0.09274591601061152,0.0,0.0,0.0,0.9349179761633367,0.9343447077958764,0.9989856925373048,13.467312812805176,71.34221649169922,-0.002433340730060917,-0.005916712164241922,-0.006408208985613305,0.01726755125648938,0.24938935939532278
11,200,1080.4407278442384,3.7050074970373257,174.58131060208086,1.2019590224770458,-0.038125052598358446,0.00201924221478256,-6.633387451171757,0.11410590039906943,0.1508354520829016,0.14483532659080003,0.0,0.0,0.0,0.8761526848375993,0.8762537072567586,0.9984779111234477,8.98444652557373,58.13360595703125,-0.0020093367361666264,-0.004037171547903755,-0.005806743541401797,0.0068796056688898224,0.06844228523254715
13,200,936.2326419067383,3.1191954274503706,41.72239345668877,0.09475210345785288,0.016060227448682643,-9.618196280536192e-05,2.158626708984457,0.056001651534529864,-0.00768664317675416,0.07447581493550129,0.0,0.0,0.0,0.10137780483231751,0.10145769100277265,0.9162115638981652,5.635183334350586,38.54576873779297,-0.0036088140677136386,-0.005468539975642635,-0.004402708441579615,0.0019191353350789461,-0.00015555579548094263
