folder,candidate,pair_count_nonreused,input_frame_count,target_frame_count,input_residual_std_dn,target_residual_std_dn,input_target_difference_std_dn,target_bias_dn,fixed_pattern_retained,fixed_map_half_correlation,inference_input,oversmoothing_risk
1,single_to_single,100,1,1,77.39634498596192,77.40548645019531,101.16548500061035,0.07878079287707805,True,0.9771690564714564,single-frame,low
1,single_to_8mean,22,1,8,77.77015616677024,38.55357187444513,75.85830029574308,-0.012086608193137428,True,0.9771690564714564,single-frame,moderate
1,single_to_16mean,11,1,16,78.03360956365412,33.632176485928625,73.80485673384233,-0.17834168672561646,True,0.9771690564714564,single-frame,high
1,8mean_to_8mean,12,8,8,38.9823784828186,38.6797833442688,36.04632250467936,0.16286441311240196,True,0.9771690564714564,eight-frame mean,moderate
1,odd_mean_to_even_mean,1,100,100,7.1774749755859375,7.1774749755859375,10.150482177734375,0.07878073304891586,True,0.9771690564714564,temporal mean,high
1,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.9771690564714564,synthetic content,not_pairable
2,single_to_single,100,1,1,45.04130252838135,45.043376693725584,63.3862003326416,0.3103698609769344,True,0.9722104376576949,single-frame,low
2,single_to_8mean,22,1,8,45.06657617742365,16.500770828940652,47.56199628656561,-0.04806289313869043,True,0.9722104376576949,single-frame,moderate
2,single_to_16mean,11,1,16,45.055906469171696,12.119253592057662,46.184296347878195,-0.07461047849871895,True,0.9722104376576949,single-frame,high
2,8mean_to_8mean,12,8,8,16.514729340871174,16.51876433690389,22.413180669148762,-0.25185727638502914,True,0.9722104376576949,eight-frame mean,moderate
2,odd_mean_to_even_mean,1,100,100,4.477663516998291,4.477663516998291,6.332372665405273,0.3103698194026947,True,0.9722104376576949,temporal mean,high
2,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.9722104376576949,synthetic content,not_pairable
4,single_to_single,100,1,1,130.3556393432617,130.4440958404541,180.4941682434082,0.08206835307180882,True,0.998686949805839,single-frame,low
4,single_to_8mean,22,1,8,130.5043830871582,52.57358724420721,135.35048051313922,0.24795536290515552,True,0.998686949805839,single-frame,moderate
4,single_to_16mean,11,1,16,130.66543301669034,41.4562312039462,131.5974023992365,0.36286983571269293,True,0.998686949805839,single-frame,high
4,8mean_to_8mean,12,8,8,52.76411437988281,52.658331871032715,63.9363956451416,-0.04437228540579478,True,0.998686949805839,eight-frame mean,moderate
4,odd_mean_to_even_mean,1,100,100,12.781429290771484,12.781429290771484,18.07567024230957,0.08206836879253387,True,0.998686949805839,temporal mean,high
4,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.998686949805839,synthetic content,not_pairable
5,single_to_single,100,1,1,279.74439331054685,279.9676385498047,366.57331939697264,-0.20464435026049613,True,0.9989698486103961,single-frame,low
5,single_to_8mean,22,1,8,281.36057212136006,138.28794826160777,275.09303006258875,0.21371627937663684,True,0.9989698486103961,single-frame,moderate
5,single_to_16mean,11,1,16,281.76699274236506,120.04627713290128,267.6614685058594,1.3623224171725186,True,0.9989698486103961,single-frame,high
5,8mean_to_8mean,12,8,8,139.3929271697998,138.86077690124512,130.35939661661783,-0.6702413558959961,True,0.9989698486103961,eight-frame mean,moderate
5,odd_mean_to_even_mean,1,100,100,25.929508209228516,25.929508209228516,36.66986083984375,-0.20464357733726501,True,0.9989698486103961,temporal mean,high
5,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.9989698486103961,synthetic content,not_pairable
7,single_to_single,100,1,1,175.1243147277832,175.00360931396483,240.3255355834961,0.07156561639159918,True,0.9990989953893858,single-frame,low
7,single_to_8mean,22,1,8,174.9845234264027,73.43031345714222,179.9903002652255,0.12274967100132596,True,0.9990989953893858,single-frame,moderate
7,single_to_16mean,11,1,16,175.45409878817472,59.25619264082475,175.09231428666547,0.2464722591367635,True,0.9990989953893858,single-frame,high
