source_key,folder,frame_index,source_path,split,role,pair_key
folder_1_frame_1,1,1,D:\iccd\data\20260319\1\1-Camera1[20600555].tif,train,input,folder_1_block_01
folder_1_frame_2,1,2,D:\iccd\data\20260319\1\2-Camera1[20600555].tif,train,target_member,folder_1_block_01
folder_1_frame_3,1,3,D:\iccd\data\20260319\1\3-Camera1[20600555].tif,train,target_member,folder_1_block_01
folder_1_frame_4,1,4,D:\iccd\data\20260319\1\4-Camera1[20600555].tif,train,target_member,folder_1_block_01
folder_1_frame_5,1,5,D:\iccd\data\20260319\1\5-Camera1[20600555].tif,train,target_member,folder_1_block_01
folder_1_frame_6,1,6,D:\iccd\data\20260319\1\6-Camera1[20600555].tif,train,target_member,folder_1_block_01
folder_1_frame_7,1,7,D:\iccd\data\20260319\1\7-Camera1[20600555].tif,train,target_member,folder_1_block_01
folder_1_frame_8,1,8,D:\iccd\data\20260319\1\8-Camera1[20600555].tif,train,target_member,folder_1_block_01
folder_1_frame_9,1,9,D:\iccd\data\20260319\1\9-Camera1[20600555].tif,train,target_member,folder_1_block_01
folder_1_frame_10,1,10,D:\iccd\data\20260319\1\10-Camera1[20600555].tif,train,input,folder_1_block_02
folder_1_frame_11,1,11,D:\iccd\data\20260319\1\11-Camera1[20600555].tif,train,target_member,folder_1_block_02
folder_1_frame_12,1,12,D:\iccd\data\20260319\1\12-Camera1[20600555].tif,train,target_member,folder_1_block_02
folder_1_frame_13,1,13,D:\iccd\data\20260319\1\13-Camera1[20600555].tif,train,target_member,folder_1_block_02
folder_1_frame_14,1,14,D:\iccd\data\20260319\1\14-Camera1[20600555].tif,train,target_member,folder_1_block_02
folder_1_frame_15,1,15,D:\iccd\data\20260319\1\15-Camera1[20600555].tif,train,target_member,folder_1_block_02
folder_1_frame_16,1,16,D:\iccd\data\20260319\1\16-Camera1[20600555].tif,train,target_member,folder_1_block_02
folder_1_frame_17,1,17,D:\iccd\data\20260319\1\17-Camera1[20600555].tif,train,target_member,folder_1_block_02
folder_1_frame_18,1,18,D:\iccd\data\20260319\1\18-Camera1[20600555].tif,train,target_member,folder_1_block_02
folder_1_frame_19,1,19,D:\iccd\data\20260319\1\19-Camera1[20600555].tif,train,input,folder_1_block_03
folder_1_frame_20,1,20,D:\iccd\data\20260319\1\20-Camera1[20600555].tif,train,target_member,folder_1_block_03
folder_1_frame_21,1,21,D:\iccd\data\20260319\1\21-Camera1[20600555].tif,train,target_member,folder_1_block_03
folder_1_frame_22,1,22,D:\iccd\data\20260319\1\22-Camera1[20600555].tif,train,target_member,folder_1_block_03
folder_1_frame_23,1,23,D:\iccd\data\20260319\1\23-Camera1[20600555].tif,train,target_member,folder_1_block_03
folder_1_frame_24,1,24,D:\iccd\data\20260319\1\24-Camera1[20600555].tif,train,target_member,folder_1_block_03
folder_1_frame_25,1,25,D:\iccd\data\20260319\1\25-Camera1[20600555].tif,train,target_member,folder_1_block_03
folder_1_frame_26,1,26,D:\iccd\data\20260319\1\26-Camera1[20600555].tif,train,target_member,folder_1_block_03
folder_1_frame_27,1,27,D:\iccd\data\20260319\1\27-Camera1[20600555].tif,train,target_member,folder_1_block_03
folder_1_frame_28,1,28,D:\iccd\data\20260319\1\28-Camera1[20600555].tif,train,input,folder_1_block_04
folder_1_frame_29,1,29,D:\iccd\data\20260319\1\29-Camera1[20600555].tif,train,target_member,folder_1_block_04
folder_1_frame_30,1,30,D:\iccd\data\20260319\1\30-Camera1[20600555].tif,train,target_member,folder_1_block_04
folder_1_frame_31,1,31,D:\iccd\data\20260319\1\31-Camera1[20600555].tif,train,target_member,folder_1_block_04
folder_1_frame_32,1,32,D:\iccd\data\20260319\1\32-Camera1[20600555].tif,train,target_member,folder_1_block_04
folder_1_frame_33,1,33,D:\iccd\data\20260319\1\33-Camera1[20600555].tif,train,target_member,folder_1_block_04
folder_1_frame_34,1,34,D:\iccd\data\20260319\1\34-Camera1[20600555].tif,train,target_member,folder_1_block_04
folder_1_frame_35,1,35,D:\iccd\data\20260319\1\35-Camera1[20600555].tif,train,target_member,folder_1_block_04
folder_1_frame_36,1,36,D:\iccd\data\20260319\1\36-Camera1[20600555].tif,train,target_member,folder_1_block_04
folder_1_frame_37,1,37,D:\iccd\data\20260319\1\37-Camera1[20600555].tif,train,input,folder_1_block_05
