feature_a,feature_b,pearson_r
mean_signal,mean_signal,1.0
mean_signal,temporal_std_mean,0.9742573335414926
mean_signal,fano_temporal,0.894930285073643
mean_signal,fixed_map_std,0.9999576867065605
mean_signal,fixed_to_temporal_std_ratio,0.955635706865507
temporal_std_mean,mean_signal,0.9742573335414926
temporal_std_mean,temporal_std_mean,1.0
temporal_std_mean,fano_temporal,0.9720445333681107
temporal_std_mean,fixed_map_std,0.975860546851142
temporal_std_mean,fixed_to_temporal_std_ratio,0.9973330733543669
fano_temporal,mean_signal,0.8949302850736429
fano_temporal,temporal_std_mean,0.9720445333681107
fano_temporal,fano_temporal,1.0
fano_temporal,fixed_map_std,0.8982695976074052
fano_temporal,fixed_to_temporal_std_ratio,0.9856095492840945
fixed_map_std,mean_signal,0.9999576867065605
fixed_map_std,temporal_std_mean,0.975860546851142
fixed_map_std,fano_temporal,0.8982695976074052
fixed_map_std,fixed_map_std,1.0
fixed_map_std,fixed_to_temporal_std_ratio,0.9577049299164344
fixed_to_temporal_std_ratio,mean_signal,0.9556357068655073
fixed_to_temporal_std_ratio,temporal_std_mean,0.9973330733543669
fixed_to_temporal_std_ratio,fano_temporal,0.9856095492840945
fixed_to_temporal_std_ratio,fixed_map_std,0.9577049299164344
fixed_to_temporal_std_ratio,fixed_to_temporal_std_ratio,1.0
