folder,frame_count,metadata_rows,missing_frame_count,unreadable_frame_count,shape_mismatch_count,dtype_mismatch_count,duplicate_center_crop_count,sample_min,sample_max,sample_zero_fraction,sample_saturated_fraction,gate
1,200,200,0,0,0,0,0,528.0,2208.0,0.0,0.0,PASS
2,200,200,0,0,0,0,0,496.0,1808.0,0.0,0.0,PASS
4,200,200,0,0,0,0,0,560.0,4560.0,0.0,0.0,PASS
5,200,200,0,0,0,0,0,880.0,15344.0,0.0,0.0,PASS
7,200,200,0,0,0,0,0,752.0,7456.0,0.0,0.0,PASS
8,200,200,0,0,0,0,0,688.0,6624.0,0.0,0.0,PASS
9,200,200,0,0,0,0,0,512.0,3584.0,0.0,0.0,PASS
10,200,200,0,0,0,0,0,496.0,2880.0,0.0,0.0,PASS
11,200,200,0,0,0,0,0,496.0,2336.0,0.0,0.0,PASS
13,200,200,0,0,0,0,0,448.0,1808.0,0.0,0.0,PASS
