folder,reference,frame_start,frame_end,frame_count
1,ref25_q1,1,25,25
1,ref25_q2,26,50,25
1,ref25_q3,51,75,25
1,ref25_q4,76,100,25
1,ref50_h1,1,50,50
1,ref50_h2,51,100,50
1,ref100_all,1,100,100
2,ref25_q1,1,25,25
2,ref25_q2,26,50,25
2,ref25_q3,51,75,25
2,ref25_q4,76,100,25
2,ref50_h1,1,50,50
2,ref50_h2,51,100,50
2,ref100_all,1,100,100
4,ref25_q1,1,25,25
4,ref25_q2,26,50,25
4,ref25_q3,51,75,25
4,ref25_q4,76,100,25
4,ref50_h1,1,50,50
4,ref50_h2,51,100,50
4,ref100_all,1,100,100
5,ref25_q1,1,25,25
5,ref25_q2,26,50,25
5,ref25_q3,51,75,25
5,ref25_q4,76,100,25
5,ref50_h1,1,50,50
5,ref50_h2,51,100,50
5,ref100_all,1,100,100
7,ref25_q1,1,25,25
7,ref25_q2,26,50,25
7,ref25_q3,51,75,25
7,ref25_q4,76,100,25
7,ref50_h1,1,50,50
7,ref50_h2,51,100,50
7,ref100_all,1,100,100
8,ref25_q1,1,25,25
8,ref25_q2,26,50,25
8,ref25_q3,51,75,25
8,ref25_q4,76,100,25
8,ref50_h1,1,50,50
8,ref50_h2,51,100,50
8,ref100_all,1,100,100
9,ref25_q1,1,25,25
9,ref25_q2,26,50,25
9,ref25_q3,51,75,25
9,ref25_q4,76,100,25
9,ref50_h1,1,50,50
9,ref50_h2,51,100,50
9,ref100_all,1,100,100
10,ref25_q1,1,25,25
10,ref25_q2,26,50,25
10,ref25_q3,51,75,25
10,ref25_q4,76,100,25
10,ref50_h1,1,50,50
10,ref50_h2,51,100,50
10,ref100_all,1,100,100
11,ref25_q1,1,25,25
11,ref25_q2,26,50,25
11,ref25_q3,51,75,25
11,ref25_q4,76,100,25
11,ref50_h1,1,50,50
11,ref50_h2,51,100,50
11,ref100_all,1,100,100
13,ref25_q1,1,25,25
13,ref25_q2,26,50,25
13,ref25_q3,51,75,25
13,ref25_q4,76,100,25
13,ref50_h1,1,50,50
13,ref50_h2,51,100,50
13,ref100_all,1,100,100
