reference,reference_frames,strategy,mean_folder_psnr_gain,worst_folder_psnr_gain,positive_folder_count,mean_ssim_gain,mean_gradient_ratio_to_noisy,gain_rank
ref25_q1,25,lofo_best_linear,0.31638597917945105,0.012704240613399698,10,0.0008940083746878935,0.9649764223188079,1
ref25_q1,25,lofo_best_hard,0.30830209381366885,-0.003375565176074069,9,0.000889907222240642,0.9654176933429148,2
ref25_q1,25,always_physical,0.27246790166078877,-0.14235218114105574,5,0.0008816185156544393,0.967432010052986,3
ref25_q1,25,always_p99,0.04035116005758486,0.012704240613399698,10,4.962468045917878e-05,0.9948678439152225,4
ref25_q1,25,always_noisy,0.0,0.0,0,0.0,1.0,5
ref25_q2,25,lofo_best_linear,0.34963159395293186,-0.005617355782363553,9,0.0008941742601613803,0.9649764223188079,1
ref25_q2,25,lofo_best_hard,0.34599211562715143,-0.005617355782363553,9,0.000892582032684891,0.9654176933429148,2
ref25_q2,25,always_physical,0.3159016764383173,-0.11480757298314082,6,0.0008839834187890416,0.967432010052986,3
ref25_q2,25,always_p99,0.03879733954610396,-0.005617355782363553,9,4.893552600277046e-05,0.9948678439152225,4
ref25_q2,25,always_noisy,0.0,0.0,0,0.0,1.0,5
ref25_q3,25,lofo_best_linear,0.3895326701908558,0.0029622136321716397,10,0.0008976278936882367,0.9649764223188079,1
ref25_q3,25,lofo_best_hard,0.38481768688289286,0.0029622136321716397,10,0.0008953460862240539,0.9654176933429148,2
ref25_q3,25,always_physical,0.3527863156373459,-0.14278294163728322,6,0.0008881248644362988,0.967432010052986,3
ref25_q3,25,always_p99,0.03677977536468306,0.0029622136321716397,10,4.69415297127379e-05,0.9948678439152225,4
ref25_q3,25,always_noisy,0.0,0.0,0,0.0,1.0,5
ref25_q4,25,lofo_best_linear,0.41968382633869117,-0.005913480412139904,9,0.0008976770515269613,0.9649764223188079,1
ref25_q4,25,lofo_best_hard,0.4175646351652517,-0.005913480412139904,9,0.0008966066138122106,0.9654176933429148,2
ref25_q4,25,always_physical,0.3894369260796841,-0.14236948421378592,6,0.0008899498062185915,0.967432010052986,3
ref25_q4,25,always_p99,0.03502808035508274,-0.005913480412139904,9,4.626417016887485e-05,0.9948678439152225,4
ref25_q4,25,always_noisy,0.0,0.0,0,0.0,1.0,5
ref50_h1,50,lofo_best_linear,0.33833281569622836,0.004044334794700788,10,0.0008953505420952912,0.9649764223188079,1
ref50_h1,50,lofo_best_hard,0.33233750583392413,0.002841678305899542,10,0.0008925038048332529,0.9654176933429148,2
ref50_h1,50,always_physical,0.29876503820282896,-0.13106251731451213,6,0.0008840485022598002,0.967432010052986,3
ref50_h1,50,always_p99,0.04032486910051976,0.004044334794700788,10,4.933246142254794e-05,0.9948678439152225,4
ref50_h1,50,always_noisy,0.0,0.0,0,0.0,1.0,5
ref50_h2,50,lofo_best_linear,0.4139181279945374,-0.0014996045406716618,9,0.0008989072002920012,0.9649764223188079,1
ref50_h2,50,lofo_best_hard,0.4104314233350735,-0.0014996045406716618,9,0.0008972301386976245,0.9654176933429148,2
ref50_h2,50,always_physical,0.3797959022271683,-0.1452485088871729,6,0.0008902819786866855,0.967432010052986,3
ref50_h2,50,always_p99,0.03665666052953629,-0.0014996045406716618,9,4.665339698357168e-05,0.9948678439152225,4
ref50_h2,50,always_noisy,0.0,0.0,0,0.0,1.0,5
ref100_all,100,lofo_best_linear,0.3803533976980675,0.0012887042532483406,10,0.0008978194408445217,0.9649764223188079,1
ref100_all,100,lofo_best_hard,0.37555321122592716,0.0012887042532483406,10,0.0008955571539067411,0.9654176933429148,2
ref100_all,100,always_physical,0.3430708632245354,-0.1395375972606434,6,0.0008878253097368393,0.967432010052986,3
ref100_all,100,always_p99,0.03923560789616794,0.0012887042532483406,10,4.805311363974968e-05,0.9948678439152225,4
ref100_all,100,always_noisy,0.0,0.0,0,0.0,1.0,5
