folder,strength,strength_A,strength_B,tail,tail_A,tail_B,spatial,spatial_A,spatial_B,signal_nonstationarity,signal_nonstationarity_A,signal_nonstationarity_B
1,0.8363650936275044,0.8334086332814628,0.8393215539735461,203.1041135787964,199.5163869857788,206.69184017181396,0.005381274624168432,0.005855455342706357,0.004907093905630508,0.6332409146504362,0.6331582356813539,0.6333235936195185
2,1.3158929946779798,1.3128609226851355,1.3189250666708237,203.80990266799927,200.22455739974976,207.39524793624878,0.0051634192321667605,0.005455450888673836,0.004871387575659686,0.2025890561080184,0.20216571932286836,0.20301239289316841
4,0.46986238748677234,0.4679226569351469,0.4718021180383979,202.5134711265564,198.91784954071045,206.10909271240234,0.0032390243385086344,0.003565789725213515,0.0029122589518037543,0.9187236944392897,0.9182599438730876,0.9191874450054918
5,0.46986238748677234,0.46792265693514684,0.4718021180383979,202.35720252990723,198.76156997680664,205.9528350830078,0.011695016730013823,0.012091597667430311,0.011298435792597334,0.9470555896149424,0.9470213591541017,0.9470898200757832
7,0.46986238748677234,0.4679226569351468,0.4718021180383979,202.3011393547058,198.71203327178955,205.89024543762207,0.010162473350830384,0.010007801092751168,0.0103171456089096,0.9204576934338751,0.9205181844838224,0.9203972023839279
8,0.46986238748677234,0.4679226569351468,0.4718021180383979,202.33102989196777,198.73951816558838,205.92254161834717,0.005749754245847978,0.006351070510245566,0.005148437981450392,0.914250449410275,0.9145280657160664,0.9139728331044836
9,0.5272603585739908,0.5238971551070704,0.530623562040911,202.74700093269348,199.14949655532837,206.3445053100586,0.0031199114546588275,0.003552351300891438,0.0026874716084262164,0.8425624433452341,0.842832628653384,0.8422922580370841
10,0.7534064430968881,0.7500991463268747,0.7567137398669015,203.05609560012817,199.46583652496338,206.64635467529297,0.0024303123451738474,0.0024955885494672685,0.0023650361408804263,0.7456758652507498,0.745539731996185,0.7458119985053148
11,0.9965433595118887,0.9931778259780409,0.9999088930457364,203.78841066360474,200.1877841949463,207.38903713226318,0.002848755697920459,0.00288663268379685,0.0028108787120440684,0.5644866515079561,0.5650402297412056,0.5639330732747065
13,1.4345295462991563,1.4311393822827672,1.4379197103155454,203.03156423568726,199.43974494934082,206.6233835220337,0.006514537986048975,0.00726051503870174,0.00576856093339621,0.10319559760374006,0.102236362110203,0.10415483309727713
