folder,independent_unit,repeated_measure_count,mean_psnr_gain_db,repeated_measure_sd_psnr_gain_db,mean_gradient_ratio_to_noisy,mean_absolute_brightness_bias,positive_repeated_measure_fraction,seed_mean_range_db,reference_mean_range_db,variant_mean_range_db
1,True,24,-2.898754026193782,2.7418832638557524,0.3373304097067757,0.0007827033538205797,0.25,0.819430389586703,0.015286713167608212,6.868839859551115
2,True,24,-2.2127036483722407,1.2130322359701997,0.038191278766461716,0.0007701813789632675,0.0,1.0939899618798732,0.10821588550654226,2.1567261589476727
4,True,24,-1.9279905822130445,1.8053738925090264,0.6628814293941864,0.001356282990703524,0.25,0.5461913395020583,0.010944518310363138,4.395394265229477
5,True,24,-1.0119860411107537,0.8640825601475411,0.886261033228532,0.0025170916521043787,0.08333333333333333,0.27937011078106644,0.001059278832862276,2.072559677957673
7,True,24,-1.7809730137274442,1.4263249343058448,0.7691467940516605,0.0020237150877922736,0.08333333333333333,0.07795828432686669,0.002048660047936357,3.364876006180067
8,True,24,-1.910447763218194,1.5822864042310867,0.73465852320161,0.0018528777357763222,0.125,0.1552662877694324,0.01350662941851244,3.825411962733744
9,True,24,-2.8824378006711484,2.750983277853299,0.544120147368196,0.0010526647858265885,0.25,1.3531772142932987,0.01234283405877834,6.057105141907954
10,True,24,-4.05436442863993,3.429047700373009,0.4049502913652388,0.000784638500159455,0.25,1.2315348198188665,0.01916818797911013,8.464664745694813
11,True,24,-4.4937669722316125,3.0109752544481645,0.2143022618089586,0.0004161488410202215,0.0,0.3853360463002886,0.009915171480381346,7.737248733830666
13,True,24,-5.809532355893555,1.1330258490977958,0.03980075255072754,0.0011896495389009942,0.0,1.033279378357232,0.08545281712745556,2.077782569277292
