metric,removed_folder,spearman_rho,direction_nonpositive,medium_effect
strength,1,-0.625,True,True
strength,2,-0.7,True,True
strength,4,-0.5625,True,True
strength,5,-0.6333333333333333,True,True
strength,7,-0.5916666666666667,True,True
strength,8,-0.5791666666666667,True,True
strength,9,-0.5999999999999999,True,True
strength,10,-0.6458333333333333,True,True
strength,11,-0.5874999999999999,True,True
strength,13,-0.49166666666666664,True,True
spatial,1,0.3666666666666667,False,True
spatial,2,0.37916666666666665,False,True
spatial,4,0.4375,False,True
spatial,5,0.22083333333333333,False,False
spatial,7,0.2791666666666666,False,False
spatial,8,0.3625,False,True
spatial,9,0.35416666666666674,False,True
spatial,10,0.3125,False,True
spatial,11,0.19999999999999998,False,False
spatial,13,0.5166666666666666,False,True
