folder,variant,construction,strength,tail,spatial,signal_nonstationarity,real_std,synthetic_std,real_kurtosis,synthetic_kurtosis,real_conditional_valid_fraction,synthetic_conditional_valid_fraction
1,P-L,A,0.3654864226071079,257.1709146499634,0.005509039984775114,0.6331582356813539,0.001086035743355751,0.0015652108704671264,2.471449851989746,259.6423645019531,1.0,0.125
1,P-L,B,0.3675186570529444,266.85850620269775,0.00474320766181111,0.6333235936195185,0.001086715841665864,0.0015693771420046687,2.484663963317871,269.3431701660156,1.0,0.125
1,P-H,A,1.3013311151689633,358.63240146636963,0.0048679816832383725,0.6331582356813539,0.001086035743355751,0.003990295343101025,2.471449851989746,361.1038513183594,1.0,0.125
1,P-H,B,1.3111232678006863,380.059006690979,0.004337004323260851,0.6333235936195185,0.001086715841665864,0.0040320842526853085,2.484663963317871,382.5436706542969,1.0,0.125
1,H-L,A,0.3654855300855239,83.75866794586182,0.007148737432221153,0.6331582356813539,0.001086035743355751,0.0015652094734832644,2.471449851989746,86.23011779785156,1.0,0.125
1,H-L,B,0.3675202148173522,81.63408756256104,0.005699482191793814,0.6333235936195185,0.001086715841665864,0.001569379586726427,2.484663963317871,84.1187515258789,1.0,0.125
1,H-H,A,1.301331465264256,98.50356388092041,0.005896062270590789,0.6331582356813539,0.001086035743355751,0.0039902967400848866,2.471449851989746,100.97501373291016,1.0,0.125
1,H-H,B,1.3111240762232017,98.21576023101807,0.004848681445656257,0.6333235936195185,0.001086715841665864,0.00403208751231432,2.484663963317871,100.70042419433594,1.0,0.125
2,P-L,A,0.8449387120107809,257.8790850639343,0.005088314758479293,0.20216571932286836,0.0006723890546709299,0.0015652108704671264,1.7632794380187988,259.6423645019531,1.0,0.125
2,P-L,B,0.847122169750222,267.56191396713257,0.004351510070718556,0.20301239289316841,0.0006727083818987012,0.0015693771420046687,1.7812561988830566,269.3431701660156,1.0,0.125
2,P-H,A,1.780783404572636,359.3405718803406,0.0038678930860827593,0.20216571932286836,0.0006723890546709299,0.003990295343101025,1.7632794380187988,361.1038513183594,1.0,0.125
2,P-H,B,1.790726780497964,380.7624144554138,0.003939634115951632,0.20301239289316841,0.0006727083818987012,0.0040320842526853085,1.7812561988830566,382.5436706542969,1.0,0.125
2,H-L,A,0.844937819489197,84.46683835983276,0.006950645217276562,0.20216571932286836,0.0006723890546709299,0.0015652094734832644,1.7632794380187988,86.23011779785156,1.0,0.125
2,H-L,B,0.8471237275146298,82.33749532699585,0.0061136119543334705,0.20301239289316841,0.0006727083818987012,0.001569379586726427,1.7812561988830566,84.1187515258789,1.0,0.125
2,H-H,A,1.780783754667929,99.21173429489136,0.005914950492856726,0.20216571932286836,0.0006723890546709299,0.0039902967400848866,1.7632794380187988,100.97501373291016,1.0,0.125
2,H-H,B,1.7907275889204792,98.91916799545288,0.005080794161635089,0.20301239289316841,0.0006727083818987012,0.00403208751231432,1.7812561988830566,100.70042419433594,1.0,0.125
4,P-L,A,0.20571133038151193,256.572377204895,0.003077404792677747,0.9182599438730876,0.0019227027660235763,0.0015652108704671264,3.0699872970581055,259.6423645019531,1.0,0.125
4,P-L,B,0.20388828103518286,266.27575874328613,0.002477374798019626,0.9191874450054918,0.001924309297464788,0.0015693771420046687,3.067411422729492,269.3431701660156,1.0,0.125
4,P-H,A,0.7301333621803433,358.03386402130127,0.002399617327241324,0.9182599438730876,0.0019227027660235763,0.003990295343101025,3.0699872970581055,361.1038513183594,1.0,0.125
4,P-H,B,0.7397163297125591,379.4762592315674,0.003463980264648704,0.9191874450054918,0.001924309297464788,0.0040320842526853085,3.067411422729492,382.5436706542969,1.0,0.125
4,H-L,A,0.2057122229030959,83.16013050079346,0.004918324851873001,0.9182599438730876,0.0019227027660235763,0.0015652094734832644,3.0699872970581055,86.23011779785156,1.0,0.125
4,H-L,B,0.2038867232707751,81.05134010314941,0.0032525950759751464,0.9191874450054918,0.001924309297464788,0.001569379586726427,3.067411422729492,84.1187515258789,1.0,0.125
4,H-H,A,0.7301337122756363,97.90502643585205,0.003867811929061988,0.9182599438730876,0.0019227027660235763,0.0039902967400848866,3.0699872970581055,100.97501373291016,1.0,0.125
4,H-H,B,0.7397171381350744,97.63301277160645,0.002455085668571541,0.9191874450054918,0.001924309297464788,0.00403208751231432,3.067411422729492,100.70042419433594,1.0,0.125
5,P-L,A,0.9237525190247912,256.4160976409912,0.011753502194269443,0.9470213591541017,0.003942334558814764,0.0015652108704671264,3.226266860961914,259.6423645019531,1.0,0.125
