metric,seed,reference,mean_variant_spearman,variant_spearman,all_variants_nonpositive
strength,20260716,reference_a_odd,-0.5878787878787879,P-L:-0.890909;P-H:-0.478788;H-L:-0.442424;H-H:-0.539394,True
strength,20260716,reference_b_even,-0.5848484848484847,P-L:-0.890909;P-H:-0.478788;H-L:-0.430303;H-H:-0.539394,True
strength,20260717,reference_a_odd,-0.5484848484848484,P-L:-0.878788;P-H:-0.684848;H-L:0.115152;H-H:-0.745455,False
strength,20260717,reference_b_even,-0.5424242424242424,P-L:-0.878788;P-H:-0.684848;H-L:0.139394;H-H:-0.745455,False
strength,20260718,reference_a_odd,-0.5787878787878786,P-L:-0.842424;P-H:-0.466667;H-L:-0.321212;H-H:-0.684848,True
strength,20260718,reference_b_even,-0.5787878787878786,P-L:-0.842424;P-H:-0.466667;H-L:-0.321212;H-H:-0.684848,True
spatial,20260716,reference_a_odd,0.25757575757575757,P-L:-0.309091;P-H:0.575758;H-L:0.139394;H-H:0.624242,False
spatial,20260716,reference_b_even,0.2727272727272727,P-L:-0.309091;P-H:0.575758;H-L:0.200000;H-H:0.624242,False
spatial,20260717,reference_a_odd,0.4424242424242424,P-L:-0.345455;P-H:0.721212;H-L:0.612121;H-H:0.781818,False
spatial,20260717,reference_b_even,0.4363636363636363,P-L:-0.345455;P-H:0.721212;H-L:0.587879;H-H:0.781818,False
spatial,20260718,reference_a_odd,0.3090909090909091,P-L:-0.333333;P-H:0.757576;H-L:0.248485;H-H:0.563636,False
spatial,20260718,reference_b_even,0.3090909090909091,P-L:-0.333333;P-H:0.757576;H-L:0.248485;H-H:0.563636,False
