folder,role,frame_count,row_profile_energy_dn,column_profile_energy_dn,row_column_ratio,residual_variance_dn2,directional_variance_fraction_proxy,formal_name
1,calibration,200,12.087261316553345,5.889555922100128,2.052321342462643,5946.241432044095,0.030403870606384588,row/column profile energy of temporal residual
2,evaluation,200,6.784188722999462,2.115253991699925,3.2072690795620935,2008.4471747539105,0.02514356200822807,row/column profile energy of temporal residual
4,calibration,200,9.838481365130516,12.345742168491268,0.796912913849783,16832.332145462457,0.014805617136664277,row/column profile energy of temporal residual
5,evaluation,200,23.840962385826796,47.631965948916715,0.5005244253700388,77741.34223983971,0.03649532650064288,row/column profile energy of temporal residual
7,calibration,200,12.692135810222938,23.29987088667274,0.5447298773437709,30345.31890004594,0.023198777283559773,row/column profile energy of temporal residual
8,calibration,200,11.329363971287435,15.47143617886747,0.7322761662399695,24715.36698503457,0.0148781859340116,row/column profile energy of temporal residual
9,evaluation,200,8.101001363882597,6.319335544997476,1.2819387902728991,9728.325224371662,0.010850811665243685,row/column profile energy of temporal residual
10,calibration,200,7.459237821612897,4.28363230610371,1.7413347571835924,6160.86785844104,0.012009628564245518,row/column profile energy of temporal residual
11,evaluation,200,7.052698580782791,3.321913923434198,2.123082880332945,3792.299561563517,0.016026072940562908,row/column profile energy of temporal residual
13,calibration,200,6.670636419991488,1.7875629262691788,3.7316932019359834,1573.3381861462913,0.03031310870290813,row/column profile energy of temporal residual
