folder_a,folder_b,temporal_mean_thumbnail_pearson,gradient_thumbnail_pearson,filename_pattern_shared,camera_serial_shared,acquisition_date_shared,scene_relationship,evidence_limit
1,2,0.9460588630387162,0.8257277508299635,True,True,True,RELATED-SCENE-POSSIBLE,central ROI structural comparison; no scene manifest
1,4,0.10322760695637172,0.10647239184904905,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
1,5,0.11031971977362323,0.09968649347961256,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
1,7,0.20306772389887912,0.08616729044329989,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
1,8,0.21369392450811114,0.08876830827961195,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
1,9,0.22227602589976828,0.09302490865357575,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
1,10,0.22487395874704427,0.09147201117191171,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
1,11,0.22816917354019234,0.09236974382924175,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
1,13,0.010579555194183446,0.009882203640773848,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
2,4,0.08742451814759597,0.09901303333251718,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
2,5,0.09405455297186376,0.09453974269956225,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
2,7,0.1799395087735454,0.0707622099339344,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
2,8,0.1900798903671611,0.07444130401465147,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
2,9,0.1986882847204018,0.08061373848538245,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
2,10,0.2023188865560178,0.08250049299260688,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
2,11,0.2070084465437315,0.08905702180366235,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
2,13,0.1047966461520678,0.14750942621274185,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
4,5,0.992695490656772,0.947785625127886,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
4,7,0.45799966717839313,0.02019252956757564,True,True,True,RELATED-SCENE-POSSIBLE,central ROI structural comparison; no scene manifest
4,8,0.4427400482493875,0.018819735493702597,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
4,9,0.4261815082239557,0.012535094258775704,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
4,10,0.4517155853365844,0.029554168303821945,True,True,True,RELATED-SCENE-POSSIBLE,central ROI structural comparison; no scene manifest
4,11,0.46956939888146104,0.04162703666900736,True,True,True,RELATED-SCENE-POSSIBLE,central ROI structural comparison; no scene manifest
4,13,-0.015154899702703672,0.004282015520728361,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
5,7,0.5006339085313644,0.05146791513413907,True,True,True,RELATED-SCENE-POSSIBLE,central ROI structural comparison; no scene manifest
5,8,0.48652764465679277,0.04484462461260577,True,True,True,RELATED-SCENE-POSSIBLE,central ROI structural comparison; no scene manifest
5,9,0.4706673621163071,0.03312742672280408,True,True,True,RELATED-SCENE-POSSIBLE,central ROI structural comparison; no scene manifest
5,10,0.49529672948244174,0.05955404947276346,True,True,True,RELATED-SCENE-POSSIBLE,central ROI structural comparison; no scene manifest
5,11,0.5124350296572585,0.08274726534421864,True,True,True,RELATED-SCENE-POSSIBLE,central ROI structural comparison; no scene manifest
5,13,-0.020332827003263144,-0.0017260671578151992,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
7,8,0.9968880160707663,0.9824715521741497,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
7,9,0.9896903319837627,0.9404683604755366,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
7,10,0.99419966323822,0.9688289339659917,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
7,11,0.9916754781820473,0.956661249206762,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
7,13,-0.010292559013908686,-0.02159888174112599,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
8,9,0.9977473596002244,0.9857411648477327,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
8,10,0.9984074748095609,0.991923649929643,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
8,11,0.9935226706376643,0.9645637656536544,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
8,13,-0.008447489744807309,-0.01961078853036996,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
9,10,0.9964499817444775,0.9796397784969284,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
9,11,0.9888526606070074,0.9357128195854498,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
9,13,-0.0029205851382482027,-0.00946566161357594,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
10,11,0.9977235436237609,0.9853074885840616,True,True,True,SAME-SCENE-SUPPORTED,central ROI structural comparison; no scene manifest
10,13,0.002710161337006904,0.005803089590878967,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
11,13,0.012590482839452268,0.03753205535870848,True,True,True,UNKNOWN,central ROI structural comparison; no scene manifest
