folder,role,mean_signal_dn,temporal_std_mean_dn,direct_variance_dn2,adjacent_difference_variance_dn2,nonoverlap_difference_variance_dn2,horizontal_acf_lag1,vertical_acf_lag1,radial_acf_lag1,nps_low_fraction,nps_mid_fraction,nps_high_fraction,row_energy_dn,column_energy_dn,stable_split_correlation_min,stable_strength_median_dn
1,calibration,1157.3995986938476,70.77975260023057,5984.686191136344,5147.3096782493985,5122.201354018703,0.17499923153278027,0.16968206687574314,0.16456458330929608,0.11427393787713719,0.11338001041297532,0.7723460517098876,12.087261316553345,5.889555922100128,0.9202586615100029,88.17822957742038
2,evaluation,964.9581463623047,43.753510974364936,2028.6426129181064,2023.963725122218,2013.9367983546404,0.06105929816254703,0.047551912741174734,0.040867274405479714,0.024520308352965935,0.11665594212016396,0.8588237495268701,6.784188722999462,2.115253991699925,0.9197757034728858,17.867927506178575
4,calibration,1782.1325646972657,112.62205013840575,16937.465805050644,16377.178917145306,16293.012670750475,0.05439238799816658,0.05287236649538698,0.050863532139624267,0.05540123409250822,0.10300984898405742,0.8415889169234341,9.838481365130516,12.345742168491268,0.9760938040569823,128.5776027140398
5,evaluation,4690.909596557617,236.51817661506308,78390.62112525519,67535.38024672467,67201.4452424637,0.14971203672569583,0.1506824981625429,0.1488376184601743,0.16034115898575255,0.09272102309180365,0.7469378179224441,23.840962385826796,47.631965948916715,0.9847389995158387,544.5278529691195
7,calibration,2509.448143310547,150.1137543492857,30508.240042792087,29031.269722760546,28886.137389322925,0.07090097090093705,0.07054798194813967,0.06857826591868739,0.06891810880346315,0.09934189602612498,0.8317399951704116,12.692135810222938,23.29987088667274,0.9870599220572984,200.40101761130407
8,calibration,2240.6550509643553,136.0263428827664,24850.510805565922,24270.000509372938,24144.396649453527,0.045963876889350865,0.04453558236126787,0.04282589829270121,0.043205579215166545,0.10236397019614175,0.854430450588692,11.329363971287435,15.47143617886747,0.9877083342671873,167.01422564465267
9,evaluation,1399.1596292114257,87.79751595856969,9785.796742967772,9759.199949275855,9709.803910738241,0.029384437220805543,0.026625722813261983,0.02427117337037652,0.02446278879939967,0.10501581160005999,0.8705213996005404,8.101001363882597,6.319335544997476,0.973141893149044,62.58098004334094
10,calibration,1201.2420809936523,71.5212428906046,6199.766211256478,6207.467042762939,6177.68370467369,0.033488210921453064,0.02899142088873408,0.025339698919373592,0.02120242744721003,0.10767335840265421,0.8711242141501356,7.459237821612897,4.28363230610371,0.9575929397339217,38.37330903946924
11,evaluation,1080.4407278442384,58.279476802133914,3825.0834238330326,3828.5575427098015,3808.8523855251733,0.05479986114946439,0.04767120992438246,0.04003107698869646,0.023561268275581984,0.11822976462533416,0.8582089670990837,7.052698580782791,3.321913923434198,0.9356597221151942,23.82726173942802
13,calibration,936.2326419067383,38.642498781947545,1590.9737883018608,1595.0346888869462,1587.10970076744,0.05710134004995636,0.03910505636782609,0.03406757026026075,0.022267183911766724,0.1152408815578905,0.8624919345303422,6.670636419991488,1.7875629262691788,0.9097548828151988,12.896051352755336
