folder,role,comparison,acf_matrix_correlation,acf_matrix_mae,horizontal_lag1_difference,vertical_lag1_difference
1,calibration,first100_vs_last100,0.9990402127558077,0.0030414581781825116,0.009987105132864132,0.009834330878835978
2,evaluation,first100_vs_last100,0.9999423712430933,0.00028174118897230537,0.00020605188995528184,5.0205504031633486e-05
4,calibration,first100_vs_last100,0.9999192056115064,0.0003394508440614785,-0.0006548239428047706,-0.0007326792078962557
5,evaluation,first100_vs_last100,0.9998282444893365,0.0032741090949720726,0.0047747984748790495,0.004910425237173555
7,calibration,first100_vs_last100,0.9987795447540182,0.004572512435101198,0.007190848046340126,0.00705306906432529
8,calibration,first100_vs_last100,0.9998501549659299,0.001216021138165275,0.0018117587675775745,0.0017145995209536316
9,evaluation,first100_vs_last100,0.9998953797434743,0.0006439624966731633,0.0010997467571455845,5.1450226487431e-05
10,calibration,first100_vs_last100,0.9999218310390259,0.0003023501595906142,-0.00019824387160462253,-3.862669483211886e-05
11,evaluation,first100_vs_last100,0.9996584804292373,0.0010283313653139164,0.0025537280361585257,0.0017987258658517316
13,calibration,first100_vs_last100,0.9999437764937603,0.0006032407092850321,0.0005009200494591054,0.00027587826400278515
