folder,role,variance_dn2,horizontal_lag1,vertical_lag1,radial_lag1,diagonal_lag1,anisotropy_lag1_abs_difference,correlation_length_1e_px,correlation_length_0p1_px,min_acf,max_nonzero_lag_acf,positive_lobe_present,negative_lobe_present
1,calibration,5946.241432044101,0.17499923153278027,0.16968206687574314,0.16456458330929608,0.15678851741433045,0.005317164657037132,1.0,6.0,-0.043904132772976764,0.17499923153278027,True,True
2,evaluation,2008.447174753911,0.06105929816254703,0.047551912741174734,0.040867274405479714,0.027428943359098533,0.013507385421372295,1.0,1.0,-0.00018237140299545043,0.06105929816254703,True,False
4,calibration,16832.332145462464,0.05439238799816658,0.05287236649538698,0.050863532139624267,0.04809468703247175,0.001520021502779599,1.0,1.0,0.0033970121633556147,0.05439238799816658,True,False
5,evaluation,77741.34223983971,0.14971203672569583,0.1506824981625429,0.1488376184601743,0.14747796947622924,0.0009704614368470643,1.0,9.0,0.014369319279857575,0.15068249816254292,True,False
7,calibration,30345.318900046004,0.07090097090093705,0.07054798194813967,0.06857826591868739,0.0664320554128364,0.0003529889527973812,1.0,1.0,0.014107556984729933,0.07090097090093708,True,False
8,calibration,24715.36698503461,0.045963876889350865,0.04453558236126787,0.04282589829270121,0.04040206696009306,0.0014282945280829976,1.0,1.0,0.007817566943092586,0.045963876889350865,True,False
9,evaluation,9728.32522437169,0.029384437220805543,0.026625722813261983,0.02427117337037652,0.020537266723719284,0.0027587144075435603,1.0,1.0,0.0019670412032415222,0.029384437220805543,True,False
10,calibration,6160.867858441044,0.033488210921453064,0.02899142088873408,0.025339698919373592,0.019439581933653617,0.004496790032718984,1.0,1.0,0.0012810908998595251,0.033488210921453064,True,False
11,evaluation,3792.29956156353,0.05479986114946439,0.04767120992438246,0.04003107698869646,0.0288266184404695,0.007128651225081932,1.0,1.0,0.0007907338419049475,0.0547998611494644,True,False
13,calibration,1573.3381861462974,0.05710134004995636,0.03910505636782609,0.03406757026026075,0.020031942311630285,0.01799628368213027,1.0,1.0,0.0017115152104234036,0.05710134004995636,True,False
