folder,role,split,first_group_frames,second_group_frames,split_map_correlation,observed_stable_component_std_dn,split_difference_component_std_dn,highpass_sigma_px,global_mean_removed_by_highpass,scene_leakage_risk,historical_split_map_correlation,historical_stable_strength_dn,correlation_absolute_recomputation_difference,strength_relative_recomputation_difference
1,calibration,odd_even,100,100,0.9934704495943395,88.17822957742038,7.143844678395881,8.0,True,HIGH-UNRESOLVED,0.9934704495943394,88.17822957742018,1.1102230246251565e-16,2.256248134786477e-15
1,calibration,first_second_half,100,100,0.9202586615100029,88.17822957742038,25.45610551044847,8.0,True,HIGH-UNRESOLVED,0.9202586615100028,88.17822957742018,1.1102230246251565e-16,2.256248134786477e-15
1,calibration,alternating_25_frame_blocks,100,100,0.98905027869897,88.17822957742038,9.303383977905565,8.0,True,HIGH-UNRESOLVED,0.98905027869897,88.17822957742018,0.0,2.256248134786477e-15
2,evaluation,odd_even,100,100,0.9406975425554623,17.867927506178575,4.458016643118921,8.0,True,HIGH-UNRESOLVED,0.940697542555462,17.867927506178575,3.3306690738754696e-16,0.0
2,evaluation,first_second_half,100,100,0.9197757034728858,17.867927506178578,5.192606253259732,8.0,True,HIGH-UNRESOLVED,0.9197757034728858,17.867927506178575,0.0,1.988318834163617e-16
2,evaluation,alternating_25_frame_blocks,100,100,0.9394063286374305,17.867927506178575,4.510708425285103,8.0,True,HIGH-UNRESOLVED,0.9394063286374305,17.867927506178578,0.0,1.9883188341636166e-16
4,calibration,odd_even,100,100,0.9902791219104203,128.5776027140398,12.737475830647169,8.0,True,HIGH-UNRESOLVED,0.9902791219104204,128.57760271404013,1.1102230246251565e-16,2.4315183759473316e-15
4,calibration,first_second_half,100,100,0.9760938040569823,128.5776027140398,20.033142472432107,8.0,True,HIGH-UNRESOLVED,0.9760938040569822,128.57760271404013,1.1102230246251565e-16,2.4315183759473316e-15
4,calibration,alternating_25_frame_blocks,100,100,0.9893946502599043,128.5776027140398,13.25084931882816,8.0,True,HIGH-UNRESOLVED,0.989394650259904,128.57760271404013,2.220446049250313e-16,2.4315183759473316e-15
5,evaluation,odd_even,100,100,0.9977499056763469,544.5278529691196,25.836797194546858,8.0,True,HIGH-UNRESOLVED,0.9977499056763468,544.527852969119,1.1102230246251565e-16,1.2526834442174628e-15
5,evaluation,first_second_half,100,100,0.9847389995158387,544.5278529691195,67.82175678351179,8.0,True,HIGH-UNRESOLVED,0.9847389995158388,544.527852969119,1.1102230246251565e-16,1.043902870181219e-15
5,evaluation,alternating_25_frame_blocks,100,100,0.9968956263459773,544.5278529691195,30.480145920946725,8.0,True,HIGH-UNRESOLVED,0.9968956263459772,544.527852969119,1.1102230246251565e-16,1.043902870181219e-15
7,calibration,odd_even,100,100,0.9929037359538004,200.40101761130407,16.918600034016904,8.0,True,HIGH-UNRESOLVED,0.9929037359538008,200.40101761130427,3.3306690738754696e-16,9.927692403174979e-16
7,calibration,first_second_half,100,100,0.9870599220572984,200.40101761130407,22.886513837702754,8.0,True,HIGH-UNRESOLVED,0.987059922057298,200.40101761130427,4.440892098500626e-16,9.927692403174979e-16
7,calibration,alternating_25_frame_blocks,100,100,0.9925773395951278,200.40101761130404,17.30339996757752,8.0,True,HIGH-UNRESOLVED,0.9925773395951276,200.40101761130427,2.220446049250313e-16,1.1345934175057119e-15
8,calibration,odd_even,100,100,0.9914443181195883,167.01422564465267,15.483105746219683,8.0,True,HIGH-UNRESOLVED,0.9914443181195886,167.0142256446534,2.220446049250313e-16,4.42455989804579e-15
8,calibration,first_second_half,100,100,0.9877083342671873,167.01422564465267,18.519903119953472,8.0,True,HIGH-UNRESOLVED,0.9877083342671876,167.0142256446534,3.3306690738754696e-16,4.42455989804579e-15
8,calibration,alternating_25_frame_blocks,100,100,0.9911897717939188,167.01422564465267,15.6351854326557,8.0,True,HIGH-UNRESOLVED,0.9911897717939188,167.0142256446534,0.0,4.42455989804579e-15
9,evaluation,odd_even,100,100,0.9755425069220474,62.58098004334094,9.830726998076518,8.0,True,HIGH-UNRESOLVED,0.9755425069220474,62.5809800433413,0.0,5.790526050993164e-15
9,evaluation,first_second_half,100,100,0.973141893149044,62.58098004334094,10.352670985710413,8.0,True,HIGH-UNRESOLVED,0.9731418931490436,62.580980043341306,3.3306690738754696e-16,5.904065777483225e-15
9,evaluation,alternating_25_frame_blocks,100,100,0.9758203413594819,62.58098004334094,9.87178378999165,8.0,True,HIGH-UNRESOLVED,0.9758203413594824,62.580980043341306,4.440892098500626e-16,5.904065777483225e-15
10,calibration,odd_even,100,100,0.9597929058051791,38.37330903946924,7.830067886072665,8.0,True,HIGH-UNRESOLVED,0.959792905805179,38.37330903946914,1.1102230246251565e-16,2.5923222546196703e-15
10,calibration,first_second_half,100,100,0.9575929397339217,38.37330903946924,8.028734736449161,8.0,True,HIGH-UNRESOLVED,0.9575929397339216,38.37330903946914,1.1102230246251565e-16,2.5923222546196703e-15
10,calibration,alternating_25_frame_blocks,100,100,0.9589201867014148,38.37330903946924,7.857016938140893,8.0,True,HIGH-UNRESOLVED,0.9589201867014148,38.37330903946914,0.0,2.5923222546196703e-15
11,evaluation,odd_even,100,100,0.9374125536673763,23.827261739428018,6.1162910593504245,8.0,True,HIGH-UNRESOLVED,0.937412553667377,23.827261739427964,6.661338147750939e-16,2.23654340833572e-15
11,evaluation,first_second_half,100,100,0.9356597221151942,23.82726173942802,6.162484234042637,8.0,True,HIGH-UNRESOLVED,0.9356597221151948,23.827261739427964,5.551115123125783e-16,2.385646302224768e-15
11,evaluation,alternating_25_frame_blocks,100,100,0.9369649675132463,23.82726173942802,6.126392711836866,8.0,True,HIGH-UNRESOLVED,0.9369649675132462,23.827261739427964,1.1102230246251565e-16,2.385646302224768e-15
13,calibration,odd_even,100,100,0.9104481981412453,12.896051352755338,3.9610780427605468,8.0,True,HIGH-UNRESOLVED,0.9104481981412452,12.896051352755336,1.1102230246251565e-16,1.37744243630103e-16
13,calibration,first_second_half,100,100,0.9097548828151988,12.896051352755336,3.955893841500074,8.0,True,HIGH-UNRESOLVED,0.9097548828151988,12.896051352755338,0.0,1.37744243630103e-16
13,calibration,alternating_25_frame_blocks,100,100,0.9103910517406637,12.896051352755336,3.9594454490729696,8.0,True,HIGH-UNRESOLVED,0.9103910517406636,12.896051352755336,1.1102230246251565e-16,0.0
