folder,role,adjacent_relative_difference,nonoverlap_relative_difference,historical_temporal_lag1_correlation,decision
1,calibration,-0.13991986983831284,-0.1441152985423078,0.1267750661978293,DIRECT-DIFFERENCE-WITH-TEMPORAL-CORRELATION
2,evaluation,-0.0023064130498363276,-0.0072490908304013064,0.000828057995136,DIRECT-DIFFERENCE-CONSISTENT
4,calibration,-0.033079735442964824,-0.038048970354703074,0.0308398239906788,DIRECT-DIFFERENCE-CONSISTENT
5,evaluation,-0.13847627079246694,-0.14273615545044663,0.1215152859229478,DIRECT-DIFFERENCE-WITH-TEMPORAL-CORRELATION
7,calibration,-0.04841217710231346,-0.05316932904664236,0.0450200786205884,DIRECT-DIFFERENCE-WITH-TEMPORAL-CORRELATION
8,calibration,-0.023360095119773706,-0.028414472508719712,0.0230292056193042,DIRECT-DIFFERENCE-CONSISTENT
9,evaluation,-0.0027178976214716267,-0.007765625449367784,0.0019813546531027,DIRECT-DIFFERENCE-CONSISTENT
10,calibration,0.0012421164353713001,-0.003561828919079872,-0.0013839494967966,DIRECT-DIFFERENCE-CONSISTENT
11,evaluation,0.0009082465640154743,-0.004243316160564817,-0.0038719413382006,DIRECT-DIFFERENCE-CONSISTENT
13,calibration,0.002552462281242124,-0.0024287562515691715,-0.005337658188518,DIRECT-DIFFERENCE-CONSISTENT
