folder,role,frame_count,mean_signal_dn,frame_mean_std_dn,temporal_variance_map_mean_dn2,temporal_std_map_mean_dn,temporal_std_map_median_dn,temporal_std_p01_dn,temporal_std_p05_dn,temporal_std_p25_dn,temporal_std_p75_dn,temporal_std_p95_dn,temporal_std_p99_dn,temporal_std_iqr_dn,zero_ratio,saturation_ratio,historical_temporal_std_dn,recomputed_historical_128frame_ddof1_temporal_std_dn,historical_relative_difference,historical_match,variance_ddof,input_dtype_for_computation
1,calibration,200,1157.3995986938476,2.926456710933812,5984.686191136344,70.77975260023057,57.96689403461339,37.68315235809338,40.55010672956232,46.57109332695918,87.30690049655075,134.17082638661182,150.67762913866437,40.735807169591574,0.0,0.0,68.3813705444336,68.38139020294491,2.87483435380356e-07,True,1,float64_DN
2,evaluation,200,964.9581463623047,3.1784805793921116,2028.6426129181064,43.753510974364936,41.092145503861865,31.588587427897398,33.89134278216031,37.61329819365787,47.04333082249141,59.216363350283586,87.7442377702588,9.430032628833544,0.0,0.0,43.59041976928711,43.59042663549673,1.575164832162706e-07,True,1,float64_DN
4,calibration,200,1782.1325646972657,4.5331088606652195,16937.465805050644,112.62205013840575,70.33473447999829,45.979868874416574,49.43880436341903,56.83987559175722,185.04441189037752,216.604738414074,230.21007456672285,128.2045362986203,0.0,0.0,111.48194122314452,111.48195544604468,1.2758030589043494e-07,True,1,float64_DN
5,evaluation,200,4690.909596557617,16.081631576429242,78390.62112525519,236.51817661506308,142.32458055782786,78.01998516708787,84.80234376094751,109.25194339532362,393.3492051421029,471.53315537989823,560.2775907874153,284.0972617467793,0.0,0.0,228.86013793945312,228.86018696638322,2.1422223433528648e-07,True,1,float64_DN
7,calibration,200,2509.448143310547,3.2298766303629804,30508.240042792087,150.1137543492857,96.56700228156738,56.92195047308882,61.67806839221174,72.6584741743641,239.3181335485218,299.70209074302954,318.6857364872686,166.6596593741577,0.0,0.0,148.05999755859375,148.06000743697206,6.671875233173167e-08,True,1,float64_DN
8,calibration,200,2240.6550509643553,3.3084734373890297,24850.510805565922,136.0263428827664,86.6724904627476,53.785542508118894,58.15402179702232,67.93908001264681,213.96080418769048,272.06563795585765,289.829913115325,146.0217241750437,0.0,0.0,134.9202117919922,134.92023499185933,1.7195249574317265e-07,True,1,float64_DN
9,evaluation,200,1399.1596292114257,2.930095935665211,9785.796742967772,87.79751595856969,60.96729166746978,40.88437428042048,44.04941948293894,50.128181422136876,130.99756413401443,167.84241568359485,179.70101945414262,80.86938271187755,0.0,0.0,87.5539321899414,87.55395538089725,2.648762341521941e-07,True,1,float64_DN
10,calibration,200,1201.2420809936523,2.8176617696938524,6199.766211256478,71.5212428906046,53.44620551940159,37.09826516387359,39.88929403855717,44.980469240163835,99.52532164324359,131.2358818441705,141.63574712449127,54.54485240307975,0.0,0.0,71.40454864501953,71.40455362569489,6.975291422053052e-08,True,1,float64_DN
11,evaluation,200,1080.4407278442384,3.7050074970373257,3825.0834238330326,58.279476802133914,48.40698483591519,34.55218224582722,37.075915600129704,41.55575536577454,74.93490106036411,95.14496952614284,107.2786127356542,33.379145694589575,0.0,0.0,58.20510482788086,58.20512499776172,3.4653113196930045e-07,True,1,float64_DN
13,calibration,200,936.2326419067383,3.1191954274503706,1590.9737883018608,38.642498781947545,36.651305446801956,29.46229001050864,31.41485101542909,34.400794661850966,39.39081851034039,52.13951132458392,84.98236871194156,4.990023848489422,0.0,0.0,38.584720611572266,38.58471835089925,5.858985054935365e-08,True,1,float64_DN
