relative_path,size_bytes,sha256
candidate_characterization_framework_comparison.csv,1576,dec357583537e21f8948ea266023411694d73103440a15705d7456bf9ed7c19d
current_data_asset_inventory.csv,5137,7d8364ffda55720ec47dede19cab4268859c1d11215ee746d6519ac672a7fd5e
current_e1_vs_literature_matrix.csv,8306,c787d736bb3b509a92f5b3dd8d04538ea73020c4ebd3968c05236ac43626f1da
exposure_metadata_verification.csv,7230,b6eb7dd6bd565a88a63f455ebf5040768b919ca7432cbbd48164474ce57f0c78
literature_noise_characterization_methods.csv,13788,00aba82c045cdde6158b740744a53e26b10f79a91abb7600a23689444b2545c8
literature_reference_registry.csv,11585,c4b3dde79ed555d9a13643eafd840c3dddd44f86c871f6592c22fe10a9e92328
literature_search_log.csv,1978,7dd30bd38720a065f59a5d2f55f5516013e5a58eb392a3fcd35870e649ff8633
method_data_eligibility.csv,6726,c5059efe78c28877e7f8711bdc90ce64c394b61e8f8c073ee79b33be2f20d4e1
new_acquisition_only_items.csv,1593,bc2e7a4caf598e5f440466d8c4c5f3e1faa308f1ec0200f1c5e0acebc9c584d5
paper_characterization_section_readiness.csv,1174,8c1f0960bb28fa7b960520c4b25eb061251a7f7b0658e4ead4617d86d9587262
paper_claim_support_audit.csv,998,39d8574981dbeb2c4cf057fffde9fe1590c0d30d61fa3202a8c6a37f1f5f5bb8
provenance\command.txt,228,0cc9d87520eb18ef9ac9529dbfe4a5d962462fa94a2e4090969213bac540bade
provenance\environment.txt,154,9e4fa62a6cf38d2addbbba4905a049ee777666d7d108143774d9a4e419b2fad3
provenance\git_commit.txt,42,118c329fa38e6e96b4e29d8d7cb9b8064091871d33adec97052892c985ed5dde
provenance\git_diff.patch,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
provenance\git_status_after.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
provenance\git_status_before.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
provenance\input_hashes.csv,1362,9f9f528a77a1f80877d42823083c4ed46c783ba71888984565ce4bdcc2983e81
provenance\resolved_config.yaml,1521,279382cdcaf53b293c4cc748c335cd951c72614970a647b6cc200965c7dcd8aa
provenance\run_manifest.json,3538,0982d01ee39f6c24dc5f17432b61456dda388cd422d192cf4b54a82fcb6084ea
provenance\script_hashes.csv,283,5efbd0f180f5a755bd607bb2f7fff05ef03d8c6a8a7e20d275531c4c40f1aafe
provenance\source_access.csv,444,e4916e0524e62c3281132a62c649619ac969f3407428997bcd548547578df16b
recommended_characterization_framework.json,1949,fbb5178855fb21598755f63320d94258429c1be11cb68d7d82fa9837b270bb2e
second_stage_candidate_tasks.csv,5759,0f33408a58019973f6115dd56b7a1af406a2614cc508e4240538c5e586525d8c
verification_report.md,3980,ee0d65f010110af772ed563421c8000ff79d587f7ff5eff9d0c05e6376e7fde4
verification_status.json,1200,90747b8379e180653e48d4fcfa09777b2bd8731599c9079e41316ccb1d71c82a
